osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,lanes
11941136,True,151,Solrød Strandvej,secondary,50,False,18.903,"LINESTRING (12.2225586 55.532644, 12.2227174 55.5327883)",,
22980989,False,,Strandgårds Alle,residential,50,False,84.158,"LINESTRING (12.2134042 55.5377623, 12.2133788 55.5375941, 12.2132902 55.5370082)",,
22980989,False,,Strandgårds Alle,residential,50,True,86.382,"LINESTRING (12.2134042 55.5377623, 12.213481 55.5382262, 12.2136035 55.5385293)",,
26606428,False,,Brombærhaven,residential,,True,91.94200000000001,"LINESTRING (12.2134042 55.5377623, 12.2140245 55.5377306, 12.2148595 55.5376879)",,
892469743,False,,Tværvej,tertiary,50,True,8.117,"LINESTRING (12.2177286 55.5345952, 12.2177578 55.5346663)",,
762922688,True,,Solrød Byvej,tertiary,50,False,154.96099999999998,"LINESTRING (12.2177286 55.5345952, 12.217973 55.5345614, 12.2201207 55.5342642)",,
11682902,True,151,,secondary,50,False,7.555,"LINESTRING (12.2221567 55.5322835, 12.222109 55.5323041, 12.2220523 55.5323153)",roundabout,
11941136,True,151,Solrød Strandvej,secondary,50,False,47.397,"LINESTRING (12.2221567 55.5322835, 12.2224217 55.5325212, 12.2225586 55.532644)",,
11682902,True,151,,secondary,50,False,5.506,"LINESTRING (12.2219015 55.5321245, 12.2219809 55.5321037)",roundabout,
11682901,True,151,Solrød Strandvej,secondary,50,False,56.226,"LINESTRING (12.2219015 55.5321245, 12.2217381 55.5319428, 12.2215796 55.531774, 12.2214879 55.5316763)",,
11682902,True,151,,secondary,50,False,16.722,"LINESTRING (12.2218519 55.5322607, 12.2218308 55.5322251, 12.2218326 55.5321875, 12.2218572 55.5321526, 12.2219015 55.5321245)",roundabout,
36873118,False,,Mosevej,residential,,True,185.904,"LINESTRING (12.2218519 55.5322607, 12.2216966 55.5322871, 12.2215252 55.5323061, 12.221093 55.5323303, 12.2208486 55.5323439, 12.2197503 55.5324053, 12.218921 55.5324544)",,
11941137,True,151,,secondary,50,False,15.723,"LINESTRING (12.2238757 55.5337415, 12.223937 55.5337348, 12.2239985 55.5337409, 12.2240521 55.5337591, 12.2240905 55.533787)",roundabout,
11941137,True,151,,secondary,50,False,9.407,"LINESTRING (12.223962 55.5339279, 12.2238906 55.5339246, 12.2238875 55.5339245, 12.2238227 55.5339034)",roundabout,
11941137,True,151,,secondary,50,False,7.334,"LINESTRING (12.2238227 55.5339034, 12.223787 55.5338773, 12.2237688 55.533846)",roundabout,
892271441,True,,Solrød Byvej,tertiary,50,False,224.09,"LINESTRING (12.2238227 55.5339034, 12.223699 55.5339229, 12.2233567 55.5339535, 12.2203459 55.5343371)",,
11941137,True,151,,secondary,50,False,8.469000000000001,"LINESTRING (12.2237688 55.533846, 12.2237722 55.533808, 12.2238012 55.5337736)",roundabout,
11941137,True,151,,secondary,50,False,9.631,"LINESTRING (12.2240905 55.533787, 12.2241071 55.5338143, 12.2241088 55.5338432, 12.2240953 55.533871)",roundabout,
11941137,True,151,,secondary,50,False,10.921,"LINESTRING (12.2240953 55.533871, 12.2240633 55.5338983, 12.2240171 55.533918, 12.223962 55.5339279)",roundabout,
11941138,True,151,Solrød Strandvej,secondary,50,False,62.339,"LINESTRING (12.2240953 55.533871, 12.2241687 55.5339455, 12.224683 55.5343213)",,
11941142,True,151,,secondary,50,False,17.225,"LINESTRING (12.2269437 55.5364591, 12.2270349 55.5364613, 12.2271121 55.5364888, 12.2271549 55.5365344)",roundabout,
11941142,True,151,,secondary,50,False,16.061,"LINESTRING (12.226997 55.536657, 12.226913 55.5366494, 12.2268449 55.5366205, 12.2268085 55.536577)",roundabout,
11941142,True,151,,secondary,50,False,8.155000000000001,"LINESTRING (12.2268085 55.536577, 12.2268074 55.5365403, 12.2268297 55.5365059)",roundabout,
31563786,False,,Vestre Strandvej,residential,,True,86.52100000000002,"LINESTRING (12.2268085 55.536577, 12.2262119 55.5366666, 12.2257397 55.536736, 12.2254785 55.5367745)",,
11941142,True,151,,secondary,50,False,9.051,"LINESTRING (12.2268297 55.5365059, 12.2268781 55.5364758, 12.2269437 55.5364591)",roundabout,
32507840,True,151,Solrød Strandvej,secondary,50,False,219.055,"LINESTRING (12.2268297 55.5365059, 12.2266378 55.5363059, 12.2264747 55.5361355, 12.2256289 55.5352517, 12.22511 55.5347943)",,
11941142,True,151,,secondary,50,False,9.866,"LINESTRING (12.2271549 55.5365344, 12.2271552 55.5365788, 12.2271218 55.5366189)",roundabout,
11941142,True,151,,secondary,50,False,9.114,"LINESTRING (12.2271218 55.5366189, 12.2270664 55.5366453, 12.226997 55.536657)",roundabout,
892469743,False,,Tværvej,tertiary,50,False,8.117,"LINESTRING (12.2177578 55.5346663, 12.2177286 55.5345952)",,
