osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,access
302046374,True,1,O,Rosenørnsgade,secondary,50,False,21.544,"LINESTRING (10.0426156 56.4626315, 10.0427188 56.4627356, 10.0427683 56.4628055)",,,
"[56247624, 56247625, 302046375]",False,2,O,Rosenørnsgade,secondary,50,False,122.526,"LINESTRING (10.0426156 56.4626315, 10.0426455 56.4625277, 10.0428034 56.4622438, 10.0429332 56.4620177, 10.0432004 56.4615793)",yes,,
"[56247624, 56247625, 302046375]",False,2,O,Rosenørnsgade,secondary,50,True,122.526,"LINESTRING (10.0432004 56.4615793, 10.0429332 56.4620177, 10.0428034 56.4622438, 10.0426455 56.4625277, 10.0426156 56.4626315)",yes,,
"[789768707, 206850869, 789768727]",True,"['2', '3', '4']",O,Rosenørnsgade,secondary,50,False,148.007,"LINESTRING (10.0432004 56.4615793, 10.0432609 56.4614106, 10.043292 56.4613319, 10.0433427 56.4611721, 10.043367 56.461039, 10.0433638 56.4609332, 10.0433479 56.4608326, 10.0433303 56.4607721, 10.0433117 56.460714, 10.0431921 56.4604274, 10.0431694 56.4603708, 10.043129 56.4602699)",,,
789768724,True,3,O,Havnegade,secondary,50,False,12.831,"LINESTRING (10.043129 56.4602699, 10.0430802 56.4601577)",,,
"[789768708, 54519189, 789768710, 789768711]",True,"['1', '2', '3']",,Fischersgade,residential,,False,76.011,"LINESTRING (10.043129 56.4602699, 10.0429443 56.4603102, 10.0427051 56.4603502, 10.0425315 56.4603792, 10.0423803 56.4603843, 10.0422619 56.460378, 10.0421174 56.4603613, 10.0419494 56.4603131)",,,
"[495479089, 495494403]",True,"['2', '4']",180;O,Tørvebryggen,secondary,50,False,105.58200000000001,"LINESTRING (10.0342331 56.4572679, 10.0340617 56.4573269, 10.0338221 56.4574215, 10.0333597 56.4576281, 10.0330871 56.4577478, 10.0330044 56.457783, 10.0328683 56.4578436)",,,
1150387439,False,,,Odinsgade,residential,,True,33.205,"LINESTRING (10.0342331 56.4572679, 10.0343391 56.4573685, 10.0343719 56.4574051, 10.0344938 56.4575294)",,,
789768846,True,2,180,Jernbanegade,secondary,50,False,8.941,"LINESTRING (10.0300654 56.4597759, 10.029979 56.4598406)",,,
787823770,True,1,O,Vestervold,secondary,50,False,50.608000000000004,"LINESTRING (10.0300654 56.4597759, 10.0301796 56.4598249, 10.0306152 56.4600331, 10.0306913 56.4600716)",,,
30155239,False,,,Vestergade,residential,50,False,12.847,"LINESTRING (10.0311913 56.4606279, 10.0310027 56.4606778)",,,
30155239,False,,,Vestergade,residential,50,True,92.492,"LINESTRING (10.0311913 56.4606279, 10.0313011 56.4605988, 10.0313336 56.460591, 10.0321669 56.4603701, 10.0325511 56.460271)",,,
"[787823776, 787823769]",True,"['2', '3']",O,Vestervold,secondary,50,False,136.429,"LINESTRING (10.0311913 56.4606279, 10.0312542 56.4607293, 10.031293 56.4607909, 10.0314705 56.4610733, 10.0314932 56.4611094, 10.0316688 56.4613745, 10.0318301 56.4616167, 10.031867 56.4616722, 10.0319407 56.4617828)",,,
787823779,True,1,,,tertiary_link,50,False,12.89,"LINESTRING (10.0326679 56.4629283, 10.0324854 56.4629855)",,,
"[322635357, 59523887]",True,2,O,Vestervold,secondary,50,False,105.859,"LINESTRING (10.0326679 56.4629283, 10.0326741 56.462991, 10.03267 56.4630538, 10.032654 56.4631488, 10.0326227 56.4632827, 10.0326066 56.4633488, 10.032546 56.4636954, 10.0325394 56.4637537, 10.0325056 56.4638749)",,,
"[787823785, 787823786]",False,"['4', '3']",,Adelgade,tertiary,50,True,39.734,"LINESTRING (10.0326679 56.4629283, 10.0327996 56.4629038, 10.0328716 56.4628932, 10.0330793 56.4628638, 10.0332913 56.4628337)",,,
39140846,False,2,,Hobrovej,tertiary,50,True,26.246,"LINESTRING (10.0298057 56.4637332, 10.0301877 56.4636275)",,,
54633535,True,,,Steen Blichers Gade,residential,,False,13.831,"LINESTRING (10.0298057 56.4637332, 10.0297136 56.4636197)",,,
30155296,False,,,Kongens Ege,unclassified,,False,109.92699999999999,"LINESTRING (10.0436494 56.4650007, 10.0437206 56.4649913, 10.0437972 56.4649974, 10.0438358 56.4650091, 10.0440446 56.4650722, 10.0440729 56.4651056, 10.0440729 56.4651393, 10.0440447 56.4651931, 10.0439689 56.4652633, 10.0438877 56.4653189, 10.0438494 56.4653415, 10.0438164 56.4653519, 10.0437529 56.4653518, 10.0436975 56.4653375, 10.043659 56.4653196, 10.0436405 56.4652928, 10.0436329 56.4652279, 10.0436416 56.4650391, 10.0436494 56.4650007)",,,
30155296,False,,,Kongens Ege,unclassified,,True,109.92700000000002,"LINESTRING (10.0436494 56.4650007, 10.0436416 56.4650391, 10.0436329 56.4652279, 10.0436405 56.4652928, 10.043659 56.4653196, 10.0436975 56.4653375, 10.0437529 56.4653518, 10.0438164 56.4653519, 10.0438494 56.4653415, 10.0438877 56.4653189, 10.0439689 56.4652633, 10.0440447 56.4651931, 10.0440729 56.4651393, 10.0440729 56.4651056, 10.0440446 56.4650722, 10.0438358 56.4650091, 10.0437972 56.4649974, 10.0437206 56.4649913, 10.0436494 56.4650007)",,,
30155296,False,,,Kongens Ege,unclassified,,False,376.56299999999993,"LINESTRING (10.0436494 56.4650007, 10.0429838 56.4648473, 10.0428101 56.4647991, 10.0423501 56.4646006, 10.0416964 56.4643506, 10.0415227 56.4643224, 10.0413819 56.4643354, 10.0410104 56.4644421, 10.0408588 56.4644873, 10.0405638 56.4645132, 10.040254 56.4645695, 10.0398666 56.4646775, 10.0395975 56.4647525, 10.0394292 56.4647777, 10.0392213 56.4647662, 10.0387929 56.4646614, 10.0387089 56.4646488, 10.0386641 56.4646421, 10.0384898 56.4646377, 10.0380896 56.4646512)",,,
30155296,False,,,Kongens Ege,unclassified,,True,376.56299999999993,"LINESTRING (10.0380896 56.4646512, 10.0384898 56.4646377, 10.0386641 56.4646421, 10.0387089 56.4646488, 10.0387929 56.4646614, 10.0392213 56.4647662, 10.0394292 56.4647777, 10.0395975 56.4647525, 10.0398666 56.4646775, 10.040254 56.4645695, 10.0405638 56.4645132, 10.0408588 56.4644873, 10.0410104 56.4644421, 10.0413819 56.4643354, 10.0415227 56.4643224, 10.0416964 56.4643506, 10.0423501 56.4646006, 10.0428101 56.4647991, 10.0429838 56.4648473, 10.0436494 56.4650007)",,,
1213279986,False,,,Gammel Hadsundvej,unclassified,40,False,44.729,"LINESTRING (10.0380896 56.4646512, 10.0380585 56.4645941, 10.0380542 56.4645803, 10.0380263 56.4644912, 10.0380412 56.4643146, 10.0380437 56.4642532)",,,
1213279986,False,,,Gammel Hadsundvej,unclassified,40,True,43.454,"LINESTRING (10.0380896 56.4646512, 10.0382432 56.4648291, 10.0384381 56.4649901)",,,
30155304,True,,O,,secondary,50,False,6.942,"LINESTRING (10.0435584 56.4632508, 10.0435493 56.4632816, 10.0435254 56.4633099)",,roundabout,
302046379,True,1,,Udbyhøjvej,tertiary,50,False,17.576,"LINESTRING (10.0435584 56.4632508, 10.0437207 56.4632982, 10.0438027 56.4633322)",,,
302046372,False,,O,Dragonvej,secondary,50,False,53.093,"LINESTRING (10.0389029 56.4642176, 10.0386676 56.46424, 10.0383681 56.4642568, 10.0380437 56.4642532)",,,
