osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name,width
11562643,tertiary,50,roundabout,True,False,20.624000000000002,"LINESTRING (12.3569855 55.871929, 12.3569738 55.8719093, 12.3569712 55.8718887, 12.3569779 55.8718683, 12.3569934 55.8718495, 12.3570165 55.8718336, 12.3570459 55.8718214, 12.3570798 55.8718137, 12.357116 55.8718109, 12.3571524 55.8718132)",,,
801778190,tertiary,50,roundabout,True,False,7.263999999999999,"LINESTRING (12.3571988 55.871962, 12.357173 55.8719695, 12.3571451 55.8719741, 12.3571161 55.8719755, 12.3570871 55.8719736)",,,
416539728,tertiary,50,,True,False,27.847,"LINESTRING (12.3570871 55.8719736, 12.3570006 55.8720258, 12.3568068 55.8721682)",1,Banevang,
801778189,tertiary,50,roundabout,True,False,8.305000000000001,"LINESTRING (12.3570871 55.8719736, 12.3570556 55.8719676, 12.3570273 55.8719578, 12.3570036 55.8719447, 12.3569855 55.871929)",,,
25645111,tertiary,50,,False,False,61.120000000000005,"LINESTRING (12.3522863 55.8688911, 12.3521708 55.8688221, 12.3518321 55.8686206, 12.3515803 55.8685123)",2,Kollerødvej,
115252117,unclassified,50,,False,True,54.479,"LINESTRING (12.3522863 55.8688911, 12.3524568 55.8689782, 12.3528366 55.8691781, 12.3528827 55.8692414)",2,Lilledal,
316645952,tertiary,50,,False,True,64.81700000000001,"LINESTRING (12.3522863 55.8688911, 12.3520705 55.8689734, 12.3518168 55.8690838, 12.3517182 55.8691267, 12.3516721 55.8691504, 12.3514733 55.8692526)",2,Frederiksborgvej,
316649460,tertiary,50,,False,False,65.646,"LINESTRING (12.3522863 55.8688911, 12.3525174 55.8688088, 12.3531842 55.8685834)",2,Frederiksborgvej,
420500358,tertiary,30,,False,True,10.229,"LINESTRING (12.3499843 55.8683468, 12.3501476 55.868355)",2,Kollerødvej,
29076568,residential,,,False,False,85.636,"LINESTRING (12.3499843 55.8683468, 12.3499338 55.8686272, 12.3499452 55.8688937, 12.3499701 55.869115)",,Kollerødvej,
"[537225461, 420500365, 420500358]",tertiary,"['30', '50']",,False,False,94.28,"LINESTRING (12.3499843 55.8683468, 12.3496815 55.8683316, 12.3495999 55.8683279, 12.3494407 55.8683204, 12.3484786 55.8682753)",2,Kollerødvej,
316645952,tertiary,50,,False,False,87.15,"LINESTRING (12.3505136 55.8698221, 12.3514733 55.8692526)",2,Frederiksborgvej,
316665274,tertiary,50,,False,True,66.922,"LINESTRING (12.3505136 55.8698221, 12.3497912 55.870267)",2,Frederiksborgvej,
29076560,residential,,,False,True,61.730999999999995,"LINESTRING (12.3505136 55.8698221, 12.3501522 55.869632, 12.3497359 55.8694827)",,Æblehaven,
131315387,residential,,,False,True,76.08,"LINESTRING (12.3505136 55.8698221, 12.3509867 55.8701069, 12.3512951 55.8699278, 12.3513663 55.8699503)",,Frederiksborgvej,
25645111,tertiary,50,,False,True,61.120000000000005,"LINESTRING (12.3515803 55.8685123, 12.3518321 55.8686206, 12.3521708 55.8688221, 12.3522863 55.8688911)",2,Kollerødvej,
31457364,residential,,,False,True,142.253,"LINESTRING (12.3515803 55.8685123, 12.3516404 55.8684632, 12.351915 55.8682388, 12.3520915 55.8680946, 12.3521717 55.8679927, 12.3522083 55.8678887, 12.3521404 55.8673348)",,Femvej,
