osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,width,lanes,tunnel
13227187,tertiary,50,roundabout,True,False,22.275,"LINESTRING (9.7013861 55.7704607, 9.701356 55.7704895, 9.701308 55.7705091, 9.7012501 55.7705164, 9.7011918 55.77051, 9.7011429 55.7704911, 9.7011114 55.7704628)",,,,
120949196,tertiary,50,,False,True,195.314,"LINESTRING (9.7013861 55.7704607, 9.7014671 55.7704741, 9.7015064 55.7704845, 9.7016251 55.7705181, 9.7016888 55.7705401, 9.7017231 55.770552, 9.7019056 55.770623, 9.7019689 55.7706477, 9.7021122 55.7707067, 9.7023285 55.7707957, 9.702535 55.770895, 9.7027067 55.7709918, 9.7029119 55.7710974, 9.702981 55.7711397, 9.7030715 55.7711933, 9.7035114 55.7714701, 9.7037208 55.7716031)",Østerbrogade,,,
13227187,tertiary,50,roundabout,True,False,14.017,"LINESTRING (9.7011114 55.7704628, 9.7011024 55.7704335, 9.7011127 55.7704043, 9.7011408 55.770379, 9.7011958 55.7703592)",,,,
13227189,tertiary,50,,False,False,78.37299999999999,"LINESTRING (9.7011114 55.7704628, 9.7010357 55.7704818, 9.7010062 55.7704894, 9.7008647 55.7705316, 9.700793 55.7705475, 9.7007038 55.7705641, 9.7000873 55.7706501, 9.6999202 55.7706713)",Bredgade,,,
13227187,tertiary,50,roundabout,True,False,13.337,"LINESTRING (9.7011958 55.7703592, 9.7012377 55.7703527, 9.7012938 55.7703567, 9.7013431 55.7703723, 9.701378 55.7703974)",,,,
995637933,residential,50,,False,True,15.742,"LINESTRING (9.7011958 55.7703592, 9.7011718 55.7703144, 9.7011691 55.7702989, 9.7011568 55.77022)",Bytorvet,8,,
25825461,residential,,,False,False,15.027,"LINESTRING (9.6974824 55.7706172, 9.6972693 55.7706796)",Jørgensens Alle,8,1,
26974760,tertiary,50,,False,False,100.506,"LINESTRING (9.6974824 55.7706172, 9.6974231 55.7705495, 9.697304 55.7703506, 9.6972252 55.7702189, 9.6970332 55.7698982, 9.6970045 55.7698502, 9.6969554 55.769764)",Bredgade,,,
26974760,tertiary,50,,False,True,50.791999999999994,"LINESTRING (9.6974824 55.7706172, 9.6976684 55.7707196, 9.6976802 55.7707248, 9.6978373 55.7707616, 9.6980073 55.7707828, 9.6981993 55.7707906)",Bredgade,,,
"[54275644, 995637934]",residential,50,,False,"[False, True]",214.947,"LINESTRING (9.7011568 55.77022, 9.7010625 55.7702223, 9.7009836 55.7702204, 9.7009411 55.7702155, 9.7008949 55.7702057, 9.7008042 55.7701884, 9.6996447 55.7697762, 9.6994955 55.7697243, 9.6994393 55.7696825, 9.6994212 55.7696385, 9.6994632 55.769591, 9.6996713 55.769542, 9.700222 55.7693839, 9.7005924 55.7692776)","['Bytorvet', 'Østerbrogade']",,,
