osmid,highway,oneway,reversed,length,lanes,name,geometry,maxspeed
552835654,residential,False,True,96.52,,,"LINESTRING (20.605474 39.2306284, 20.6057489 39.2314699)",
993750403,secondary,False,False,43.371,2,Αρχαγγέλοςυ - Καναλλακίου,"LINESTRING (20.605474 39.2306284, 20.6051628 39.2307365, 20.605018 39.2307936)",
993750103,secondary,False,True,51.889,2,Αρχαγγέλοςυ - Καναλλακίου,"LINESTRING (20.5995771 39.2325554, 20.6001793 39.2325419)",
175157808,secondary,True,False,66.34,2,Καναλλακίου - Μορφίου,"LINESTRING (20.5995771 39.2325554, 20.5994859 39.232652, 20.5994216 39.2327383, 20.5993853 39.2328068, 20.5993706 39.2328816, 20.5993793 39.2329746, 20.5994122 39.2331065)",30
175158169,tertiary,False,False,25.638,,Οδος Πανδοσιας,"LINESTRING (20.6022097 39.2325492, 20.60238 39.2327383)",
993750103,secondary,False,False,56.782000000000004,2,Αρχαγγέλοςυ - Καναλλακίου,"LINESTRING (20.6022097 39.2325492, 20.6021239 39.2325586, 20.6020327 39.2325627, 20.6015515 39.2325574)",
993750103,secondary,False,True,95.622,2,Αρχαγγέλοςυ - Καναλλακίου,"LINESTRING (20.6022097 39.2325492, 20.6022875 39.2325232, 20.6023706 39.2324744, 20.6026685 39.2322296, 20.6030025 39.2319552)",
963965357,residential,False,False,47.474,,,"LINESTRING (20.5987792 39.2349924, 20.5982655 39.2351472)",
174699330,secondary,True,False,151.15599999999998,,Καναλλακίου - Μορφίου,"LINESTRING (20.5987792 39.2349924, 20.5987293 39.2348626, 20.5986473 39.234664, 20.5985391 39.2343411, 20.5984882 39.2341344, 20.5984493 39.2340357, 20.5983795 39.2338986, 20.5982628 39.2336971)",
174699963,unclassified,False,True,133.002,,,"LINESTRING (20.5981314 39.2334675, 20.5978542 39.2337095, 20.5976734 39.2339053, 20.5976191 39.2339516, 20.5975675 39.2339671, 20.5975172 39.2339697, 20.5974649 39.2339557, 20.5974319 39.2339336, 20.5972931 39.2338103, 20.597139 39.2336664, 20.5970854 39.2336228)",
175157810,secondary,True,False,112.215,,Καναλλακίου - Μορφίου,"LINESTRING (20.5981314 39.2334675, 20.5983916 39.233241, 20.5986129 39.2330509, 20.5989428 39.2327549, 20.5989917 39.2327097)",
993750103,secondary,False,False,11.783,2,Αρχαγγέλοςυ - Καναλλακίου,"LINESTRING (20.6003161 39.2325409, 20.6001793 39.2325419)",
