osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,access
155095106,2,Δημητρίου Γούναρη,secondary,False,True,9.362,"LINESTRING (23.6423654 37.9454007, 23.6424558 37.9454455)",,
"[712611546, 146047814]",3,Ακτή Ποσειδώνος,secondary,True,False,122.441,"LINESTRING (23.6423654 37.9454007, 23.6424396 37.9453545, 23.6425615 37.9452854, 23.6435114 37.9447719)",,
155095106,2,Δημητρίου Γούναρη,secondary,False,False,9.362,"LINESTRING (23.6424558 37.9454455, 23.6423654 37.9454007)",,
"[217922616, 155476484]",3,Ακτή Ποσειδώνος,secondary,True,False,101.67,"LINESTRING (23.6424558 37.9454455, 23.6424111 37.9454939, 23.6423944 37.9455414, 23.6423758 37.9456581, 23.6423721 37.9459458, 23.6423707 37.9460972, 23.6423661 37.9462646, 23.6423664 37.9463017, 23.6423656 37.9463456)",50,
155472034,4,Δημητρίου Γούναρη,secondary,True,False,68.372,"LINESTRING (23.6437097 37.9460665, 23.6436126 37.9460187, 23.6430493 37.9457396)",,
261731570,,Τσαμαδού,residential,True,False,54.69799999999999,"LINESTRING (23.6437097 37.9460665, 23.6437978 37.9460105, 23.6438783 37.9459553, 23.6442077 37.9457709)",,
23218280,2,Ακτή Ποσειδώνος,secondary,True,False,22.742,"LINESTRING (23.6435114 37.9447719, 23.6437257 37.9446567)",,
"[146047777, 1009144555]",3,Ακτή Μιαούλη,secondary,True,False,272.88800000000003,"LINESTRING (23.6435114 37.9447719, 23.6435602 37.944693, 23.6435751 37.9446699, 23.6435884 37.9446348, 23.6435902 37.9446271, 23.6435984 37.9445915, 23.6436424 37.9443878, 23.6437349 37.9440203, 23.6438005 37.9437092, 23.6438012 37.9436378, 23.643787 37.943582, 23.6437603 37.9435363, 23.6437193 37.943475, 23.6436375 37.943375, 23.6435309 37.94325, 23.6434179 37.9431096, 23.6430655 37.9426933, 23.6430079 37.9426216, 23.6429429 37.942543)",,
"[1009144554, 1009144555, 918934506, 218254094, 218254096]",3,Ακτή Μιαούλη,secondary,True,False,123.72,"LINESTRING (23.6429429 37.942543, 23.6428862 37.9424785, 23.6427308 37.9422884, 23.6422633 37.9417501, 23.64219 37.9416651, 23.6421524 37.9416215)",,
154006172,2,Δευτέρας Μεραρχίας,secondary,True,False,10.894,"LINESTRING (23.6421524 37.9416215, 23.6422552 37.9415665)",,
