osmid,oneway,lanes,highway,junction,reversed,length,geometry,name,maxspeed,width,bridge
"[1165101611, 365511453]",True,1,secondary,roundabout,False,40.416,"LINESTRING (27.1010391 36.8147415, 27.1009652 36.8146863, 27.100914 36.8146165, 27.1008898 36.8145379, 27.1008906 36.8144744, 27.1009071 36.8144188)",,,,
1068674700,True,1,secondary,,False,30.803,"LINESTRING (27.1010391 36.8147415, 27.1009516 36.8147126, 27.1009014 36.8147016, 27.1008279 36.8146921, 27.100764 36.8146917, 27.1007038 36.8146994)",Μαστιχαρίου,,,
365616479,False,,tertiary,,False,31.645,"LINESTRING (27.0995315 36.8073482, 27.0996585 36.807614)",,,,
365616479,False,,tertiary,,True,31.645,"LINESTRING (27.0996585 36.807614, 27.0995315 36.8073482)",,,,
36826305,False,,residential,,True,110.599,"LINESTRING (27.0996585 36.807614, 27.0997685 36.8078695, 27.0998611 36.8080628, 27.0998959 36.8081659, 27.0999026 36.8082367, 27.099912 36.8084032, 27.0999053 36.808576)",,,,
365616479,False,,tertiary,,False,96.89699999999999,"LINESTRING (27.0996585 36.807614, 27.0994319 36.8077009, 27.0992053 36.8077858, 27.0989531 36.807891, 27.0988002 36.8080037, 27.09876 36.8080724)",,,,
36826327,False,,residential,,True,81.56700000000001,"LINESTRING (27.09876 36.8080724, 27.0984633 36.8080559, 27.0983081 36.8080467, 27.0982473 36.8080312, 27.0981954 36.8080048, 27.0981419 36.807998, 27.0980747 36.8080016, 27.0978595 36.8080193)",,,,
365616479,False,,tertiary,,False,48.96,"LINESTRING (27.09876 36.8080724, 27.09876 36.8081745, 27.0987627 36.8085127)",,,,
365616479,False,,tertiary,,True,96.89699999999999,"LINESTRING (27.09876 36.8080724, 27.0988002 36.8080037, 27.0989531 36.807891, 27.0992053 36.8077858, 27.0994319 36.8077009, 27.0996585 36.807614)",,,,
36826309,False,,residential,,False,32.92,"LINESTRING (27.0987627 36.8085127, 27.0991052 36.8084011)",,,,
365616479,False,,tertiary,,False,80.56800000000001,"LINESTRING (27.0987627 36.8085127, 27.0986634 36.8085556, 27.0985454 36.8086018, 27.0984186 36.8086593, 27.0983548 36.8087019, 27.0982984 36.8087641, 27.0982749 36.8088127, 27.098243 36.8088741, 27.0982057 36.8089337, 27.0981515 36.8090053)",,,,
365616479,False,,tertiary,,True,48.96,"LINESTRING (27.0987627 36.8085127, 27.09876 36.8081745, 27.09876 36.8080724)",,,,
