osmid,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,junction,lanes
680603943,Κοσμά Δουμπιώτη,residential,False,True,17.946,"LINESTRING (22.4990959 40.1032901, 22.4988849 40.1032912)",,,,
372189324,Ενιπέως,tertiary,True,False,91.041,"LINESTRING (22.4990959 40.1032901, 22.4993165 40.1035494, 22.4994515 40.1036624, 22.4995938 40.1037459, 22.4998444 40.1038521)",,,,
507553485,Κοσμά Δουμπιώτη,residential,False,False,76.429,"LINESTRING (22.4990959 40.1032901, 22.4995118 40.1032162, 22.4996513 40.1032069, 22.4997881 40.1032203, 22.4999783 40.1032483)",,,,
372189216,Κοσμά Δουμπιώτη,residential,False,False,65.411,"LINESTRING (22.4964433 40.1033524, 22.4964649 40.1032693, 22.4965274 40.1032176, 22.4966508 40.1031594, 22.496662 40.1031577, 22.4966821 40.1031835, 22.4967229 40.1032286, 22.4967667 40.103292, 22.4968109 40.1033486, 22.4968719 40.1034267)",,,,
"[680615505, 680614993, 127983438]",Αγίου Δημητρίου,residential,False,True,67.90700000000001,"LINESTRING (22.4964433 40.1033524, 22.4965212 40.1033126, 22.4968555 40.1031755, 22.4971338 40.1030465)",yes,30,,
168349723,,secondary,True,False,11.440999999999999,"LINESTRING (22.5012283 40.1044144, 22.50125 40.1043844, 22.5012828 40.104361, 22.5013235 40.1043466)",,,roundabout,
168349716,Niriidon,residential,False,False,168.122,"LINESTRING (22.5014545 40.1045347, 22.5014756 40.104573, 22.5014813 40.1045921, 22.5014833 40.1046198, 22.5014731 40.1046741, 22.5014613 40.1047452, 22.5014664 40.1047814, 22.5014968 40.1048525, 22.5015267 40.10493, 22.5015423 40.1049754, 22.5016361 40.1051467, 22.5017381 40.1052728, 22.5017609 40.1053026, 22.5018266 40.1053641, 22.5019682 40.105478, 22.5021253 40.1055749, 22.5023619 40.105699, 22.5024492 40.1057406)",,,,
168349723,,secondary,True,False,31.632000000000005,"LINESTRING (22.5014545 40.1045347, 22.501412 40.1045537, 22.5013636 40.1045605, 22.501315 40.1045544, 22.5012756 40.104538, 22.5012448 40.1045131, 22.5012255 40.1044821, 22.5012199 40.1044481, 22.5012283 40.1044144)",,,roundabout,
161280432,,secondary,False,False,38.769,"LINESTRING (22.5024492 40.1057406, 22.502402 40.1058986, 22.5023919 40.1059397, 22.502349 40.1060807)",,30,,2
161280432,,secondary,False,True,46.566,"LINESTRING (22.5024492 40.1057406, 22.5025761 40.1054368, 22.5026159 40.1053417)",,30,,2
168349716,Niriidon,residential,False,True,168.122,"LINESTRING (22.5024492 40.1057406, 22.5023619 40.105699, 22.5021253 40.1055749, 22.5019682 40.105478, 22.5018266 40.1053641, 22.5017609 40.1053026, 22.5017381 40.1052728, 22.5016361 40.1051467, 22.5015423 40.1049754, 22.5015267 40.10493, 22.5014968 40.1048525, 22.5014664 40.1047814, 22.5014613 40.1047452, 22.5014731 40.1046741, 22.5014833 40.1046198, 22.5014813 40.1045921, 22.5014756 40.104573, 22.5014545 40.1045347)",,,,
468227443,,tertiary,True,False,48.49,"LINESTRING (22.5070321 40.1053982, 22.5069044 40.1058232)",,,,
1240752498,,secondary,True,False,7.829,"LINESTRING (22.5027003 40.1053136, 22.5026159 40.1053417)",,30,,1
1226254346,,secondary,True,False,9.08,"LINESTRING (22.5027003 40.1053136, 22.5026808 40.1052997, 22.5026671 40.1052821, 22.5026603 40.1052624, 22.502661 40.105242)",,30,roundabout,1
584956349,,residential,True,False,32.355,"LINESTRING (22.5046328 40.1045177, 22.504256 40.1045578)",,,,
161761616,Μπάκα Αθ.,residential,False,False,71.2,"LINESTRING (22.5065816 40.1020922, 22.5066496 40.101454)",,50,,2
161761452,Κωνσταντινουπόλεως,residential,False,False,88.269,"LINESTRING (22.5065816 40.1020922, 22.5062901 40.1020955, 22.5060623 40.1021345, 22.5059136 40.1021461, 22.5057815 40.1021524, 22.5055522 40.1021309)",,50,,2
161761623,Λειβηθρών,residential,False,True,54.167,"LINESTRING (22.5071343 40.1005067, 22.5071017 40.1009932)",,50,,2
161761468,Μελίνας Μερκούρη,tertiary,False,True,18.143,"LINESTRING (22.5071343 40.1005067, 22.5070108 40.1004562, 22.5069512 40.1004236)",,50,,2
161761626,Λιτόχωρο - Λεπτοκαρυά,tertiary,False,False,7.612,"LINESTRING (22.5057441 40.0993212, 22.5056827 40.099371)",,50,,2
161761376,Μερκούρη Μελίνας,tertiary,False,False,83.876,"LINESTRING (22.5057441 40.0993212, 22.5056702 40.0992421, 22.5055717 40.0991649, 22.5054333 40.0990704, 22.5052545 40.0989597, 22.504999 40.0988359)",,50,,2
