osmid,oneway,name,highway,reversed,length,geometry,bridge,access,lanes
173789865,True,Ανδρεα Παπανδρεου,secondary,False,31.245,"LINESTRING (24.9379473 37.4400731, 24.9378888 37.4401491, 24.9377612 37.4403121)",,,
"[330371632, 330371635, 205723256]",False,Κατραμάδου Παναγιώτη,tertiary,True,82.755,"LINESTRING (24.9368639 37.4434638, 24.9369748 37.4435194, 24.9369977 37.4435301, 24.9370137 37.4435382, 24.9370957 37.4435771, 24.9371103 37.4435839, 24.937333 37.443678, 24.9375093 37.4437715, 24.9375543 37.4437878, 24.9376076 37.4437971, 24.9376874 37.4438003)",yes,,
173553218,True,Πλατεία Κανάρη,tertiary,False,9.311000000000002,"LINESTRING (24.9453458 37.4426419, 24.9453337 37.4426602, 24.9453136 37.4426742, 24.9452892 37.4426813, 24.9452625 37.4426809)",,,
292321363,True,,residential,False,52.977000000000004,"LINESTRING (24.9453458 37.4426419, 24.9453982 37.4426232, 24.9456342 37.4424576, 24.9457952 37.4423298)",,,
173553218,True,Πλατεία Κανάρη,tertiary,False,28.084000000000003,"LINESTRING (24.9452376 37.4426723, 24.9452188 37.4426592, 24.9452071 37.4426391, 24.9452053 37.442618, 24.9452134 37.4425978, 24.9452294 37.4425817, 24.9452516 37.4425712, 24.945277 37.4425675, 24.9453015 37.4425709, 24.9453231 37.4425807, 24.9453392 37.4425958, 24.9453486 37.4426183, 24.9453458 37.4426419)",,,
327268776,True,,tertiary,False,12.668,"LINESTRING (24.9452376 37.4426723, 24.9451171 37.4426579, 24.9450955 37.4426588)",,,
173553218,True,Πλατεία Κανάρη,tertiary,False,2.397,"LINESTRING (24.9452625 37.4426809, 24.9452376 37.4426723)",,,
173715271,False,Θυμάτων Σπερχειού,residential,False,94.466,"LINESTRING (24.9452625 37.4426809, 24.9451937 37.4427974, 24.9451807 37.4428125, 24.9451587 37.4428297, 24.9449758 37.4429724, 24.9448778 37.4430694, 24.944819 37.4431701, 24.944754 37.4433477, 24.9447484 37.4434017)",,permissive,
"[293089266, 173552931, 173712547, 205789838]",False,"['Ακτή Στρατηγού Παπάγου', 'Ακτή Εθνικής Αντίστασης', 'Ελευθερίου Βενιζέλου']",tertiary,False,455.152,"LINESTRING (24.9431247 37.4439065, 24.943133 37.4438773, 24.9432346 37.4435181, 24.9432465 37.4434724, 24.9432779 37.4433515, 24.9432047 37.4433275, 24.9431422 37.4433121, 24.9430626 37.4432928, 24.9429509 37.4432694, 24.9428496 37.4432498, 24.9427137 37.443214, 24.9426421 37.4431813, 24.9426102 37.4431452, 24.942575 37.4430943, 24.9425616 37.4430457, 24.942557 37.4429902, 24.9425541 37.4424404, 24.9425448 37.4422704, 24.9425364 37.4422071, 24.9424791 37.442107, 24.942419 37.4420264, 24.942353 37.4419535, 24.9422492 37.4418692, 24.9421411 37.4418029, 24.9421045 37.4417815, 24.9420704 37.4417587, 24.9420358 37.4417403, 24.9419219 37.4416914, 24.9418816 37.4416763, 24.9418315 37.4416525, 24.9418184 37.4416464, 24.941723 37.4415851, 24.941633 37.4415177, 24.9416005 37.4414923, 24.9414959 37.4414054, 24.9414759 37.4413879, 24.9414329 37.4413534, 24.9414098 37.4413319, 24.9412365 37.4411868, 24.9407824 37.440804)",,,"['1', '2']"
"[173552931, 320303468, 173716151]",False,"['Μελίνας Μερκούρη', 'Ελευθερίου Βενιζέλου', 'Γεννηματά Γεώργιου']",tertiary,"[False, True]",147.277,"LINESTRING (24.9431247 37.4439065, 24.9430623 37.444128, 24.942976 37.4444319, 24.943208 37.4444753, 24.9433589 37.4445037, 24.9437077 37.4445695, 24.9436507 37.444753)",,,2
"[173715270, 173715271]",False,"['Θυμάτων Σπερχειού', 'Πρωτοπαπαδάκη']",residential,True,181.545,"LINESTRING (24.9431247 37.4439065, 24.9431767 37.4439138, 24.9432366 37.4439191, 24.9433791 37.4439317, 24.9435207 37.4439334, 24.9436333 37.4439302, 24.9436687 37.4439281, 24.9437009 37.4439263, 24.9437479 37.4439235, 24.9438038 37.4439186, 24.9438291 37.4439164, 24.9438807 37.4439104, 24.9439579 37.4439015, 24.9440711 37.4438823, 24.9441526 37.4438665, 24.9442822 37.4438357, 24.944435 37.4438014, 24.9444888 37.4437893, 24.9445321 37.4437771, 24.9446958 37.4437311, 24.9447195 37.443725, 24.9447434 37.4437189, 24.9447449 37.4435312, 24.9447457 37.4434287, 24.9447472 37.4434141, 24.9447484 37.4434017)",,permissive,2
177964234,True,Σταματίου Πρώιου,residential,False,417.169,"LINESTRING (24.9431247 37.4439065, 24.9429079 37.4438683, 24.9426885 37.4438107, 24.9424713 37.4437344, 24.9423765 37.4436938, 24.9423226 37.4436664, 24.942189 37.44358, 24.9420716 37.4434878, 24.9420321 37.4434539, 24.9420163 37.443428, 24.9420093 37.4433773, 24.9419636 37.4430647, 24.9419347 37.4430127, 24.9419108 37.4429395, 24.9419087 37.4429036, 24.9419191 37.4428578, 24.9419336 37.4428312, 24.941984 37.4427359, 24.9419993 37.4426402, 24.9419941 37.4426124, 24.9419588 37.442566, 24.9415939 37.4422234, 24.9414188 37.4420516, 24.9414077 37.4420407, 24.9412018 37.4418387, 24.9410467 37.4416854, 24.9409877 37.4416237, 24.940816 37.4414504, 24.9407606 37.4413975, 24.9406501 37.4413443, 24.9404005 37.4412425)",,,1
"[338122140, 173716268]",False,Αγίου Νικολάου,tertiary,False,86.287,"LINESTRING (24.9436249 37.4454546, 24.9437673 37.4454507, 24.9438204 37.4454621, 24.9438803 37.4455019, 24.9438866 37.4455259, 24.9439898 37.4458295, 24.9441526 37.4460053)",,,"['1', '2']"
"[173716270, 292929934]",False,Καραολή & Δημητρίου,residential,True,337.613,"LINESTRING (24.9436249 37.4454546, 24.9434475 37.445679, 24.9433266 37.4456332, 24.9430281 37.4454752, 24.9429695 37.4454461, 24.9428235 37.4453814, 24.9426572 37.4453076, 24.9425997 37.4452908, 24.9424675 37.4452631, 24.9422863 37.4452246, 24.9420772 37.4451853, 24.941864 37.4451543, 24.9418118 37.4451475, 24.9416844 37.445134, 24.9413419 37.4450958, 24.941264 37.4450942, 24.9410231 37.4451313, 24.9409414 37.4451382, 24.9408959 37.4451254, 24.9408797 37.4451164, 24.9408169 37.4450751, 24.9407928 37.4450595, 24.9405022 37.4448663, 24.9403935 37.4447945, 24.940299 37.4447359)",,,
320303468,False,Μελίνας Μερκούρη,tertiary,True,81.561,"LINESTRING (24.9436249 37.4454546, 24.9435854 37.4453828, 24.9435294 37.4452813, 24.9435861 37.4451015, 24.9435877 37.4450641, 24.9435681 37.4449968, 24.9435759 37.444975, 24.9436104 37.4448782, 24.9436507 37.444753)",,,
"[173718248, 683850100]",False,Γεωργίου Σουρή,residential,True,32.286,"LINESTRING (24.9440123 37.4447922, 24.9437302 37.4447695, 24.943713 37.4447659, 24.9436507 37.444753)",,,
173780824,True,Εμμανουήλ Λαδοπούλου,tertiary,False,60.485,"LINESTRING (24.9441526 37.4460053, 24.9443217 37.4460356, 24.9445306 37.4460794, 24.9447676 37.446132, 24.9448092 37.4461535)",,,1
"[338122140, 173716268]",False,Αγίου Νικολάου,tertiary,True,86.287,"LINESTRING (24.9441526 37.4460053, 24.9439898 37.4458295, 24.9438866 37.4455259, 24.9438803 37.4455019, 24.9438204 37.4454621, 24.9437673 37.4454507, 24.9436249 37.4454546)",,,"['1', '2']"
173718753,True,Αγίου Νικολάου,tertiary,False,66.928,"LINESTRING (24.9446765 37.4464263, 24.9443656 37.4462543, 24.9443199 37.4462046, 24.944279 37.4461572, 24.9441526 37.4460053)",,,1
292930031,False,Δημητρίου Βαφιαδάκη,unclassified,False,129.182,"LINESTRING (24.9446765 37.4464263, 24.9446487 37.4464817, 24.9446463 37.4465238, 24.9446515 37.4465581, 24.9446686 37.4465972, 24.9447314 37.4467389, 24.9447383 37.4467701, 24.9447348 37.4468554, 24.9447339 37.4468885, 24.944728 37.4470614, 24.9447274 37.447122, 24.944726 37.4472412, 24.9447301 37.4474438, 24.9447318 37.4475721)",,,
292930031,False,Δημητρίου Βαφιαδάκη,unclassified,True,32.532,"LINESTRING (24.9446765 37.4464263, 24.9447395 37.4462846, 24.9448092 37.4461535)",,,
173780824,True,Εμμανουήλ Λαδοπούλου,tertiary,False,88.21600000000001,"LINESTRING (24.9448092 37.4461535, 24.9449541 37.4462368, 24.9453105 37.446455, 24.9453527 37.4464808, 24.9453855 37.4465008, 24.9454181 37.4465419, 24.9454628 37.4466304, 24.9454868 37.4467029)",,,1
292930031,False,Δημητρίου Βαφιαδάκη,unclassified,False,32.532,"LINESTRING (24.9448092 37.4461535, 24.9447395 37.4462846, 24.9446765 37.4464263)",,,
173718753,True,Αγίου Νικολάου,tertiary,False,86.28200000000001,"LINESTRING (24.9454868 37.4467029, 24.9454017 37.4466699, 24.9453668 37.4466705, 24.9453346 37.4466831, 24.9453124 37.4466965, 24.9452373 37.4467306, 24.9452148 37.4467363, 24.9451854 37.4467377, 24.9451604 37.4467318, 24.9451216 37.4467089, 24.945089 37.4466891, 24.9450697 37.4466773, 24.9446765 37.4464263)",,,1
173780825,False,Μπαμπαγιώτου,tertiary,False,118.41300000000001,"LINESTRING (24.9454868 37.4467029, 24.9455151 37.4467201, 24.9456312 37.4467758, 24.9459983 37.4469626, 24.9460519 37.4469967, 24.9460975 37.4470414, 24.9461485 37.4470989, 24.9462048 37.4471436, 24.9462566 37.4471788, 24.9462799 37.4471947, 24.9465482 37.4473414)",,,
177964238,True,Δωδεκανήσου,residential,False,69.95600000000002,"LINESTRING (24.9407824 37.440804, 24.9405299 37.4409725, 24.9404353 37.4410181, 24.9403747 37.4410474, 24.9402145 37.4411246, 24.9401574 37.4411834)",,,
