osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,access,junction,maxspeed
333289137,Αγέλη,residential,False,False,38.969,,,"LINESTRING (26.127822 38.3753803, 26.1276823 38.3757132)",,,
288097532,Αγ.Μαρκέλας,secondary,True,False,25.481,2,,"LINESTRING (26.1291618 38.3753035, 26.128998 38.3754933)",,,
299052899,Παράσχου,residential,True,False,40.578,,,"LINESTRING (26.1380238 38.3696275, 26.1375697 38.3695474)",,,
304405107,Αιγαίου,primary,False,False,77.557,2,ΕΟ75,"LINESTRING (26.1380238 38.3696275, 26.1378198 38.3703064)",,,
304405107,Αιγαίου,primary,False,True,71.343,2,ΕΟ75,"LINESTRING (26.1380238 38.3696275, 26.1382215 38.3690049)",,,
304405107,Αιγαίου,primary,False,False,71.343,2,ΕΟ75,"LINESTRING (26.1382215 38.3690049, 26.1380238 38.3696275)",,,
304405107,Αιγαίου,primary,False,True,75.231,2,ΕΟ75,"LINESTRING (26.1382215 38.3690049, 26.1384163 38.3683458)",,,
288095731,Νεοφ.Βάμβα,primary,True,False,40.983,,ΕΟ75,"LINESTRING (26.1384163 38.3683458, 26.1379607 38.368255)",,,
304405107,Αιγαίου,primary,False,False,75.231,2,ΕΟ75,"LINESTRING (26.1384163 38.3683458, 26.1382215 38.3690049)",,,
304405105,Αιγαίου,residential,False,False,92.494,,,"LINESTRING (26.1375857 38.3710853, 26.1373549 38.3718972)",,,
304405106,Κανάρη,primary,False,False,39.594,2,ΕΟ75,"LINESTRING (26.1375857 38.3710853, 26.1371412 38.3710122)",,,
304405107,Αιγαίου,primary,False,True,88.986,2,ΕΟ75,"LINESTRING (26.1375857 38.3710853, 26.1378097 38.3703337, 26.1378198 38.3703064)",,,
304405106,Κανάρη,primary,False,True,43.223,2,ΕΟ75,"LINESTRING (26.1366554 38.3709345, 26.1371412 38.3710122)",,,
304405104,,primary,True,False,32.134,,ΕΟ75,"LINESTRING (26.1366554 38.3709345, 26.136461 38.3709891, 26.1363845 38.3710165, 26.1363161 38.3710459)",,,
92443508,,primary,True,False,5.723000000000001,,ΕΟ75,"LINESTRING (26.134132 38.3736075, 26.1341062 38.3735779, 26.1340964 38.3735643)",yes,roundabout,
92653293,ΔΗΜΟΚΡΑΤΙΑΣ,primary,True,False,161.819,2,ΕΟ75,"LINESTRING (26.1360368 38.3712276, 26.1345901 38.3721394)",,,
333273842,Κυβέλης,residential,False,True,25.249,,,"LINESTRING (26.1339518 38.3733748, 26.1336634 38.3733958)",,,
"[92443520, 92655034]",ΟΙΝΟΠΟΙΩΝΟΣ,primary,True,False,71.868,,ΕΟ75,"LINESTRING (26.1339518 38.3733748, 26.1339276 38.373338, 26.1335587 38.3728067)",,,
92443493,Κανάρη,primary,True,False,31.677,2,ΕΟ75,"LINESTRING (26.1363161 38.3710459, 26.1361695 38.3711502, 26.1360368 38.3712276)",,,
346058585,,primary,True,False,17.927,,,"LINESTRING (26.1362008 38.3709124, 26.1363161 38.3710459)",,,
92443512,Κανάρη,primary,True,False,39.769,,ΕΟ75,"LINESTRING (26.1362008 38.3709124, 26.1363062 38.3709251, 26.1364229 38.3709314, 26.1365289 38.3709345, 26.1366554 38.3709345)",,,
333451372,Φιστέλ.Ντε.Κουλάνς,tertiary,True,False,22.035,,,"LINESTRING (26.1366369 38.3704962, 26.1367415 38.3704384, 26.1368548 38.3703974)",,,
92443522,Χάνδακος,primary,True,False,11.753,,ΕΟ75,"LINESTRING (26.1342082 38.3736947, 26.134132 38.3736075)",yes,,60
520049218,Αγ.Αποστόλων,residential,True,False,20.407,,,"LINESTRING (26.1342082 38.3736947, 26.1341727 38.3737313, 26.1340667 38.3738409)",,,
1121225474,Καραολή και Δημητρίου,primary,False,True,34.304,2,ΕΟ75,"LINESTRING (26.1345791 38.3741066, 26.1347987 38.3743626)",,,60
92443522,Χάνδακος,primary,True,False,56.305,,ΕΟ75,"LINESTRING (26.1345791 38.3741066, 26.1344764 38.3740263, 26.1343836 38.37391, 26.1342082 38.3736947)",yes,,60
