osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,est_width,junction
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,False,44.729,"LINESTRING (24.4699356 35.3665655, 24.4703961 35.3667097)",,
26764435,True,,,Παντελή Πρεβελάκη,tertiary,,False,134.439,"LINESTRING (24.4699356 35.3665655, 24.4699074 35.3666258, 24.4698875 35.3666702, 24.4698841 35.3666886, 24.4698856 35.3667797, 24.469888 35.3671434, 24.4698928 35.3677672)",,
662119088,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,,True,100.32,"LINESTRING (24.4699356 35.3665655, 24.4697455 35.3665106, 24.4688919 35.3662662)",,
983236743,False,,,Κριάρη,tertiary,50,False,74.455,"LINESTRING (24.4699356 35.3665655, 24.4700029 35.3664439, 24.4702292 35.3660701, 24.4702796 35.3659581)",,
39220785,True,,,,residential,,False,65.827,"LINESTRING (24.4784767 35.3643366, 24.4783428 35.3643043, 24.4778159 35.3640946)",,
39220863,True,2,ΕΟ90,Θεμιστοκλή Μοάτσου,primary,50,False,51.097,"LINESTRING (24.4758692 35.3652003, 24.4763252 35.3651078, 24.4764158 35.3650886)",,
41252835,True,,,Κουμουνδούρου,residential,,False,145.233,"LINESTRING (24.4738303 35.3655613, 24.4729038 35.3654367, 24.4725404 35.3654067, 24.4722441 35.3654274)",,
231896431,False,,,Δημητρακάκη,secondary,50,False,79.022,"LINESTRING (24.4738303 35.3655613, 24.4738063 35.3654896, 24.4737899 35.3654405, 24.4736009 35.3648757)",,
"[934266739, 972965484]",True,,ΕΟ90,Θεμιστοκλή Μοάτσου,primary,50,False,90.435,"LINESTRING (24.4738303 35.3655613, 24.4740919 35.3655639, 24.4743494 35.3655413, 24.4747061 35.3654645, 24.4748098 35.3654405)",,
92905204,True,,,Μελισσηνού,tertiary,30,False,132.118,"LINESTRING (24.470324 35.3703503, 24.4702496 35.3703433, 24.4700394 35.3703368, 24.4693917 35.3703371, 24.4691262 35.3704063, 24.4688961 35.3704759)",,
176916491,True,,,Αρκαδίου,tertiary,30,False,5.404,"LINESTRING (24.4758096 35.3699189, 24.475809 35.3699675)",4,
"[92905204, 134273868]",True,,,"['Μελισσηνού', 'Σαλαμίνος']",tertiary,30,False,506.0819999999999,"LINESTRING (24.4758416 35.3706926, 24.4755962 35.370675, 24.4751523 35.3706438, 24.4744185 35.3706993, 24.4741854 35.3707103, 24.4739248 35.3707072, 24.473448 35.3706918, 24.4733598 35.3706944, 24.4731764 35.3706939, 24.4729188 35.3706821, 24.4728674 35.3706767, 24.4726387 35.3706381, 24.4725123 35.3706058, 24.4722143 35.3705386, 24.472041 35.3704784, 24.4718891 35.3704504, 24.4714114 35.3704315, 24.4713201 35.3704367, 24.4712582 35.3704439, 24.4711386 35.3704555, 24.4710717 35.370459, 24.4710122 35.3704588, 24.4709184 35.3704503, 24.4707416 35.3704214, 24.4706411 35.3704042, 24.470324 35.3703503)",,
"[373583737, 5738788, 27227037]",True,,,"['Εθνικής Αντιστάσεως', 'Κωνσταντίνου Παλαιολόγου', 'Α. Μαυροκορδατου']",residential,,False,242.87099999999998,"LINESTRING (24.475809 35.3699675, 24.475633 35.3699447, 24.4755272 35.369933, 24.4754437 35.3699256, 24.4750595 35.3698908, 24.4747443 35.3698708, 24.4747461 35.369773, 24.4747989 35.3692381, 24.4748126 35.3691203, 24.4748638 35.3690463, 24.4748723 35.3689648, 24.4748278 35.3688913, 24.4747819 35.3687761, 24.4747757 35.3685885)",,
176916491,True,,,Αρκαδίου,tertiary,30,False,80.68599999999999,"LINESTRING (24.475809 35.3699675, 24.4758101 35.3700513, 24.4758252 35.3703345, 24.4758301 35.3704267, 24.4758385 35.370609, 24.4758416 35.3706926)",4,
102962274,True,,,Καλλιρόης Πάρρεν-Σιγανού,secondary,,False,57.568,"LINESTRING (24.4766794 35.3698145, 24.4766383 35.3697546, 24.4766165 35.3697094, 24.4766149 35.3696314, 24.4766283 35.3694277, 24.4766805 35.3693171)",,roundabout
134273870,True,,,Πετυχάκη,tertiary,30,False,80.243,"LINESTRING (24.4766794 35.3698145, 24.4765779 35.3698526, 24.4762621 35.3698671, 24.4758096 35.3699189)",4,
165392386,False,2,,Ελευθερίου Βενιζέλου,secondary,30,False,232.895,"LINESTRING (24.4766805 35.3693171, 24.4766964 35.3691401, 24.4768125 35.3688225, 24.4769228 35.3686444, 24.4769672 35.3685727, 24.4771354 35.3683843, 24.4771788 35.3683437, 24.4772942 35.3682356, 24.477602 35.3679797, 24.4778757 35.3678263, 24.4781308 35.3676945)",,
