osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,tunnel
1047549825,False,2,ΕΟ48,Αθανασιάδη Γ. Νόβα (Μεσολογγίου),primary,False,8.678,,"LINESTRING (21.8277758 38.3925848, 21.8276847 38.3925533)",
"[847791081, 766250362, 39814517, 1108251454]",True,1,ΕΟ48,Νότη Μπότσαρη,primary,False,290.602,30,"LINESTRING (21.8277758 38.3925848, 21.8277921 38.3925566, 21.8278043 38.3925344, 21.8278484 38.392454, 21.8278925 38.3923736, 21.827909 38.3923435, 21.8279364 38.3923264, 21.8279836 38.3923209, 21.8280118 38.3923212, 21.8281592 38.3923711, 21.8283542 38.3924371, 21.8284829 38.3924807, 21.8285679 38.3925396, 21.8286997 38.3926306, 21.828944 38.392716, 21.8299545 38.393069, 21.8302206 38.3931597, 21.8306101 38.3932865)",
"[808920244, 146792678]",False,,,Ψαρρού Δ.,residential,False,44.285,,"LINESTRING (21.8334368 38.3941619, 21.8334198 38.3941281, 21.833297 38.3937792)",
808914920,True,,ΕΟ48,Ιντζέ Ν.,primary,False,67.3,,"LINESTRING (21.8334368 38.3941619, 21.8335115 38.3941603, 21.8336104 38.3941375, 21.834061 38.3940374, 21.8341325 38.3940216, 21.8341823 38.3940105)",
320262284,True,2,ΕΟ48,Ίλαρχου Τζαβέλλα,primary,False,107.857,,"LINESTRING (21.8336136 38.3946969, 21.8334266 38.3947216, 21.8332535 38.3947031, 21.8327599 38.3945427, 21.8324456 38.3944433)",
"[1047549825, 1047549826]",False,2,ΕΟ48,Αθανασιάδη Γ. Νόβα (Μεσολογγίου),primary,True,67.08500000000001,40,"LINESTRING (21.8231068 38.3909698, 21.8237728 38.3912002, 21.823811 38.3912134)",
176978952,True,,,Παπαγεωργίου,residential,False,51.859,,"LINESTRING (21.823327 38.3899433, 21.8231006 38.3903746)",
176978952,True,,,Παπαγεωργίου,residential,False,9.617,,"LINESTRING (21.823422 38.3898993, 21.823327 38.3899433)",
317212019,True,,,Ναυμαχίας Ναυπάκτου,residential,False,96.438,,"LINESTRING (21.823422 38.3898993, 21.8241689 38.3905392)",
142761508,True,,,Χρυσαϊτη,residential,False,81.198,,"LINESTRING (21.8241689 38.3905392, 21.8240569 38.3907504, 21.823811 38.3912134)",
317212019,True,,,Ναυμαχίας Ναυπάκτου,residential,False,37.575,,"LINESTRING (21.8241689 38.3905392, 21.824228 38.3905707, 21.8242424 38.3905784, 21.8245256 38.390729)",
