osmid,highway,oneway,reversed,length,name,geometry,maxspeed,bridge,lanes,junction,access,width
114538149,secondary,False,False,17.535,,"LINESTRING (25.0635548 39.87523, 25.0636182 39.87508)",,,,,,
101310689,secondary,False,False,41.889,Δημοκρατίας,"LINESTRING (25.0635548 39.87523, 25.06354 39.8753226, 25.0635575 39.8756057)",,,,,,
114538150,residential,False,True,48.587,Γαρουφαλλίδου,"LINESTRING (25.0635548 39.87523, 25.0633536 39.8753415, 25.063131 39.8755192)",30,,,,,
632428605,secondary,False,True,33.101,Δημοκρατίας,"LINESTRING (25.0644853 39.8789322, 25.0642978 39.8786716)",,,,,,
"[976191458, 976191459, 864101084]",secondary,False,False,12.350000000000001,Δημοκρατίας,"LINESTRING (25.0644853 39.8789322, 25.0644902 39.8789384, 25.0645577 39.879024, 25.0645603 39.8790272)",,yes,,,,
443987971,secondary,False,True,127.53,Μυρίνα - Κοντιάς,"LINESTRING (25.0683452 39.8711881, 25.067104 39.8718268)",,,,,,
114578880,residential,False,True,98.57300000000001,,"LINESTRING (25.0683452 39.8711881, 25.0683439 39.8714187, 25.0683694 39.8714846, 25.0686389 39.8718561, 25.0686604 39.8719097, 25.068659 39.871956, 25.0686349 39.8720126)",,,,,,
1194071338,secondary,False,True,5.818,Κοιμήσεως Θεοτόκου,"LINESTRING (25.0632577 39.8724752, 25.0632048 39.8725082)",,,,,,
1194071338,secondary,False,False,145.461,Κοιμήσεως Θεοτόκου,"LINESTRING (25.0632577 39.8724752, 25.0633075 39.8724485, 25.0633496 39.8724367, 25.0633992 39.8724325, 25.0642052 39.8724459, 25.0643098 39.8724428, 25.064941 39.8723707)",,,,,,
273293228,residential,False,False,31.995,Χρυσής,"LINESTRING (25.0623947 39.8767944, 25.0626482 39.8765824)",,,,,,
102453982,residential,False,True,117.684,Περσέως,"LINESTRING (25.0623947 39.8767944, 25.0625154 39.8768716, 25.0626388 39.8769303, 25.062781 39.8769755, 25.0629044 39.8770095, 25.0630081 39.8770301, 25.0632074 39.8770569, 25.0636889 39.8770785)",,,,,,
273293229,residential,False,False,66.798,Δασοπάτη Κωνσταντίνου,"LINESTRING (25.0623947 39.8767944, 25.0622988 39.8768073, 25.0620957 39.8768294, 25.061869 39.8768562, 25.0618167 39.8768701, 25.0616518 39.8769508)",,,,,,
114538147,residential,False,True,31.593,Δελμούζου,"LINESTRING (25.0627716 39.8728906, 25.0631364 39.8728422)",,,,,,
264687877,secondary,False,True,13.425,Κοιμήσεως Θεοτόκου,"LINESTRING (25.0627716 39.8728906, 25.0626247 39.8729338)",,,,,,
264687877,secondary,False,False,37.059,Κοιμήσεως Θεοτόκου,"LINESTRING (25.0627716 39.8728906, 25.062958 39.8726703, 25.063013 39.8726137)",,,,,,
102453976,residential,False,True,56.372,Μπότσαρη,"LINESTRING (25.0656389 39.8770908, 25.0649789 39.8771125)",,,,,,
102453977,residential,False,True,62.426,,"LINESTRING (25.0656389 39.8770908, 25.0657421 39.8776466)",,,,,,
102453976,residential,False,False,25.922,Μπότσαρη,"LINESTRING (25.0656389 39.8770908, 25.0658481 39.8770785, 25.065942 39.8770759)",,,,,,
101310689,secondary,False,False,72.726,Δημοκρατίας,"LINESTRING (25.0635736 39.8757662, 25.0636621 39.8764167)",,,,,,
101310689,secondary,False,True,17.9,Δημοκρατίας,"LINESTRING (25.0635736 39.8757662, 25.0635575 39.8756057)",,,,,,
102453978,residential,False,False,54.465,Κοραή,"LINESTRING (25.0635736 39.8757662, 25.0642076 39.8757098)",,,,,,
273315440,tertiary,False,False,53.077,Αρβανιτάκη,"LINESTRING (25.059563 39.8749053, 25.0594488 39.8748686, 25.0593655 39.8748395, 25.0592835 39.8748168, 25.0591995 39.8747991, 25.0591211 39.8747782, 25.0589793 39.8747422)",,,2,,,
503630927,residential,False,False,59.062000000000005,Νεφέλη,"LINESTRING (25.059563 39.8749053, 25.0595598 39.8749771, 25.0595549 39.8750607, 25.0595382 39.8751513, 25.0594135 39.8752146, 25.0592257 39.8753036)",,,,,,
