osmid,highway,maxspeed,oneway,reversed,length,lanes,name,geometry,junction
223636256,residential,50,False,False,83.69,,,"LINESTRING (24.1939932 41.0548127, 24.1949112 41.0545173)",
223636269,residential,50,False,True,37.158,,,"LINESTRING (24.1939932 41.0548127, 24.1941358 41.0551291)",
435466337,tertiary,50,False,False,44.654,2,Αγίου Αθανασίου,"LINESTRING (24.1939932 41.0548127, 24.1944303 41.0550421)",
435466337,tertiary,50,False,True,37.809,2,Αγίου Αθανασίου,"LINESTRING (24.1939932 41.0548127, 24.1936298 41.0546114)",
223635448,residential,50,False,True,69.27,,Μελά Παύλου,"LINESTRING (24.1862827 41.0490592, 24.1868918 41.0486384)",
435466326,secondary,50,False,False,91.591,2,Ανδρέα Παπανδρέου,"LINESTRING (24.1862827 41.0490592, 24.1868706 41.0497534)",
435466326,secondary,50,False,True,42.013,2,Ανδρέα Παπανδρέου,"LINESTRING (24.1862827 41.0490592, 24.1860105 41.048742)",
223635452,residential,50,False,True,98.838,,Βαλαωρίτου,"LINESTRING (24.186134 41.049746, 24.185753 41.050057, 24.1853378 41.0504014)",
435466322,tertiary,,False,False,68.898,2,Νεροφράκτη,"LINESTRING (24.186134 41.049746, 24.1865803 41.0498628, 24.1866894 41.0498715, 24.1868706 41.0497534)",
435466322,tertiary,,False,True,91.50200000000001,2,Νεροφράκτη,"LINESTRING (24.186134 41.049746, 24.1855463 41.0496365, 24.1850724 41.0497171)",
223634706,tertiary,50,False,False,91.505,,Βενιζέλου Ελευθερίου,"LINESTRING (24.195478 41.0555904, 24.1944451 41.055856)",
223634709,residential,50,False,True,48.645,,Φιλίππου,"LINESTRING (24.195478 41.0555904, 24.1952551 41.0551865)",
435466337,tertiary,50,False,True,59.978,2,Αγίου Αθανασίου,"LINESTRING (24.195478 41.0555904, 24.1948916 41.0552815)",
435466348,secondary,50,True,False,22.305,2,,"LINESTRING (24.1878053 41.050721, 24.187582 41.05083)",
