osmid,oneway,highway,reversed,length,name,geometry,maxspeed,lanes,ref,access
10753450,True,secondary,False,76.922,,"LINESTRING (21.7376732 38.2431253, 21.7377754 38.2438124)",,,,
486476851,False,secondary,True,3.771,Παλαιών Πατρών Γερμανού,"LINESTRING (21.7376732 38.2431253, 21.7377112 38.2431092)",,,,
10754319,False,secondary,True,19.039,25ης Μαρτίου,"LINESTRING (21.7377754 38.2438124, 21.7379144 38.2438552, 21.737976 38.2438791)",,,,
410671078,True,secondary,False,90.499,,"LINESTRING (21.7377754 38.2438124, 21.737228 38.243649, 21.7368067 38.2435233)",,,,
486476851,False,secondary,False,69.18,Παλαιών Πατρών Γερμανού,"LINESTRING (21.7384083 38.2428137, 21.7377112 38.2431092)",,,,
486476851,False,secondary,True,69.879,Παλαιών Πατρών Γερμανού,"LINESTRING (21.7384083 38.2428137, 21.7391125 38.2425153)",,,,
706622761,True,residential,False,87.455,Σωτηριάδου,"LINESTRING (21.7384083 38.2428137, 21.7385794 38.2430652, 21.7387037 38.2432479, 21.7388802 38.2435074)",50,,,
10934639,True,residential,False,72.367,Παντοκράτορος,"LINESTRING (21.7388802 38.2435074, 21.7396145 38.2432058)",,,,
151684002,True,residential,False,64.152,Σωτηριάδου,"LINESTRING (21.7388802 38.2435074, 21.7392377 38.2440114)",,,,
151763701,True,secondary,False,31.086000000000002,25ης Μαρτίου,"LINESTRING (21.7360065 38.2432278, 21.7357482 38.2431306, 21.7357327 38.2431255, 21.7356834 38.2431108)",,,,
10755565,True,tertiary,False,55.668,Δημ. Βότση,"LINESTRING (21.7356834 38.2431108, 21.7356501 38.2431389, 21.7352493 38.2434774)",,,,
151763701,True,secondary,False,52.305,25ης Μαρτίου,"LINESTRING (21.7356834 38.2431108, 21.7356308 38.2430952, 21.7355608 38.243072, 21.7354748 38.2430404, 21.7354347 38.2430254, 21.7352902 38.2429712, 21.7351876 38.242929, 21.7351431 38.2429088)",,,,
851555334,True,primary,False,12.756,Λεωφ. Γούναρη,"LINESTRING (21.7302192 38.2462411, 21.7303184 38.2461569)",50,2,ΕΟ33,
