osmid,highway,oneway,reversed,length,name,lanes,maxspeed,geometry,ref,tunnel,junction
69080972,residential,False,False,9.469,,,,"LINESTRING (22.5673986 40.0595031, 22.5672898 40.0594853)",,,
69080972,residential,False,True,114.041,,,,"LINESTRING (22.5673986 40.0595031, 22.5678288 40.0585318)",,,
161748314,residential,False,False,72.731,,,,"LINESTRING (22.5673986 40.0595031, 22.5682351 40.059637)",,,
117623056,residential,False,True,58.616,,,,"LINESTRING (22.56058 40.0591423, 22.5606796 40.0586207)",,,
117623059,residential,True,False,122.514,Πέτρου Λεβάντη,,,"LINESTRING (22.56058 40.0591423, 22.5620064 40.0592908)",,,
161748292,residential,False,True,58.619,,,,"LINESTRING (22.56058 40.0591423, 22.5604856 40.0596645)",,,
69975836,residential,True,False,122.382,Βασιλίσσης Όλγας,,,"LINESTRING (22.5621014 40.0587853, 22.5606796 40.0586207)",,,
70299033,residential,False,False,56.788,Βασιλίσσης Σοφίας,,,"LINESTRING (22.5621014 40.0587853, 22.5620064 40.0592908)",,,
70299033,residential,False,True,64.09,Βασιλίσσης Σοφίας,,,"LINESTRING (22.5621014 40.0587853, 22.5622086 40.0582148)",,,
82954423,tertiary,False,True,51.894,Σβώκου,2,50,"LINESTRING (22.5634138 40.0594589, 22.5633393 40.0599221)",,,
82954423,tertiary,False,False,52.183,Σβώκου,2,50,"LINESTRING (22.5634138 40.0594589, 22.5634852 40.0591203, 22.5635303 40.0589988)",,,
161748290,primary,False,False,63.664,Βασιλέως Κωνσταντίνου,2,50,"LINESTRING (22.5635292 40.058947, 22.5636799 40.0583862)",ΕΟ1,,
161748290,primary,False,True,5.761,Βασιλέως Κωνσταντίνου,2,50,"LINESTRING (22.5635292 40.058947, 22.5635303 40.0589988)",ΕΟ1,,
69975836,residential,True,False,122.84,Βασιλίσσης Όλγας,,,"LINESTRING (22.5635292 40.058947, 22.5631715 40.0589049, 22.5621014 40.0587853)",,,
70299033,residential,False,False,58.63,Βασιλίσσης Σοφίας,,,"LINESTRING (22.5620064 40.0592908, 22.5619083 40.0598127)",,,
70299033,residential,False,True,56.788,Βασιλίσσης Σοφίας,,,"LINESTRING (22.5620064 40.0592908, 22.5621014 40.0587853)",,,
117623059,residential,True,False,121.228,Πέτρου Λεβάντη,,,"LINESTRING (22.5620064 40.0592908, 22.5634138 40.0594589)",,,
70299029,residential,False,False,122.196,Δημητρίου Γούναρη,,,"LINESTRING (22.5619083 40.0598127, 22.5604856 40.0596645)",,,
70299033,residential,False,False,59.078,Βασιλίσσης Σοφίας,,,"LINESTRING (22.5619083 40.0598127, 22.5618152 40.0603392)",,,
