osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,junction,access
184995923,False,Αναστασίου Μακρή,residential,50,True,37.894,,,"LINESTRING (24.1469972 41.1459768, 24.1465449 41.1459882)",,
184998074,True,Εθνικής Αμύνης,primary,,False,10.298,2,ΕΟ12,"LINESTRING (24.1469972 41.1459768, 24.1470408 41.1458902)",,
184997197,True,Πατριάρχου Διονυσίου,primary,,False,13.048,,ΕΟ12,"LINESTRING (24.1415482 41.14833, 24.1416888 41.1482794)",,
184789582,True,Αμφίπολη - Δράμα,primary,,False,10.199000000000002,,,"LINESTRING (24.1415482 41.14833, 24.1415989 41.1483445, 24.1416319 41.1483526, 24.1416635 41.1483594)",,
676614568,True,Πατριάρχου Διονυσίου,primary,,False,32.891,,ΕΟ12,"LINESTRING (24.1410652 41.1485147, 24.1414154 41.1483807)",,
229124751,True,,primary_link,,False,33.272,,,"LINESTRING (24.1410652 41.1485147, 24.1410885 41.1484859, 24.1411137 41.1484535, 24.1411293 41.1484323, 24.1411453 41.1484082, 24.1411609 41.1483762, 24.1411721 41.1483467, 24.1411778 41.1483213, 24.1411808 41.148299, 24.1411819 41.1482811, 24.1411814 41.1482734, 24.1411806 41.1482651, 24.1411791 41.1482573, 24.1411773 41.1482494, 24.1411748 41.1482423, 24.1411705 41.1482365)",,
184998074,True,Εθνικής Αμύνης,primary,,False,7.298,2,ΕΟ12,"LINESTRING (24.1470047 41.1465208, 24.1470019 41.1464552)",,
178697196,True,Πατριάρχου Διονυσίου,primary,,False,22.22,,ΕΟ12,"LINESTRING (24.1470047 41.1465208, 24.1469464 41.1465447, 24.1469078 41.1465605, 24.1468678 41.1465759, 24.1467676 41.1466103)",,
185016003,True,Εθνικής Αμύνης,primary,,False,63.339999999999996,2,ΕΟ12,"LINESTRING (24.1470408 41.1458902, 24.1470883 41.1459736, 24.1470988 41.1460397, 24.1471021 41.1463695, 24.147102 41.146452)",,
184996086,True,28ης Οκτωβρίου,tertiary,50,False,90.209,,,"LINESTRING (24.147102 41.146452, 24.1481791 41.146469)",,
178697196,True,Πατριάρχου Διονυσίου,primary,,False,11.377,,ΕΟ12,"LINESTRING (24.147102 41.146452, 24.1470973 41.1464604, 24.1470909 41.1464681, 24.1470828 41.1464759, 24.1470726 41.1464839, 24.1470559 41.1464945, 24.1470291 41.1465088, 24.1470047 41.1465208)",,
