osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,junction,ref
223966200,residential,False,False,80.79,,"LINESTRING (22.453313 40.6300922, 22.4533833 40.6308168)",,,,
223966200,residential,False,True,185.231,,"LINESTRING (22.453313 40.6300922, 22.4531587 40.6284305)",,,,
223966209,residential,False,True,85.597,Θεοχάρη Κούγκα,"LINESTRING (22.453313 40.6300922, 22.4543251 40.6300414)",,,,
223966209,residential,False,False,177.918,Θεοχάρη Κούγκα,"LINESTRING (22.453313 40.6300922, 22.4526778 40.630109, 22.4519187 40.6301517, 22.4512106 40.6302046)",,,,
223966201,residential,False,False,41.108,,"LINESTRING (22.4474629 40.6299395, 22.447429 40.6295707)",,,,
223966205,residential,False,False,130.21,Ομήρου,"LINESTRING (22.4474629 40.6299395, 22.4459232 40.6300157)",,,,
223966201,residential,False,True,49.034,,"LINESTRING (22.4474629 40.6299395, 22.4475005 40.6303477, 22.4475034 40.6303794)",,,,
26944218,primary,False,False,13.685,28ης Οκτωβρίου,"LINESTRING (22.4490395 40.6311535, 22.4490145 40.6310319)",2,50,,
223966210,residential,False,True,253.697,Δημητρίου Σάννα,"LINESTRING (22.4490395 40.6311535, 22.4460412 40.6313201)",,,,
26944218,primary,False,True,78.285,28ης Οκτωβρίου,"LINESTRING (22.4490395 40.6311535, 22.4491502 40.6317428, 22.4491683 40.6318507)",2,50,,
223966200,residential,False,True,89.866,,"LINESTRING (22.4534455 40.6316236, 22.4533833 40.6308168)",,,,
223966192,residential,False,False,177.59199999999998,Κολινδρού,"LINESTRING (22.4534455 40.6316236, 22.4521427 40.631686, 22.4513448 40.6317192)",,,,
223966192,residential,False,True,178.506,Κολινδρού,"LINESTRING (22.4534455 40.6316236, 22.4543039 40.6315757, 22.4548462 40.6315437, 22.4554224 40.6315257, 22.4555525 40.6315014)",,,,
223966187,residential,False,False,93.147,Γρ. Κατρανίτσα,"LINESTRING (22.4461047 40.6320042, 22.4461915 40.6328393)",,,,
223966187,residential,False,True,76.257,Γρ. Κατρανίτσα,"LINESTRING (22.4461047 40.6320042, 22.4460412 40.6313201)",,,,
223966192,residential,False,True,129.37,Κολινδρού,"LINESTRING (22.4461047 40.6320042, 22.4461534 40.6320016, 22.4476339 40.6319217)",,,,
223966192,residential,False,False,184.25,Κολινδρού,"LINESTRING (22.4513448 40.6317192, 22.4491683 40.6318507)",,,,
223966202,residential,False,False,90.315,25ης Μαρτίου,"LINESTRING (22.4513448 40.6317192, 22.4514324 40.6325287)",,,,
223966202,residential,False,True,89.895,25ης Μαρτίου,"LINESTRING (22.4513448 40.6317192, 22.4512729 40.6309126)",,,,
223966192,residential,False,True,177.59199999999998,Κολινδρού,"LINESTRING (22.4513448 40.6317192, 22.4521427 40.631686, 22.4534455 40.6316236)",,,,
223966197,tertiary,False,True,68.512,Εθνικής Αντίστασης,"LINESTRING (22.4486294 40.6289021, 22.4478197 40.6289468)",,50,,
375735616,tertiary,False,False,161.586,Εθνικής Αντίστασης,"LINESTRING (22.4486294 40.6289021, 22.4505378 40.628784)",,50,,
"[732685249, 1000440810]",primary,False,False,125.757,28ης Οκτωβρίου,"LINESTRING (22.4486294 40.6289021, 22.4485009 40.6282036, 22.4484243 40.6277819)",2,50,,
1000440810,primary,False,True,66.426,28ης Οκτωβρίου,"LINESTRING (22.4486294 40.6289021, 22.4486379 40.6289522, 22.4487367 40.6294939)",2,50,,
223966197,tertiary,False,False,37.734,Εθνικής Αντίστασης,"LINESTRING (22.4473737 40.6289709, 22.4478197 40.6289468)",,50,,
223966201,residential,False,True,66.858,,"LINESTRING (22.4473737 40.6289709, 22.447429 40.6295707)",,,,
