osmid,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,name,junction
116953167,residential,False,False,61.225,,,"LINESTRING (20.7584933 39.1665832, 20.7579774 39.1662048)",,,
461091453,residential,False,False,30.702,2,50,"LINESTRING (20.7584933 39.1665832, 20.7587177 39.1663688)",,,
461091453,residential,False,True,63.108,2,50,"LINESTRING (20.7584933 39.1665832, 20.7580148 39.1670127)",,,
116953184,residential,False,True,22.23,2,50,"LINESTRING (20.7549576 39.1660124, 20.7547748 39.1661534)",,,
116953181,residential,False,True,119.98,,,"LINESTRING (20.7549576 39.1660124, 20.755263 39.1661234, 20.7555678 39.1662109, 20.7558007 39.1663076, 20.7559619 39.1664084, 20.7561483 39.1665468)",,,
116953184,residential,False,False,94.118,2,50,"LINESTRING (20.7549576 39.1660124, 20.7551031 39.1659254, 20.7553578 39.1658056, 20.7558625 39.1655399)",,,
461091455,residential,False,False,70.368,,,"LINESTRING (20.7563693 39.1652903, 20.7557343 39.1648927)",,,
767806592,residential,False,False,22.366,,,"LINESTRING (20.7563693 39.1652903, 20.7565503 39.1651462)",,,
767806592,residential,False,True,43.463,,,"LINESTRING (20.7563693 39.1652903, 20.7560346 39.1655826)",,,
116953178,residential,False,False,61.106,2,50,"LINESTRING (20.7585326 39.1686542, 20.7581319 39.1682009)",,,
116953178,residential,False,True,86.014,2,50,"LINESTRING (20.7585326 39.1686542, 20.7590297 39.1693249)",,,
126984899,residential,False,False,68.295,2,50,"LINESTRING (20.7585326 39.1686542, 20.7591852 39.168306)",,,
126984899,residential,False,True,46.929,2,50,"LINESTRING (20.7585326 39.1686542, 20.7581005 39.1689109)",,,
126984922,residential,False,True,103.544,,,"LINESTRING (20.7587177 39.1663688, 20.7593556 39.1671578)",,,
461091453,residential,False,True,30.702,2,50,"LINESTRING (20.7587177 39.1663688, 20.7584933 39.1665832)",,,
461091453,residential,False,False,35.683,2,50,"LINESTRING (20.7587177 39.1663688, 20.7589182 39.166218, 20.7590353 39.1661666)",,,
116953186,residential,False,True,76.538,2,50,"LINESTRING (20.7611102 39.1695062, 20.7603162 39.1698142)",,,
126984922,residential,False,False,99.17,,,"LINESTRING (20.7611102 39.1695062, 20.7605322 39.1687351)",,,
126984893,residential,False,True,73.711,2,50,"LINESTRING (20.7601937 39.1698115, 20.7594774 39.1701735)",,,
234910695,primary,True,False,46.709,1,50,"LINESTRING (20.7601937 39.1698115, 20.7599614 39.169432)",ΕΟ21,Φιλιππιάδα - Πρέβεζα,
126984926,residential,False,False,62.324,,,"LINESTRING (20.759956 39.1668456, 20.7593556 39.1671578)",,,
461091453,residential,False,False,100.244,2,50,"LINESTRING (20.759956 39.1668456, 20.7605601 39.1676159)",,,
461091453,residential,False,True,78.06,2,50,"LINESTRING (20.759956 39.1668456, 20.7594255 39.1662767)",,,
126984926,residential,False,True,57.808,,,"LINESTRING (20.759956 39.1668456, 20.7604205 39.1666139, 20.7605204 39.1665649)",,,
116953177,residential,False,True,98.415,,,"LINESTRING (20.7605204 39.1665649, 20.7611433 39.1673066)",,Μεσολογγίου,
"[126984926, 116953183]",residential,False,True,194.019,,,"LINESTRING (20.7605204 39.1665649, 20.7605955 39.1665202, 20.7606792 39.1664947, 20.7611055 39.1664707, 20.7611969 39.1664672, 20.7612465 39.1664783, 20.7613064 39.1665099, 20.7613515 39.166562, 20.7616959 39.1670023, 20.7611433 39.1673066)",,,
126984926,residential,False,False,57.808,,,"LINESTRING (20.7605204 39.1665649, 20.7604205 39.1666139, 20.759956 39.1668456)",,,
