osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,ref,bridge,access
669860533,True,Μεγάλου Αλεξάνδρου,secondary,50,False,86.834,,"LINESTRING (24.7098672 40.7777859, 24.7104429 40.7784338)",,,
126796530,False,Γαλλικής Αρχαιολογικής Σχολής,secondary,50,False,126.684,2,"LINESTRING (24.7098672 40.7777859, 24.7099329 40.7777596, 24.7103459 40.7775145, 24.7108778 40.7771841, 24.7110455 40.7770792)",,,
627041545,False,Πολύγνωτου Βαγή,residential,50,False,111.01400000000001,,"LINESTRING (24.7098672 40.7777859, 24.7097886 40.777992, 24.7097114 40.7781342, 24.7095934 40.7783756, 24.7094272 40.7787264)",,,
155879249,False,Γαλλικής Αρχαιολογικής Σχολής,secondary,,False,9.254,2,"LINESTRING (24.7110455 40.7770792, 24.7110643 40.7769972)",,,
126796530,False,Γαλλικής Αρχαιολογικής Σχολής,secondary,50,True,126.68399999999998,2,"LINESTRING (24.7110455 40.7770792, 24.7108778 40.7771841, 24.7103459 40.7775145, 24.7099329 40.7777596, 24.7098672 40.7777859)",,,
738467263,False,Πιέρ Ντε Βαμπέζ,tertiary,50,True,58.077000000000005,1,"LINESTRING (24.7110455 40.7770792, 24.7111649 40.7772348, 24.7113013 40.7774095, 24.7113997 40.7775273)",,,
669860873,False,Θεαγένους,tertiary,50,True,27.511,1,"LINESTRING (24.7120868 40.7782589, 24.7118852 40.7784536)",,,
738467263,False,Πιέρ Ντε Βαμπέζ,tertiary,50,False,99.825,1,"LINESTRING (24.7120868 40.7782589, 24.7113997 40.7775273)",,,
365483888,False,Θεαγένους,tertiary,50,False,42.835,1,"LINESTRING (24.7120868 40.7782589, 24.7122358 40.7781187, 24.7123019 40.7780564, 24.7124056 40.7779587)",,,
626409568,False,,residential,50,False,63.94200000000001,,"LINESTRING (24.7120868 40.7782589, 24.71218 40.7783855, 24.712209 40.7783974, 24.7122498 40.7783814, 24.7126494 40.7781679)",,,
324827010,True,,tertiary,50,False,89.35,1,"LINESTRING (24.708662 40.7775794, 24.7091413 40.7768625)",,,
155871490,False,,tertiary,50,False,27.077,,"LINESTRING (24.7091413 40.7768625, 24.7091205 40.7766195)",,,
400474419,True,Μεγάλου Αλεξάνδρου,tertiary,50,False,119.648,,"LINESTRING (24.7091413 40.7768625, 24.7092349 40.7769708, 24.7093532 40.7771103, 24.7095756 40.7774441, 24.7097406 40.777638, 24.7098672 40.7777859)",,,
669863319,False,18ης Οκτωβρίου,tertiary,50,False,62.064,,"LINESTRING (24.7033051 40.7796632, 24.7036258 40.7796045, 24.7040235 40.7795384)",,,
400474422,True,,secondary,50,False,19.155,,"LINESTRING (24.70619 40.7790324, 24.7061575 40.7792029)",,,
400474428,True,18ης Οκτωβρίου,secondary,50,False,127.68900000000001,,"LINESTRING (24.70619 40.7790324, 24.706704 40.7790326, 24.7069584 40.7790408, 24.7077011 40.7791072)",,,
