osmid,oneway,ref,name,highway,reversed,length,bridge,geometry,lanes,maxspeed
"[115491131, 32001123, 115491141]",True,ΕΟ83,Μαραθώνος,secondary,False,128.666,yes,"LINESTRING (23.9641841 38.1505102, 23.964105 38.1503721, 23.9640373 38.1501908, 23.9640149 38.1501125, 23.963987 38.1500064, 23.9639625 38.1498783, 23.963897 38.1493824)",,
179130579,False,ΕΟ83,Μαραθώνος,secondary,False,10.483,,"LINESTRING (23.9641841 38.1505102, 23.9641893 38.150559, 23.9641901 38.1506043)",,
940866935,True,,Δημοκρατίας,tertiary,False,37.836,,"LINESTRING (23.9643942 38.1505307, 23.9641429 38.1508077)",1,
940866938,False,,Δημοκρατίας,tertiary,False,20.539,,"LINESTRING (23.9643942 38.1505307, 23.9643443 38.1505566, 23.9643294 38.1505701, 23.9643139 38.1505834, 23.9642977 38.1505921, 23.9642811 38.1505975, 23.9642586 38.1506017, 23.9642341 38.1506043, 23.9641901 38.1506043)",2,
1016665575,False,,Δημοκρατίας,tertiary,True,150.45800000000003,,"LINESTRING (23.9643942 38.1505307, 23.9646373 38.1502803, 23.9649839 38.1499234, 23.965044 38.1498602, 23.9654091 38.1494386)",2,
25457871,False,,Μιλήτου,residential,False,139.95,,"LINESTRING (23.9627579 38.1523708, 23.9640416 38.1531225)",,
684526369,False,ΕΟ83,Μαραθώνος,secondary,False,112.77799999999999,,"LINESTRING (23.9627579 38.1523708, 23.9620515 38.1531549, 23.9620123 38.1531984)",2,40
684526369,False,ΕΟ83,Μαραθώνος,secondary,True,63.802,,"LINESTRING (23.9627579 38.1523708, 23.9630372 38.152066, 23.9631845 38.1519053)",2,40
25457196,True,ΕΟ83,Μιλτιάδου,secondary,False,77.259,,"LINESTRING (23.9619276 38.1533098, 23.9626514 38.1537083)",1,40
684526369,False,ΕΟ83,Μαραθώνος,secondary,True,14.432,,"LINESTRING (23.9619276 38.1533098, 23.9620123 38.1531984)",2,40
25457222,False,,Κυνεγείρου,residential,False,252.219,,"LINESTRING (23.9615838 38.1538545, 23.9631392 38.154783, 23.9637053 38.1551085, 23.9638939 38.1552126)",,
"[928822733, 838913438]",True,ΕΟ83,,secondary,False,67.619,,"LINESTRING (23.9615838 38.1538545, 23.961749 38.1535928, 23.9618978 38.153357, 23.9619276 38.1533098)",1,40
389735564,True,ΕΟ83,,secondary,False,102.948,,"LINESTRING (23.9598223 38.1566543, 23.9603293 38.1558187)",1,40
684526370,True,ΕΟ83,Μιλτιάδου,secondary,False,47.683,,"LINESTRING (23.9641727 38.1546254, 23.9645922 38.1548994)",1,
25457230,False,,Τετραπόλεως,residential,True,70.89600000000002,,"LINESTRING (23.9641727 38.1546254, 23.963953 38.1549391, 23.9639302 38.1549802, 23.9639195 38.1550107, 23.9639118 38.1550749, 23.9639038 38.1551586, 23.9638939 38.1552126)",,
684526371,True,ΕΟ83,Αθανασίου Χρυσίνα,secondary,False,59.282,,"LINESTRING (23.9639126 38.1558733, 23.9636113 38.1563509)",1,40
179130578,False,,Αριστείδου,residential,False,197.714,,"LINESTRING (23.9639126 38.1558733, 23.9640507 38.1559597, 23.9642943 38.1560971, 23.9648388 38.1563999, 23.9651786 38.1566181, 23.9652507 38.1566631, 23.9654345 38.1567716, 23.9656302 38.1568695, 23.9657347 38.1569242)",,
838913437,False,,Αριστείδου,residential,True,33.194,,"LINESTRING (23.9639126 38.1558733, 23.9637792 38.155794, 23.9636132 38.1556898)",,
25457235,False,,25ης Μαρτίου,residential,False,59.952,,"LINESTRING (23.9636113 38.1563509, 23.9641731 38.15666)",,
1007361722,False,,25ης Μαρτίου,residential,True,283.989,,"LINESTRING (23.9636113 38.1563509, 23.9609053 38.1549384)",,
684526371,True,ΕΟ83,Αθανασίου Χρυσίνα,secondary,False,52.676,,"LINESTRING (23.9636113 38.1563509, 23.9634174 38.1566497, 23.9633268 38.1567682)",1,40
25457249,True,,Μιλτιάδη Μαντά,residential,False,41.752,,"LINESTRING (23.9627273 38.1573691, 23.9623434 38.1571458)",,
684526371,True,ΕΟ83,Αθανασίου Χρυσίνα,secondary,False,46.359,,"LINESTRING (23.9627273 38.1573691, 23.9624392 38.1577191)",1,40
838913438,True,ΕΟ83,,secondary,False,69.077,,"LINESTRING (23.9612363 38.1544124, 23.9615838 38.1538545)",1,40
"[25457217, 753906995]",False,,Στάμου,residential,"[False, True]",225.279,,"LINESTRING (23.9612363 38.1544124, 23.9602059 38.1539778, 23.9601539 38.1539749, 23.9601197 38.1539991, 23.9599467 38.1542399, 23.9598566 38.1543684, 23.9598122 38.1544641, 23.959782 38.1545286, 23.9596635 38.1548388, 23.9596392 38.1549487)",1,
838913437,False,,Αριστείδου,residential,False,251.889,,"LINESTRING (23.9612363 38.1544124, 23.9618111 38.15469, 23.9622386 38.1549332, 23.9626502 38.1551812, 23.9636132 38.1556898)",,
25457222,False,,Κυνεγείρου,residential,True,252.219,,"LINESTRING (23.9638939 38.1552126, 23.9637053 38.1551085, 23.9631392 38.154783, 23.9615838 38.1538545)",,
25457230,False,,Τετραπόλεως,residential,False,70.896,,"LINESTRING (23.9638939 38.1552126, 23.9639038 38.1551586, 23.9639118 38.1550749, 23.9639195 38.1550107, 23.9639302 38.1549802, 23.963953 38.1549391, 23.9641727 38.1546254)",,
25457230,False,,Τετραπόλεως,residential,True,59.563,,"LINESTRING (23.9638939 38.1552126, 23.9638841 38.1552663, 23.9638689 38.1553231, 23.9638544 38.1553675, 23.9638378 38.1554136, 23.963818 38.155456, 23.9637965 38.1554876, 23.9637434 38.1555513, 23.9636992 38.1556054, 23.9636132 38.1556898)",,
25457230,False,,Τετραπόλεως,residential,False,59.563,,"LINESTRING (23.9636132 38.1556898, 23.9636992 38.1556054, 23.9637434 38.1555513, 23.9637965 38.1554876, 23.963818 38.155456, 23.9638378 38.1554136, 23.9638544 38.1553675, 23.9638689 38.1553231, 23.9638841 38.1552663, 23.9638939 38.1552126)",,
838913437,False,,Αριστείδου,residential,False,33.194,,"LINESTRING (23.9636132 38.1556898, 23.9637792 38.155794, 23.9639126 38.1558733)",,
838913437,False,,Αριστείδου,residential,True,251.889,,"LINESTRING (23.9636132 38.1556898, 23.9626502 38.1551812, 23.9622386 38.1549332, 23.9618111 38.15469, 23.9612363 38.1544124)",,
389735564,True,ΕΟ83,,secondary,False,65.258,,"LINESTRING (23.9609053 38.1549384, 23.9612363 38.1544124)",1,40
1007361722,False,,25ης Μαρτίου,residential,False,283.989,,"LINESTRING (23.9609053 38.1549384, 23.9636113 38.1563509)",,
389735564,True,ΕΟ83,,secondary,False,53.521,,"LINESTRING (23.9606275 38.1553673, 23.9609053 38.1549384)",1,40
25457240,True,,28ης Οκτωβρίου,residential,False,234.46099999999998,,"LINESTRING (23.9628417 38.1565541, 23.9616214 38.1558593, 23.9610122 38.1555431, 23.9606275 38.1553673)",,
25457251,False,,Τρικορίνθου,residential,True,78.96,,"LINESTRING (23.9628417 38.1565541, 23.9625831 38.15688, 23.9624115 38.1570633, 23.9623434 38.1571458)",,
25457240,True,,28ης Οκτωβρίου,residential,False,48.647999999999996,,"LINESTRING (23.9633268 38.1567682, 23.9631306 38.1566863, 23.9628417 38.1565541)",,
179138849,False,,28ης Οκτωβρίου,residential,False,69.518,,"LINESTRING (23.9633268 38.1567682, 23.9634953 38.1568533, 23.9635855 38.1568992, 23.9639852 38.1571185)",,
684526371,True,ΕΟ83,Αθανασίου Χρυσίνα,secondary,False,85.046,,"LINESTRING (23.9633268 38.1567682, 23.9632292 38.1568823, 23.9631423 38.1569698, 23.9630023 38.1570925, 23.9629431 38.1571431, 23.9628911 38.1571926, 23.9627939 38.1572957, 23.9627273 38.1573691)",1,40
389735564,True,ΕΟ83,,secondary,False,56.562,,"LINESTRING (23.9603293 38.1558187, 23.9606275 38.1553673)",1,40
25457249,True,,Μιλτιάδη Μαντά,residential,False,197.676,,"LINESTRING (23.9620575 38.1569645, 23.9618118 38.1567978, 23.9616394 38.1566809, 23.961006 38.1562512, 23.9609049 38.1561826, 23.9607235 38.1560679, 23.9603293 38.1558187)",,
25457249,True,,Μιλτιάδη Μαντά,residential,False,32.114,,"LINESTRING (23.9623434 38.1571458, 23.9620575 38.1569645)",,
25457251,False,,Τρικορίνθου,residential,False,78.96000000000001,,"LINESTRING (23.9623434 38.1571458, 23.9624115 38.1570633, 23.9625831 38.15688, 23.9628417 38.1565541)",,
907909859,False,,Αθηνάς,residential,True,17.068,,"LINESTRING (23.9613069 38.157639, 23.9611553 38.1575423)",,
25457258,True,,Πατριάρχου Γρηγορίου Ε',residential,False,61.961,,"LINESTRING (23.9613069 38.157639, 23.9615886 38.1573236, 23.9617431 38.1572021)",,
25457258,True,,Πατριάρχου Γρηγορίου Ε',residential,False,38.127,,"LINESTRING (23.9617431 38.1572021, 23.9620575 38.1569645)",,
25457262,False,,Προβαλίνθου,residential,False,83.81,,"LINESTRING (23.9617431 38.1572021, 23.9624021 38.1576798, 23.9624392 38.1577191)",,
389735564,True,ΕΟ83,,secondary,False,67.03999999999999,,"LINESTRING (23.9595177 38.1572243, 23.9595847 38.1570985, 23.9598139 38.1566682)",1,40
25457279,False,,Ηρώδου Αττικού,residential,True,22.774,,"LINESTRING (23.9608638 38.1573481, 23.9607051 38.1575105)",,
907909859,False,,Αθηνάς,residential,False,33.405,,"LINESTRING (23.9608638 38.1573481, 23.9611553 38.1575423)",,
25457257,True,,Αθηνάς,residential,False,119.384,,"LINESTRING (23.9608638 38.1573481, 23.9603484 38.1569878, 23.9598223 38.1566543)",,
25457289,False,,Κολοκοτρώνη,residential,False,18.749,,"LINESTRING (23.9611553 38.1575423, 23.961031 38.1576797)",,
907909859,False,,Αθηνάς,residential,False,17.068,,"LINESTRING (23.9611553 38.1575423, 23.9613069 38.157639)",,
907909859,False,,Αθηνάς,residential,True,33.405,,"LINESTRING (23.9611553 38.1575423, 23.9608638 38.1573481)",,
25457362,False,,,residential,False,153.09199999999998,,"LINESTRING (23.9584907 38.157617, 23.9584941 38.1576091, 23.958498 38.1576014, 23.9585024 38.1575938, 23.9585065 38.1575876, 23.9585109 38.1575815, 23.9585173 38.1575737, 23.9585257 38.1575648, 23.9585351 38.1575562, 23.9585454 38.1575479, 23.9587941 38.1573983, 23.9588943 38.1573413, 23.9589069 38.1573339, 23.9589192 38.1573261, 23.9589384 38.1573131, 23.9589531 38.1573023, 23.9589691 38.1572895, 23.9589845 38.1572762, 23.9589994 38.1572621, 23.9590136 38.1572475, 23.9590285 38.1572306, 23.959032 38.1572263, 23.9590355 38.157222, 23.9590423 38.1572133, 23.9590542 38.1571965, 23.9590598 38.157188, 23.9590652 38.1571794, 23.9590715 38.1571687, 23.9590774 38.1571578, 23.9590829 38.157147, 23.9590879 38.1571361, 23.9590972 38.1571132, 23.9591012 38.1571016, 23.9591048 38.15709, 23.9591052 38.1570873, 23.9592473 38.1564562)",,
887600910,False,,Αθηνάς,residential,False,54.864,,"LINESTRING (23.9592473 38.1564562, 23.9598139 38.1566682)",,
887600910,False,,Αθηνάς,residential,True,18.088,,"LINESTRING (23.9592473 38.1564562, 23.9590605 38.1563863)",,
25457362,False,,,residential,False,92.395,,"LINESTRING (23.9592473 38.1564562, 23.9593767 38.1557283, 23.9592557 38.1557159)",,
25457362,False,,,residential,True,153.09199999999998,,"LINESTRING (23.9592473 38.1564562, 23.9591052 38.1570873, 23.9591048 38.15709, 23.9591012 38.1571016, 23.9590972 38.1571132, 23.9590879 38.1571361, 23.9590829 38.157147, 23.9590774 38.1571578, 23.9590715 38.1571687, 23.9590652 38.1571794, 23.9590598 38.157188, 23.9590542 38.1571965, 23.9590423 38.1572133, 23.9590355 38.157222, 23.959032 38.1572263, 23.9590285 38.1572306, 23.9590136 38.1572475, 23.9589994 38.1572621, 23.9589845 38.1572762, 23.9589691 38.1572895, 23.9589531 38.1573023, 23.9589384 38.1573131, 23.9589192 38.1573261, 23.9589069 38.1573339, 23.9588943 38.1573413, 23.9587941 38.1573983, 23.9585454 38.1575479, 23.9585351 38.1575562, 23.9585257 38.1575648, 23.9585173 38.1575737, 23.9585109 38.1575815, 23.9585065 38.1575876, 23.9585024 38.1575938, 23.958498 38.1576014, 23.9584941 38.1576091, 23.9584907 38.157617)",,
25457408,False,,Σπηλαίου Πανός,residential,False,7.931,,"LINESTRING (23.9583187 38.1561088, 23.9583546 38.1560433)",,
887600910,False,,Αθηνάς,residential,False,71.826,,"LINESTRING (23.9583187 38.1561088, 23.9590605 38.1563863)",,
25457408,False,,Σπηλαίου Πανός,residential,True,107.709,,"LINESTRING (23.9583187 38.1561088, 23.9581791 38.1563401, 23.958098 38.1564461, 23.9579968 38.1565439, 23.9576102 38.1568929)",,
25457393,False,,Σπηλαίου Πανός,residential,False,27.256,,"LINESTRING (23.9573821 38.1571044, 23.9571966 38.1573014)",,
239781274,False,,,residential,True,25.39,,"LINESTRING (23.9573821 38.1571044, 23.9575148 38.1573075)",,
25457408,False,,Σπηλαίου Πανός,residential,False,30.852,,"LINESTRING (23.9573821 38.1571044, 23.9574737 38.1570125, 23.9576102 38.1568929)",,
1007581197,False,,Κυρίλλου,residential,False,78.044,,"LINESTRING (23.9573821 38.1571044, 23.9571106 38.1569376, 23.9570702 38.1569117, 23.9570484 38.1568995, 23.9570224 38.1568886, 23.9566038 38.1567828)",,
25457393,False,,Σπηλαίου Πανός,residential,True,27.256,,"LINESTRING (23.9571966 38.1573014, 23.9573821 38.1571044)",,
239781275,False,,,residential,False,27.83,,"LINESTRING (23.9571966 38.1573014, 23.9575148 38.1573075)",,
106360141,False,,Σπηλαίου Πανός,residential,True,36.522000000000006,,"LINESTRING (23.9571966 38.1573014, 23.9570083 38.1573245, 23.9567819 38.1573388)",,
239781274,False,,,residential,False,25.39,,"LINESTRING (23.9575148 38.1573075, 23.9573821 38.1571044)",,
239781275,False,,,residential,True,27.83,,"LINESTRING (23.9575148 38.1573075, 23.9571966 38.1573014)",,
106360140,True,,,residential,False,92.273,,"LINESTRING (23.9575148 38.1573075, 23.9576318 38.1573233, 23.9579009 38.1574175, 23.9584907 38.157617)",,
25457408,False,,Σπηλαίου Πανός,residential,True,60.355,,"LINESTRING (23.9586277 38.1555448, 23.9583546 38.1560433)",,
25457430,False,,,residential,False,42.378,,"LINESTRING (23.9586277 38.1555448, 23.9582115 38.1553495)",,
25457408,False,,Σπηλαίου Πανός,residential,False,70.80799999999999,,"LINESTRING (23.9586277 38.1555448, 23.958842 38.1552044, 23.9590048 38.1549816)",,
25457408,False,,Σπηλαίου Πανός,residential,False,21.586,,"LINESTRING (23.9590048 38.1549816, 23.9591256 38.1548123)",,
1007291026,False,,Αλκαμένους,residential,False,61.485,,"LINESTRING (23.9590048 38.1549816, 23.9583678 38.1547474)",,
25457408,False,,Σπηλαίου Πανός,residential,True,70.80799999999999,,"LINESTRING (23.9590048 38.1549816, 23.958842 38.1552044, 23.9586277 38.1555448)",,
115491133,False,,,residential,False,60.43600000000001,,"LINESTRING (23.9614486 38.1528856, 23.9617611 38.153039, 23.9620123 38.1531984)",,
25457430,False,,,residential,False,58.216,,"LINESTRING (23.9582115 38.1553495, 23.957649 38.1550694)",,
25457430,False,,,residential,True,42.378,,"LINESTRING (23.9582115 38.1553495, 23.9586277 38.1555448)",,
25457439,False,,Κασσάνδρας,residential,False,69.01299999999999,,"LINESTRING (23.9582115 38.1553495, 23.9582636 38.1549708, 23.9582729 38.1549252, 23.9582808 38.1548957, 23.9582895 38.1548764, 23.9583678 38.1547474)",,
1007291026,False,,Αλκαμένους,residential,False,34.209,,"LINESTRING (23.958344 38.1547387, 23.957988 38.1546111)",,
1007291026,False,,Αλκαμένους,residential,True,2.295,,"LINESTRING (23.958344 38.1547387, 23.9583678 38.1547474)",,
25457432,False,,Κασσάνδρας,residential,False,98.025,,"LINESTRING (23.958344 38.1547387, 23.958476 38.1542681, 23.9586137 38.1538834)",,
25457430,False,,,residential,True,58.216,,"LINESTRING (23.957649 38.1550694, 23.9582115 38.1553495)",,
753906994,False,,Αδριανού,residential,False,16.871,,"LINESTRING (23.9589947 38.1534016, 23.9588089 38.1533607)",,
25457432,False,,Κασσάνδρας,residential,True,63.49,,"LINESTRING (23.9589947 38.1534016, 23.9588841 38.1535066, 23.9588368 38.1535541, 23.9587916 38.1536036, 23.9587568 38.1536471, 23.95872 38.1536985, 23.9586665 38.1537854, 23.9586137 38.1538834)",,
