osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,bridge
104063741,True,Κολοκοτρώνη,residential,False,70.456,"LINESTRING (22.1114404 37.0415962, 22.1119388 37.0415049, 22.1122144 37.0414555)",,,,
122902068,True,Νέδοντος,tertiary,False,92.42099999999999,"LINESTRING (22.1114404 37.0415962, 22.1113676 37.0412423, 22.1113124 37.0410271, 22.1112879 37.040975, 22.1112393 37.0408789, 22.1111914 37.0407935)",,,,
451368399,False,,residential,True,39.445,"LINESTRING (22.1114404 37.0415962, 22.1113072 37.0416186, 22.1110048 37.0416665)",2,50,,
104112924,True,Αριστοτέλους,tertiary,False,87.14,"LINESTRING (22.1134013 37.0334482, 22.1143824 37.0334211)",,,,
988121272,False,Φαρών,secondary,False,64.312,"LINESTRING (22.1134013 37.0334482, 22.1134002 37.0334356, 22.1133842 37.03287)",2,,,
988121272,False,Φαρών,secondary,True,18.644,"LINESTRING (22.1134013 37.0334482, 22.1134077 37.0335006, 22.113414 37.0335258, 22.1134359 37.0336134)",2,,,
474255831,True,Κεφαλά,secondary,False,54.497,"LINESTRING (22.1097487 37.0374537, 22.1093211 37.0378054)",2,,,
122948770,False,Δαγρέ,residential,True,65.164,"LINESTRING (22.1097487 37.0374537, 22.1097822 37.0374824, 22.1102612 37.0378733)",2,50,,
741982933,True,Βύρωνος,residential,False,34.761,"LINESTRING (22.1162466 37.0397725, 22.1163314 37.0400777)",,,,
122871902,True,Λακωνικής,secondary,False,79.147,"LINESTRING (22.1162466 37.0397725, 22.1154891 37.0399452, 22.1153889 37.0399672)",2,50,,
104063692,True,Δημακοπούλου,residential,False,95.511,"LINESTRING (22.1156778 37.0409218, 22.1146473 37.0411692)",2,50,,
656404483,True,Φαρών,secondary,False,35.6,"LINESTRING (22.1156778 37.0409218, 22.1155836 37.0406106)",2,50,,
463043293,True,Μαυρομιχάλη,secondary,False,30.86,"LINESTRING (22.1158902 37.0416234, 22.11623 37.0415646)",2,50,,
656404483,True,Φαρών,secondary,False,80.26,"LINESTRING (22.1158902 37.0416234, 22.1156778 37.0409218)",2,50,,
122943670,False,Χίου,residential,False,38.532,"LINESTRING (22.1056649 37.0330237, 22.1056668 37.0333064, 22.105636 37.0333653)",2,50,,
44438951,True,Πλάτωνος,secondary,False,7.486,"LINESTRING (22.1115209 37.0329128, 22.1114366 37.0329147)",2,,,
123042273,True,Φιλελλήνων,tertiary,False,74.861,"LINESTRING (22.1115209 37.0329128, 22.1115435 37.0335858)",,,,
44438951,True,Πλάτωνος,secondary,False,84.94,"LINESTRING (22.1133842 37.03287, 22.1124277 37.032892)",2,,,
