osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name,width
119315016,False,2,residential,50,False,100.293,"LINESTRING (21.6439886 37.4858031, 21.6438136 37.4866943)",,,
119315016,False,2,residential,50,True,24.266,"LINESTRING (21.6439886 37.4858031, 21.6440295 37.4855873)",,,
"[119315000, 119315009]",False,2,residential,50,True,153.647,"LINESTRING (21.6439886 37.4858031, 21.6434339 37.4857523, 21.6433983 37.4857571, 21.6433749 37.4857709, 21.6433628 37.4857933, 21.6432756 37.4863679, 21.6432354 37.4866499)",,,
119315017,False,2,residential,50,False,148.64,"LINESTRING (21.6439886 37.4858031, 21.6445198 37.4858574, 21.6445376 37.4858662, 21.644548 37.4858784, 21.644552 37.4858949, 21.6445523 37.4859138, 21.6444323 37.4867531)",,,
119315004,False,2,tertiary,50,False,58.766000000000005,"LINESTRING (21.6455598 37.48576, 21.6458281 37.4857956, 21.6460235 37.4858053, 21.6462217 37.4858066)",,,
988512125,True,1,tertiary,50,False,17.03,"LINESTRING (21.6455598 37.48576, 21.6453965 37.4857545, 21.6453671 37.4857521)",,,
119315016,False,2,residential,50,False,24.266,"LINESTRING (21.6440295 37.4855873, 21.6439886 37.4858031)",,,
119314988,False,2,primary,50,True,117.393,"LINESTRING (21.6440295 37.4855873, 21.6433172 37.4855155, 21.6427124 37.4854389)",ΕΟ9,Πύργος - Κυπαρισσία,
988512123,True,2,primary,50,False,95.72900000000001,"LINESTRING (21.6440295 37.4855873, 21.6445666 37.4856089, 21.6446879 37.4856189, 21.6448047 37.4856223, 21.6449158 37.4856149, 21.6450329 37.4856012, 21.6451085 37.4855845)",ΕΟ9,Πύργος - Κυπαρισσία,
988512140,False,2,primary,50,True,32.287,"LINESTRING (21.6481305 37.4832824, 21.6479439 37.4834251, 21.6478702 37.4834864)",ΕΟ9,Πύργος - Κυπαρισσία,
988512141,False,2,primary,50,False,180.57,"LINESTRING (21.6481305 37.4832824, 21.648412 37.4830448, 21.6486834 37.4827816, 21.6488921 37.4825385, 21.649076 37.4823126, 21.6491923 37.4821269, 21.6492965 37.4819589)",ΕΟ9,Πύργος - Κυπαρισσία,
119561724,False,2,residential,50,True,70.007,"LINESTRING (21.6472346 37.4857411, 21.6472386 37.4857032, 21.6472654 37.4854463, 21.647256 37.4854149, 21.6472366 37.4853963, 21.6471997 37.4853777, 21.646906 37.4853101)",,,
