osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,bridge
300562768,False,2,unclassified,50,False,31.459,"LINESTRING (22.9242908 40.4314421, 22.9243223 40.431724)",,
300562768,False,2,unclassified,50,True,69.87899999999999,"LINESTRING (22.9242908 40.4314421, 22.9242011 40.4309849, 22.9241846 40.4309056, 22.9241542 40.4308229)",,
812595659,False,,residential,,False,129.93,"LINESTRING (22.9242908 40.4314421, 22.9248405 40.4313904, 22.9250269 40.4313802, 22.9250336 40.4313445, 22.9250296 40.4312618, 22.9249648 40.4307785)",,
300562768,False,2,unclassified,50,True,59.621,"LINESTRING (22.9244966 40.4324582, 22.924401 40.4321495, 22.9243916 40.4319306)",,
22327571,False,,secondary,,False,11.078,"LINESTRING (22.9213145 40.4309207, 22.9211972 40.4309649)",Επανωμής - Νέας Μηχανιώνας,
1114890249,False,2,secondary,,False,35.575,"LINESTRING (22.9213145 40.4309207, 22.9216576 40.4307359)",28ης Οκτωβρίου,
1114890249,False,2,secondary,,True,79.12,"LINESTRING (22.9233398 40.4298215, 22.9225695 40.4302246)",28ης Οκτωβρίου,
14429725,False,2,tertiary,30,True,88.081,"LINESTRING (22.9233398 40.4298215, 22.9232687 40.4297377, 22.923207 40.4295295, 22.9231748 40.4292518, 22.9231807 40.4290517)",Αγίου Σπυρίδωνος,
300262991,False,2,secondary,,False,119.123,"LINESTRING (22.9233398 40.4298215, 22.9235911 40.4296988, 22.9238639 40.4296112, 22.9241715 40.4295223, 22.9246028 40.4293556)",28ης Οκτωβρίου,
300562783,False,2,tertiary,,True,118.673,"LINESTRING (22.9233398 40.4298215, 22.9238047 40.4304383, 22.9239077 40.4305845, 22.9239508 40.4306572, 22.9240155 40.4307561)",Αγίου Σπυρίδωνος,
14429725,False,2,tertiary,30,False,85.85,"LINESTRING (22.921498 40.4251762, 22.9223448 40.4256011)",Αγίου Σπυρίδωνος,
893158195,False,2,tertiary,,False,83.541,"LINESTRING (22.921498 40.4251762, 22.9217987 40.4249895, 22.9220399 40.4248046, 22.9222066 40.4246561)",Αγίων Θεόδωρων,
14429725,False,2,tertiary,30,True,85.85,"LINESTRING (22.9223448 40.4256011, 22.921498 40.4251762)",Αγίου Σπυρίδωνος,
14429725,False,2,tertiary,30,False,140.24,"LINESTRING (22.9223448 40.4256011, 22.9225966 40.4257383, 22.9227511 40.4258483, 22.9228509 40.4259332, 22.9229365 40.4260559, 22.9230019 40.426135, 22.9230593 40.4262245, 22.9231175 40.4263198, 22.9231644 40.4264082, 22.9232005 40.4264982, 22.9232961 40.4265986)",Αγίου Σπυρίδωνος,
812595421,False,,residential,,True,106.208,"LINESTRING (22.9223448 40.4256011, 22.921886 40.425838, 22.9218243 40.4258451, 22.921701 40.4258144, 22.9215883 40.425792, 22.9215098 40.4258058, 22.9212544 40.4259411)",,
14429725,False,2,tertiary,30,False,48.347,"LINESTRING (22.9233455 40.4276265, 22.9232797 40.4280584)",Αγίου Σπυρίδωνος,
14429725,False,2,tertiary,30,True,96.86099999999999,"LINESTRING (22.9233455 40.4276265, 22.9233329 40.4274061, 22.9233032 40.4269455, 22.9232717 40.4267577)",Αγίου Σπυρίδωνος,
