osmid,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
181069259,residential,False,False,214.00600000000003,"LINESTRING (22.7071003 40.7656612, 22.708298 40.7656355, 22.7088328 40.7656179, 22.7096397 40.765592)",,,
683664435,tertiary,False,False,31.303,"LINESTRING (22.7071003 40.7656612, 22.7071071 40.7655011, 22.7070896 40.7653805)",Διακλάδωση Βαθύλακκου,,
683664435,tertiary,False,True,69.732,"LINESTRING (22.7071003 40.7656612, 22.707083 40.7657873, 22.7070331 40.7659828, 22.7069319 40.7662741)",Διακλάδωση Βαθύλακκου,,
181069266,residential,False,True,196.209,"LINESTRING (22.7063643 40.7679632, 22.7049262 40.7693515)",Δαβάκη,,
628054962,tertiary,False,False,24.935,"LINESTRING (22.7063643 40.7679632, 22.7061538 40.7678055)",,,
628054961,residential,False,False,151.714,"LINESTRING (22.7063643 40.7679632, 22.7067116 40.7676822, 22.7076726 40.7670267)",Δαβάκη,,
"[999879747, 999879748, 628054966]",tertiary,False,True,81.157,"LINESTRING (22.7063643 40.7679632, 22.7066662 40.7681865, 22.7068328 40.7683097, 22.7070538 40.7684731)",Λυμπέρη Παυλιδάκη,2,40
628054962,tertiary,False,True,24.935,"LINESTRING (22.7061538 40.7678055, 22.7063643 40.7679632)",,,
683664434,tertiary,True,False,29.387999999999998,"LINESTRING (22.7061538 40.7678055, 22.7060915 40.7677879, 22.7060652 40.7677737, 22.7059465 40.767683, 22.7058872 40.7676406)",Λυμπέρη Παυλιδάκη,,
683664435,tertiary,False,True,7.946,"LINESTRING (22.7059434 40.7675832, 22.7058872 40.7676406)",Διακλάδωση Βαθύλακκου,,
683664435,tertiary,False,False,169.323,"LINESTRING (22.7059434 40.7675832, 22.7061413 40.7673643, 22.7066717 40.7668057, 22.7067272 40.7667327, 22.7067681 40.766667, 22.7067922 40.7666281, 22.7068117 40.7665871, 22.7068852 40.7664002, 22.7069002 40.7663597, 22.7069319 40.7662741)",Διακλάδωση Βαθύλακκου,,
683664436,tertiary,True,False,31.134,"LINESTRING (22.7059434 40.7675832, 22.7060539 40.7676722, 22.7061355 40.7677462, 22.7061456 40.7677629, 22.7061538 40.7678055)",Λυμπέρη Παυλιδάκη,,
683664435,tertiary,False,True,31.303,"LINESTRING (22.7070896 40.7653805, 22.7071071 40.7655011, 22.7071003 40.7656612)",Διακλάδωση Βαθύλακκου,,
181069264,residential,False,False,94.46,"LINESTRING (22.7077014 40.7698287, 22.7083723 40.7705095)",,,
181069264,residential,False,True,95.202,"LINESTRING (22.7077014 40.7698287, 22.7070264 40.7691419)",,,
181069299,residential,False,False,92.93,"LINESTRING (22.7077014 40.7698287, 22.7085875 40.7693306)",Χρυσοστόμου Σμύρνης,,
181069299,residential,False,True,60.697,"LINESTRING (22.7077014 40.7698287, 22.7071388 40.7701699)",Χρυσοστόμου Σμύρνης,,
181069260,residential,False,True,91.721,"LINESTRING (22.7043327 40.7718704, 22.7036606 40.7712213)",,,
181069299,residential,False,False,97.576,"LINESTRING (22.7043327 40.7718704, 22.7052284 40.7713137)",Χρυσοστόμου Σμύρνης,,
181069299,residential,False,True,66.23,"LINESTRING (22.7043327 40.7718704, 22.7042208 40.7719617, 22.7041167 40.7720548, 22.7038858 40.7723569)",Χρυσοστόμου Σμύρνης,,
181069280,residential,False,False,28.702,"LINESTRING (22.708925 40.7683985, 22.7091181 40.7686112)",Καρατάσου,,
181069280,residential,False,True,81.169,"LINESTRING (22.708925 40.7683985, 22.7083936 40.7677895)",Καρατάσου,,
181069284,residential,False,False,166.921,"LINESTRING (22.708925 40.7683985, 22.7106245 40.767626)",25ης Μαρτίου,,
181069284,residential,False,True,69.774,"LINESTRING (22.708925 40.7683985, 22.70824 40.7687515)",25ης Μαρτίου,,
181069288,residential,False,False,91.356,"LINESTRING (22.7068533 40.7703401, 22.707512 40.7709929)",Ρήγα Φεραίου,,
181069299,residential,False,False,30.598,"LINESTRING (22.7068533 40.7703401, 22.7071388 40.7701699)",Χρυσοστόμου Σμύρνης,,
