osmid,oneway,lanes,name,highway,reversed,length,maxspeed,ref,geometry,width
27226433,True,1,Πλατε;ία Κολοκοτρωνη,residential,False,72.576,,,"LINESTRING (24.0211886 35.5114567, 24.0205431 35.5110695)",
275820098,True,1,Αποκορώνου,secondary,False,42.929,50,,"LINESTRING (24.0211886 35.5114567, 24.0214534 35.5111364)",
5738801,True,,Μπονιαλη Κτιστακη,residential,False,69.844,,,"LINESTRING (24.0224833 35.5127716, 24.022129 35.5122136)",
26712696,True,,Στρατηγού Τζανακάκη,secondary,False,64.838,50,ΕΟ90,"LINESTRING (24.0224833 35.5127716, 24.0218651 35.5130662)",
26712696,True,,Στρατηγού Τζανακάκη,secondary,False,137.554,50,ΕΟ90,"LINESTRING (24.0236677 35.5120031, 24.0232472 35.5123315, 24.0230383 35.5124651, 24.0228867 35.512562, 24.0224833 35.5127716)",
422984238,False,3,Plateia Markopoulou,tertiary,True,9.928,50,,"LINESTRING (24.0214329 35.5142107, 24.021513 35.5141497)",
422984239,False,3,Plateia Markopoulou,residential,False,21.849,50,,"LINESTRING (24.0214329 35.5142107, 24.0213536 35.5142854, 24.0212767 35.5143605)",
422984258,True,2,Ελευθερίου Βενιζέλου,secondary,False,110.114,,ΕΟ94,"LINESTRING (24.0214329 35.5142107, 24.0212841 35.5141429, 24.020976 35.5140002, 24.0207116 35.5138777, 24.0206033 35.5138375, 24.0205749 35.5138284, 24.0204638 35.513796, 24.0203517 35.5137616)",
331144201,True,,Χατζημιχάλη Γιάνναρη,secondary,False,37.718,30,ΕΟ90,"LINESTRING (24.0197766 35.5138086, 24.0193625 35.5138466)",
"[5738803, 1047219365]",True,,Αποκορώνου,secondary,False,153.5,,,"LINESTRING (24.0197766 35.5138086, 24.0197651 35.5137493, 24.0197172 35.5136092, 24.0196457 35.5134567, 24.01964 35.5134393, 24.0196391 35.5134238, 24.0196418 35.5134088, 24.0196467 35.5133946, 24.0196544 35.513382, 24.0196663 35.5133655, 24.0197453 35.5132746, 24.020252 35.5125847)",
22868548,True,1,Μαθιού Μυλωνογιάννη,residential,False,105.19800000000001,,,"LINESTRING (24.0185584 35.5139185, 24.0187615 35.513471, 24.0187973 35.5130029)",
331144201,True,,Χατζημιχάλη Γιάνναρη,secondary,False,78.36099999999999,30,ΕΟ90,"LINESTRING (24.0185584 35.5139185, 24.0182064 35.5138893, 24.0177013 35.5138214)",
"[531218345, 26713507]",True,,"['Αναγνώστη Σκαλίδη', 'Χατζημιχάλη Γιάνναρη']",secondary,False,39.744,30,ΕΟ90,"LINESTRING (24.0177013 35.5138214, 24.0176041 35.5138016, 24.0174715 35.5137639, 24.0172837 35.5137117)",
95471685,True,1,Αναγνώστη Σκαλίδη,secondary,False,55.95,30,ΕΟ90,"LINESTRING (24.0161003 35.5134071, 24.0154987 35.5132914)",
22868812,True,,Σκαλίδη,tertiary,False,33.341,50,,"LINESTRING (24.0141091 35.5131181, 24.0137593 35.5132121)",
95471685,True,1,Αναγνώστη Σκαλίδη,secondary,False,30.014,30,ΕΟ90,"LINESTRING (24.0141091 35.5131181, 24.0140612 35.5131085, 24.0139573 35.5130689, 24.0138225 35.5129879)",
22868816,False,,Metaxaki,residential,False,25.613,50,,"LINESTRING (24.0138225 35.5129879, 24.0137761 35.5131733, 24.0137593 35.5132121)",
619133372,False,,Μάξίμου Mαργουνίου,residential,False,75.977,,,"LINESTRING (24.0138225 35.5129879, 24.0138384 35.5127089, 24.0138648 35.5123055)",
422984256,True,2,Ελευθερίου Βενιζέλου,secondary,False,71.375,,ΕΟ94,"LINESTRING (24.0221433 35.5144888, 24.0217633 35.5143481, 24.0216453 35.5143019, 24.0216037 35.5142856, 24.0214329 35.5142107)",
22868557,True,1,Νικολάου Σκουλά,tertiary,False,89.331,50,,"LINESTRING (24.0199301 35.508934, 24.0189511 35.5088325)",
261536014,True,,Αναπαύσεως,secondary,False,73.146,50,,"LINESTRING (24.0199301 35.508934, 24.0200074 35.5095888)",
239856844,False,,Αναγνώστου Μάντακα,residential,False,73.737,50,,"LINESTRING (24.0200074 35.5095888, 24.0208156 35.509672)",
261536014,True,,Αναπαύσεως,secondary,False,95.487,50,,"LINESTRING (24.0200074 35.5095888, 24.020092 35.5103209, 24.0201434 35.510437)",
821504607,False,2,Μάρκου Μπότσαρη,secondary,True,109.894,50,,"LINESTRING (24.0201434 35.510437, 24.0189314 35.5103787)",
22868541,True,,Περίδου,secondary,False,71.354,50,,"LINESTRING (24.0201434 35.510437, 24.0203245 35.5108927, 24.0203424 35.5110548)",
821504607,False,2,Μάρκου Μπότσαρη,secondary,False,164.533,50,,"LINESTRING (24.0201434 35.510437, 24.020847 35.5104708, 24.021958 35.5105243)",
58370697,True,,,tertiary,False,56.22,,,"LINESTRING (24.0172837 35.5137117, 24.0174493 35.5132244)",
624347063,True,,Αναγνώστη Σκαλίδη,secondary,False,55.471,30,ΕΟ90,"LINESTRING (24.0172837 35.5137117, 24.0167006 35.5135581)",
26725203,False,2,Σολωμου,secondary,False,84.732,50,,"LINESTRING (24.021958 35.5105243, 24.0228925 35.5105691)",
275820098,True,1,Αποκορώνου,secondary,False,27.2,50,,"LINESTRING (24.021958 35.5105243, 24.0221343 35.5103262)",
22868718,True,,Κορναρου,residential,False,149.719,,,"LINESTRING (24.021958 35.5105243, 24.0221276 35.5106912, 24.0231028 35.5114952)",
821504607,False,2,Μάρκου Μπότσαρη,secondary,True,164.533,50,,"LINESTRING (24.021958 35.5105243, 24.020847 35.5104708, 24.0201434 35.510437)",
24019361,True,,Γεωργιλάδων,residential,False,118.576,50,,"LINESTRING (24.0220535 35.5091054, 24.0219377 35.5080432)",
22868557,True,1,Νικολάου Σκουλά,tertiary,False,100.09299999999999,50,,"LINESTRING (24.0220535 35.5091054, 24.0217566 35.5090945, 24.020952 35.509029)",
22868557,True,1,Νικολάου Σκουλά,tertiary,False,47.03,50,,"LINESTRING (24.0231768 35.5090467, 24.0226596 35.5090871)",
275820098,True,1,Αποκορώνου,secondary,False,144.233,50,,"LINESTRING (24.0231768 35.5090467, 24.0240734 35.5079744)",
22868348,True,,Εφέδρων Πολεμιστών,tertiary,False,84.29,,,"LINESTRING (24.0219377 35.5080432, 24.0228684 35.508018)",
22868410,True,,Μαρκορά,residential,False,35.628,,,"LINESTRING (24.0225106 35.5098672, 24.0229033 35.5098891)",
275820098,True,1,Αποκορώνου,secondary,False,109.362,50,,"LINESTRING (24.0225106 35.5098672, 24.0231768 35.5090467)",
22868410,True,,Μαρκορά,residential,False,62.528,,,"LINESTRING (24.0235535 35.5099115, 24.0242443 35.5099127)",
