osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,access,ref,junction
160222894,False,Καρυωτάκη,residential,50,True,97.682,,"LINESTRING (21.2592098 40.5359714, 21.2602179 40.5355416)",,,
1011464719,False,Χλόης,secondary,30,False,82.624,2,"LINESTRING (21.2592098 40.5359714, 21.258822 40.5352893)",,,
1011464719,False,Χλόης,secondary,30,True,92.11,2,"LINESTRING (21.2592098 40.5359714, 21.2596885 40.5367156)",,,
260205000,True,Ανδρέα Παπανδρέου,residential,50,False,104.54999999999998,,"LINESTRING (21.2592098 40.5359714, 21.2591007 40.5360202, 21.2589746 40.5360663, 21.2588835 40.5360965, 21.2587084 40.5361426, 21.2585099 40.536171, 21.2582928 40.5361923, 21.2580278 40.5361966)",,,
"[1011464719, 138669407]",False,Χλόης,secondary,30,False,133.78699999999998,2,"LINESTRING (21.2602259 40.5378471, 21.2598967 40.5371865, 21.2597255 40.5367967, 21.2596885 40.5367156)",yes,,
260211559,False,Δημάρχου Σαρ. Τσεμάνη,residential,50,False,73.31,,"LINESTRING (21.2602259 40.5378471, 21.2604399 40.5377559, 21.2606987 40.5376754, 21.2608892 40.5376091, 21.2610126 40.5375714)",,,
1012089300,False,Γουναράδων,secondary,,False,31.528,2,"LINESTRING (21.2581508 40.5340394, 21.2582328 40.5337628)",,ΕΟ15,
836106603,True,,secondary,50,False,52.348,,"LINESTRING (21.2581508 40.5340394, 21.2582165 40.5340706, 21.2582482 40.5340941, 21.2582719 40.5341117, 21.2583145 40.5341608, 21.2583424 40.5342157, 21.2583543 40.5342739, 21.2583496 40.5343326, 21.2583287 40.5343892, 21.2582923 40.5344412)",,ΕΟ15,roundabout
1012087477,False,Χλόης,secondary,,True,17.146,2,"LINESTRING (21.2582923 40.5344412, 21.2583793 40.5345805)",,,
836106603,True,,secondary,50,False,26.89,,"LINESTRING (21.2582923 40.5344412, 21.2582407 40.5344872, 21.2581771 40.5345235, 21.2581046 40.5345484, 21.2580267 40.5345606)",,ΕΟ15,roundabout
138669414,True,,secondary,50,False,5.893,,"LINESTRING (21.2577195 40.534467, 21.2576791 40.5344238)",,ΕΟ15,roundabout
928477519,False,Αποδήμων Καστοριανών,residential,50,False,102.501,2,"LINESTRING (21.2577195 40.534467, 21.2569959 40.5352068)",,,
138669413,False,Γουναράδων,secondary,50,False,98.052,2,"LINESTRING (21.2580267 40.5345606, 21.2580273 40.5354424)",,ΕΟ15,
138669414,True,,secondary,50,False,28.98,,"LINESTRING (21.2580267 40.5345606, 21.257941 40.534559, 21.2578582 40.534542, 21.257783 40.5345108, 21.2577195 40.534467)",,ΕΟ15,roundabout
1011464719,False,Χλόης,secondary,30,True,3.216,2,"LINESTRING (21.2588056 40.5352632, 21.258822 40.5352893)",,,
160222907,False,Κωνσταντίνου Καραμανλή,residential,50,True,69.069,,"LINESTRING (21.2588056 40.5352632, 21.2586656 40.5353026, 21.2584792 40.5353566, 21.2582874 40.5354127, 21.2580273 40.5354424)",,,
"[1012087477, 1011464719]",False,Χλόης,secondary,30,False,84.02799999999999,2,"LINESTRING (21.2588056 40.5352632, 21.2586071 40.5349436, 21.2583793 40.5345805)",,,
138669413,False,Γουναράδων,secondary,50,False,83.863,2,"LINESTRING (21.2580273 40.5354424, 21.2580278 40.5361966)",,ΕΟ15,
138669413,False,Γουναράδων,secondary,50,True,98.052,2,"LINESTRING (21.2580273 40.5354424, 21.2580267 40.5345606)",,ΕΟ15,
160222907,False,Κωνσταντίνου Καραμανλή,residential,50,False,69.069,,"LINESTRING (21.2580273 40.5354424, 21.2582874 40.5354127, 21.2584792 40.5353566, 21.2586656 40.5353026, 21.2588056 40.5352632)",,,
160222907,False,Κωνσταντίνου Καραμανλή,residential,50,True,93.271,,"LINESTRING (21.2580273 40.5354424, 21.2578469 40.535451, 21.2575982 40.5354243, 21.2572923 40.535348, 21.2569959 40.5352068)",,,
