osmid,oneway,lanes,highway,junction,reversed,length,name,maxspeed,geometry,access,bridge
519725105,True,2,primary,roundabout,False,0.685,,,"LINESTRING (114.9430017 4.8872063, 114.9430057 4.8872016)",,
376641682,True,2,primary,,False,85.311,Jalan Sultan Omar Ali Saifuddien,50,"LINESTRING (114.9429976 4.8879735, 114.9430015 4.8875559, 114.9430017 4.8872063)",,
325387816,False,3,primary,,False,12.628,Jalan Pehin Dato Isa,,"LINESTRING (114.9410916 4.893843, 114.9411259 4.8939513)",,
157650931,False,2,tertiary,,True,33.239000000000004,Jalan Stoney,,"LINESTRING (114.9410916 4.893843, 114.94106 4.8937352, 114.9410057 4.8935566)",,
512360939,True,2,secondary,,False,37.754999999999995,Jalan Bendahara,,"LINESTRING (114.942448 4.8937028, 114.9425011 4.8937998, 114.9425487 4.8938626, 114.9426039 4.8939272, 114.9426509 4.893973)",yes,
1127451769,True,2,primary,,False,5.129,Jalan Sungai Kianggeh,50,"LINESTRING (114.9441842 4.8889965, 114.9441755 4.8890418)",,
"[1127451770, 524241381]",True,"['1', '2']",unclassified,,False,146.82500000000002,Jalan Pemancha,,"LINESTRING (114.9441842 4.8889965, 114.9438255 4.8889379, 114.9432135 4.8888356, 114.9429634 4.8887923, 114.9429351 4.8887887, 114.942877 4.8887795)",,
665717782,False,2,unclassified,,False,9.074,Jalan Pemancha,,"LINESTRING (114.9408503 4.888738, 114.9407684 4.8887374)",,
1127451780,False,2,unclassified,,True,24.641,Jalan Pemancha,50,"LINESTRING (114.9408503 4.888738, 114.9410727 4.8887363)",,
201865279,True,2,unclassified,,False,25.612000000000002,Jalan Pretty,50,"LINESTRING (114.9408503 4.888738, 114.9408699 4.888634, 114.9409086 4.8885156)",,
87026883,False,2,unclassified,,False,331.51199999999994,Jalan Sumbiling,,"LINESTRING (114.9400891 4.8907637, 114.9394281 4.8909818, 114.9390089 4.8911211, 114.9388618 4.8911701, 114.9386452 4.8912459, 114.9385837 4.8912764, 114.9385282 4.8913442, 114.9385235 4.8914294, 114.9385466 4.8915136, 114.9386512 4.8918359, 114.9388966 4.8925942)",,
157650931,False,2,tertiary,,False,80.271,Jalan Stoney,,"LINESTRING (114.9400891 4.8907637, 114.9402135 4.8911452, 114.9402456 4.8912351, 114.940313 4.8914502)",,
157650931,False,2,tertiary,,True,50.926,Jalan Stoney,,"LINESTRING (114.9400891 4.8907637, 114.9400419 4.8906218, 114.9400096 4.8905219, 114.9399932 4.8904044, 114.9399929 4.8903195)",,
"[523880000, 1127451790]",True,"['2', '3']",primary,,False,92.766,Jalan Sultan Omar Ali Saifuddien,50,"LINESTRING (114.9420432 4.892156, 114.9421296 4.8917971, 114.942185 4.8915042, 114.9422289 4.8913429)",,
314217084,True,2,unclassified,,False,10.117,Jalan Pretty,,"LINESTRING (114.941706 4.887092, 114.9416558 4.887168)",,
