osmid,oneway,lanes,highway,reversed,length,geometry,ref
48971827,True,1,trunk,False,25.763,"LINESTRING (2.0671469 7.1775809, 2.0671302 7.1773498)",
373963093,False,2,trunk,False,100.311,"LINESTRING (2.0671469 7.1775809, 2.0672535 7.1784768)",
373963093,False,2,trunk,False,133.803,"LINESTRING (2.0672535 7.1784768, 2.0673663 7.1796749)",
373963093,False,2,trunk,True,100.311,"LINESTRING (2.0672535 7.1784768, 2.0671469 7.1775809)",
617447035,False,2,secondary,True,85.439,"LINESTRING (2.0672535 7.1784768, 2.0664847 7.1785694)",
180994117,False,,residential,False,94.27000000000001,"LINESTRING (2.0678005 7.1826822, 2.0674254 7.1827573, 2.0671491 7.1827933, 2.0669567 7.1828103)",
180994117,False,,residential,True,150.352,"LINESTRING (2.0678005 7.1826822, 2.0679672 7.1826972, 2.0691555 7.1825676)",
373963093,False,2,trunk,False,40.75,"LINESTRING (2.0678005 7.1826822, 2.0678474 7.1829583, 2.0678583 7.1830441)",
373963093,False,2,trunk,True,187.994,"LINESTRING (2.0678005 7.1826822, 2.0676806 7.1819676, 2.0675921 7.1813874, 2.0675288 7.1810132)",
180994117,False,,residential,True,83.029,"LINESTRING (2.0652206 7.1830282, 2.0659684 7.182944)",
317948678,False,,residential,False,162.928,"LINESTRING (2.0652206 7.1830282, 2.0653862 7.1844842)",
180994117,False,,residential,False,114.388,"LINESTRING (2.0736398 7.1819911, 2.0726102 7.1821125)",
622443483,False,,residential,True,96.247,"LINESTRING (2.0736398 7.1819911, 2.0735585 7.1811293)",
180995258,False,,residential,False,89.085,"LINESTRING (2.0706405 7.1806689, 2.0714422 7.1805731)",
180995258,False,,residential,True,138.016,"LINESTRING (2.0706405 7.1806689, 2.0694009 7.1808362)",
620852095,False,,residential,False,186.357,"LINESTRING (2.0706405 7.1806689, 2.070841 7.182333)",
620852095,False,,residential,True,151.169,"LINESTRING (2.0706405 7.1806689, 2.0704978 7.1793168)",
180995258,False,,residential,False,52.621,"LINESTRING (2.072995 7.1803927, 2.0734668 7.1803232)",
180995258,False,,residential,True,62.122,"LINESTRING (2.072995 7.1803927, 2.0724355 7.1804557)",
180996645,False,,tertiary,True,102.827,"LINESTRING (2.072995 7.1803927, 2.0735585 7.1811293)",RN 20
180996645,False,,tertiary,False,130.324,"LINESTRING (2.072995 7.1803927, 2.0725737 7.1798168, 2.0722997 7.1794452)",RN 20
620846335,False,,residential,False,149.847,"LINESTRING (2.0712972 7.1792332, 2.0714422 7.1805731)",
620846339,False,,residential,False,88.681,"LINESTRING (2.0712972 7.1792332, 2.0704978 7.1793168)",
620846339,False,,residential,True,88.512,"LINESTRING (2.0712972 7.1792332, 2.0720971 7.1791717)",
620846335,False,,residential,True,132.632,"LINESTRING (2.0712972 7.1792332, 2.0711844 7.1783324, 2.0711656 7.1781854, 2.0711763 7.1781069, 2.0711992 7.1780539)",
180995265,False,,residential,False,145.378,"LINESTRING (2.0732992 7.1790264, 2.0734668 7.1803232)",
180995265,False,,residential,True,143.455,"LINESTRING (2.0732992 7.1790264, 2.0731214 7.1777484)",
180995269,False,,residential,False,113.53,"LINESTRING (2.0732992 7.1790264, 2.0722768 7.1791424)",
180995255,False,,residential,True,106.488,"LINESTRING (2.0690882 7.1782263, 2.0692185 7.1791752)",
"[620846330, 620846331]",False,,residential,True,409.18299999999994,"LINESTRING (2.0690882 7.1782263, 2.0675433 7.1784196, 2.067562 7.1785473, 2.0675701 7.1786378, 2.0675915 7.1787576, 2.0676425 7.1788613, 2.0677069 7.1789385, 2.0677847 7.1790051, 2.0678544 7.1790583, 2.0680126 7.1791354, 2.0681441 7.1791887, 2.0682567 7.1792206, 2.0683962 7.1792286, 2.0686457 7.1792233, 2.0692185 7.1791752)",
620846330,False,,residential,False,134.849,"LINESTRING (2.0690882 7.1782263, 2.0703032 7.1780939)",
180996645,False,,tertiary,False,37.742,"LINESTRING (2.0722997 7.1794452, 2.0720971 7.1791717)",RN 20
620846342,False,,residential,False,33.765,"LINESTRING (2.0722997 7.1794452, 2.0722768 7.1791424)",
620846342,False,,residential,True,113.357,"LINESTRING (2.0722997 7.1794452, 2.0724355 7.1804557)",
180996645,False,,tertiary,True,130.324,"LINESTRING (2.0722997 7.1794452, 2.0725737 7.1798168, 2.072995 7.1803927)",RN 20
180995255,False,,residential,True,187.431,"LINESTRING (2.0694009 7.1808362, 2.069621 7.1825076)",
180995258,False,,residential,False,138.016,"LINESTRING (2.0694009 7.1808362, 2.0706405 7.1806689)",
180995258,False,,residential,True,63.044,"LINESTRING (2.0694009 7.1808362, 2.0688337 7.1809052)",
180995255,False,,residential,False,148.76999999999998,"LINESTRING (2.0694009 7.1808362, 2.0693202 7.1801627, 2.0692638 7.1795054)",
181002928,False,,residential,True,188.925,"LINESTRING (2.0667515 7.1811235, 2.0669567 7.1828103)",
809470366,False,,residential,False,86.627,"LINESTRING (2.0667515 7.1811235, 2.0675288 7.1810132)",
809470366,False,,residential,True,109.132,"LINESTRING (2.0667515 7.1811235, 2.065771 7.1812534)",
181002928,False,,residential,False,149.708,"LINESTRING (2.0667515 7.1811235, 2.0666982 7.1806145, 2.0666256 7.179783)",
180995258,False,,residential,False,63.044,"LINESTRING (2.0688337 7.1809052, 2.0694009 7.1808362)",
180995258,False,,residential,True,144.47,"LINESTRING (2.0688337 7.1809052, 2.0678604 7.1809923, 2.0677388 7.1809998, 2.0675288 7.1810132)",
617447042,False,,residential,False,188.255,"LINESTRING (2.0688337 7.1809052, 2.0689876 7.1816276, 2.0690909 7.1821931, 2.0691555 7.1825676)",
617447042,False,,residential,True,149.889,"LINESTRING (2.0688337 7.1809052, 2.0687717 7.1802984, 2.0686821 7.1795657)",
809470366,False,,residential,True,86.627,"LINESTRING (2.0675288 7.1810132, 2.0667515 7.1811235)",
180995258,False,,residential,False,144.47,"LINESTRING (2.0675288 7.1810132, 2.0677388 7.1809998, 2.0678604 7.1809923, 2.0688337 7.1809052)",
373963093,False,2,trunk,False,187.994,"LINESTRING (2.0675288 7.1810132, 2.0675921 7.1813874, 2.0676806 7.1819676, 2.0678005 7.1826822)",
373963093,False,2,trunk,True,149.891,"LINESTRING (2.0675288 7.1810132, 2.067385 7.1798509, 2.0673663 7.1796749)",
