osmid,oneway,lanes,name,highway,junction,reversed,length,geometry,maxspeed,ref,bridge
264916654,True,2,Carrefour Lègba,primary,roundabout,False,37.691,"LINESTRING (2.4274415 6.3698921, 2.4274497 6.369871, 2.4274602 6.3698509, 2.4274728 6.3698321, 2.4274874 6.3698148, 2.4275038 6.3697992, 2.4275219 6.3697855, 2.4275414 6.3697738, 2.427562 6.3697643, 2.4275835 6.3697571, 2.4276058 6.3697522, 2.4276284 6.3697499, 2.4276511 6.36975, 2.4276737 6.3697526, 2.4276959 6.3697576, 2.4277173 6.369765)",,,
516369072,True,2,Avenue de l'Ouémé,secondary,,False,71.201,"LINESTRING (2.4275358 6.3701345, 2.4271398 6.3706396)",,,
264916654,True,2,Carrefour Lègba,primary,roundabout,False,12.882000000000001,"LINESTRING (2.4275358 6.3701345, 2.4275194 6.3701242, 2.4275041 6.3701123, 2.4274899 6.3700991, 2.427477 6.3700846, 2.4274656 6.370069, 2.4274557 6.3700524)",,,
468679100,True,2,Avenue Mgr. François Steinmetz,primary,,False,70.975,"LINESTRING (2.4277173 6.369765, 2.4281155 6.3692642)",50,,
264916654,True,2,Carrefour Lègba,primary,roundabout,False,10.549,"LINESTRING (2.4277173 6.369765, 2.4277389 6.3697753, 2.427759 6.3697879, 2.4277776 6.3698027, 2.4277944 6.3698196)",,,
264916654,True,2,Carrefour Lègba,primary,roundabout,False,9.184999999999999,"LINESTRING (2.4277944 6.3698196, 2.4278073 6.3698358, 2.4278185 6.3698531, 2.427828 6.3698715, 2.4278355 6.3698908)",,,
459116266,True,2,Avenue de la République,primary,,False,109.934,"LINESTRING (2.4278355 6.3698908, 2.4288264 6.3698033)",50,,
264916654,True,2,Carrefour Lègba,primary,roundabout,False,9.855,"LINESTRING (2.4278355 6.3698908, 2.4278414 6.3699122, 2.4278449 6.369934, 2.427846 6.3699562, 2.4278448 6.3699783)",,,
264916654,True,2,Carrefour Lègba,primary,roundabout,False,45.346000000000004,"LINESTRING (2.4278448 6.3699783, 2.427841 6.3700006, 2.4278349 6.3700224, 2.4278263 6.3700434, 2.4278155 6.3700634, 2.4278025 6.370082, 2.4277875 6.3700991, 2.4277708 6.3701145, 2.4277525 6.3701279, 2.4277327 6.3701393, 2.4277119 6.3701484, 2.4276901 6.3701553, 2.4276678 6.3701597, 2.4276451 6.3701616, 2.4276223 6.3701611, 2.4275997 6.370158, 2.4275776 6.3701525, 2.4275562 6.3701447, 2.4275358 6.3701345)",,,
31760242,True,2,Boulevard Saint Michel,primary,,False,17.691,"LINESTRING (2.4283994 6.3658776, 2.4285244 6.365977)",,,
81773418,True,2,,tertiary,,False,72.41,"LINESTRING (2.4283994 6.3658776, 2.4288091 6.3653694)",,,
94599775,True,1,Avenue Codje Tovalou Quénum,residential,,False,116.99,"LINESTRING (2.423218 6.3663321, 2.4240451 6.3669888)",,,
234097606,False,,,residential,,False,81.685,"LINESTRING (2.423218 6.3663321, 2.4236724 6.3657527)",,,
234097606,False,,,residential,,True,20.562,"LINESTRING (2.423218 6.3663321, 2.4231033 6.3664777)",,,
94599771,False,2,Rue de Ouidah,secondary,,False,81.151,"LINESTRING (2.4215002 6.3649683, 2.4219546 6.364395)",,7.031,
94599771,False,2,Rue de Ouidah,secondary,,True,20.322,"LINESTRING (2.4215002 6.3649683, 2.4213862 6.3651117)",,7.031,
94599775,True,1,Avenue Codje Tovalou Quénum,residential,,False,121.003,"LINESTRING (2.4215002 6.3649683, 2.4223557 6.3656475)",,,
31760242,True,2,Boulevard Saint Michel,primary,,False,59.75,"LINESTRING (2.4254299 6.3635155, 2.425852 6.3638513)",,,
234097606,False,,,residential,,True,16.236,"LINESTRING (2.4254299 6.3635155, 2.4253395 6.3636306)",,,
234097606,False,,,residential,,False,16.236,"LINESTRING (2.4253395 6.3636306, 2.4254299 6.3635155)",,,
234097606,False,,,residential,,True,70.252,"LINESTRING (2.4253395 6.3636306, 2.4249483 6.3641286)",,,
816242094,False,2,,residential,,True,80.587,"LINESTRING (2.4253395 6.3636306, 2.4254451 6.3643477)",,,
31760242,True,2,Boulevard Saint Michel,primary,,False,179.465,"LINESTRING (2.425852 6.3638513, 2.4271199 6.3648598)",,,
816220779,False,2,Avenue Augustin Nikoué,tertiary,,False,73.037,"LINESTRING (2.425852 6.3638513, 2.4262603 6.3633348)",,5.125,
94599771,False,2,Rue de Ouidah,secondary,,False,84.376,"LINESTRING (2.4209135 6.3657076, 2.4213862 6.3651117)",,7.031,
94999944,False,,Rue 7.018,residential,,False,243.492,"LINESTRING (2.4209135 6.3657076, 2.4226223 6.36709)",,,
468679067,True,2,,tertiary,,False,16.581,"LINESTRING (2.4285244 6.365977, 2.428431 6.3660937)",,,
