osmid,lanes,ref,highway,oneway,reversed,length,geometry,junction
383971840,2,RNIE 4,primary,False,True,83.617,"LINESTRING (1.7024868 6.9477321, 1.7024597 6.9484836)",
618785370,,RNIE 4,primary,True,False,39.088,"LINESTRING (1.7024868 6.9477321, 1.7024211 6.947528, 1.702395 6.9473932)",
324317911,,,residential,False,False,54.476,"LINESTRING (1.7063872 6.9450282, 1.7061961 6.9445765)",
324382507,,RN 2 bis,primary,True,False,28.323,"LINESTRING (1.7063872 6.9450282, 1.7065028 6.9448008)",
615441311,,,residential,False,True,118.557,"LINESTRING (1.7011457 6.9533558, 1.7011423 6.9522896)",
615429041,,,residential,False,False,147.61599999999999,"LINESTRING (1.7011457 6.9533558, 1.7018375 6.9531762, 1.7024383 6.9530152)",
324322191,,,residential,False,True,139.42,"LINESTRING (1.7006243 6.9482172, 1.699713 6.947349)",
615441311,,,residential,False,False,80.715,"LINESTRING (1.7006243 6.9482172, 1.7009926 6.9488443)",
374187458,2,,tertiary,False,False,166.867,"LINESTRING (1.7006243 6.9482172, 1.700837 6.9481561, 1.7010878 6.9480749, 1.7014325 6.9479511, 1.7016444 6.9478512, 1.7017382 6.9478047, 1.7018133 6.9477687, 1.7019112 6.9477102, 1.7020158 6.9476462)",
374187458,2,,tertiary,False,True,80.473,"LINESTRING (1.7006243 6.9482172, 1.7002925 6.9482839, 1.699909 6.9483571)",
374187458,2,,tertiary,False,False,80.473,"LINESTRING (1.699909 6.9483571, 1.7002925 6.9482839, 1.7006243 6.9482172)",
615441310,,,residential,False,False,31.952,"LINESTRING (1.7005715 6.9530817, 1.7005894 6.9527949)",
615441308,,,residential,False,True,28.906,"LINESTRING (1.7005715 6.9530817, 1.7004669 6.9529566, 1.700396 6.9528893)",
615429036,,,residential,False,False,152.166,"LINESTRING (1.7000236 6.9524509, 1.7001028 6.9510847)",
324326769,,,residential,False,True,69.884,"LINESTRING (1.7000236 6.9524509, 1.700267 6.9523549, 1.7003569 6.9523269, 1.7004655 6.9523003, 1.7006292 6.9522787)",
324326753,,,residential,False,False,40.116,"LINESTRING (1.7011468 6.9449956, 1.7008103 6.9448593)",
618782026,,,residential,False,True,174.256,"LINESTRING (1.7011468 6.9449956, 1.7004131 6.9463832)",
"[324326753, 324330347]",,,residential,False,True,175.362,"LINESTRING (1.7011468 6.9449956, 1.702038 6.9454577, 1.702323 6.9453525, 1.7025828 6.945251)",
618294660,,,residential,False,True,134.738,"LINESTRING (1.7011468 6.9449956, 1.7015719 6.9447667, 1.7022502 6.9444804)",
324326760,,,residential,False,True,57.567,"LINESTRING (1.7006292 6.9522787, 1.7005894 6.9527949)",
324326769,,,residential,False,True,56.648,"LINESTRING (1.7006292 6.9522787, 1.7011423 6.9522896)",
324326760,,,residential,False,False,246.187,"LINESTRING (1.7006292 6.9522787, 1.7005983 6.9511381, 1.700659 6.9500668)",
324326769,,,residential,False,False,69.884,"LINESTRING (1.7006292 6.9522787, 1.7004655 6.9523003, 1.7003569 6.9523269, 1.700267 6.9523549, 1.7000236 6.9524509)",
324326748,,,residential,False,True,92.309,"LINESTRING (1.7025828 6.945251, 1.702909 6.9460154)",
324330347,,,residential,False,True,206.135,"LINESTRING (1.7025828 6.945251, 1.7042963 6.9445138)",
324326748,,,residential,False,False,93.229,"LINESTRING (1.7025828 6.945251, 1.7024209 6.9448612, 1.7022502 6.9444804)",
"[324326753, 324330347]",,,residential,False,False,175.362,"LINESTRING (1.7025828 6.945251, 1.702323 6.9453525, 1.702038 6.9454577, 1.7011468 6.9449956)",
324326753,,,residential,False,True,89.589,"LINESTRING (1.7000774 6.9445131, 1.7008103 6.9448593)",
324326748,,,residential,False,True,93.229,"LINESTRING (1.7022502 6.9444804, 1.7024209 6.9448612, 1.7025828 6.945251)",
618294660,,,residential,False,False,134.738,"LINESTRING (1.7022502 6.9444804, 1.7015719 6.9447667, 1.7011468 6.9449956)",
324326760,,,residential,False,False,57.567,"LINESTRING (1.7005894 6.9527949, 1.7006292 6.9522787)",
615441310,,,residential,False,True,31.952,"LINESTRING (1.7005894 6.9527949, 1.7005715 6.9530817)",
615441309,,,residential,False,False,23.814,"LINESTRING (1.7005894 6.9527949, 1.7005393 6.9528155, 1.7004696 6.9528541, 1.700396 6.9528893)",
324326781,,,residential,False,False,128.763,"LINESTRING (1.700659 6.9500668, 1.7001028 6.9510847)",
324326760,,,residential,False,True,246.187,"LINESTRING (1.700659 6.9500668, 1.7005983 6.9511381, 1.7006292 6.9522787)",
324326781,,,residential,False,True,82.935,"LINESTRING (1.700659 6.9500668, 1.7008506 6.949711, 1.7009161 6.9496551, 1.7009832 6.9496165, 1.7011548 6.9495593)",
324326781,,,residential,False,True,128.763,"LINESTRING (1.7001028 6.9510847, 1.700659 6.9500668)",
615429036,,,residential,False,True,152.166,"LINESTRING (1.7001028 6.9510847, 1.7000236 6.9524509)",
324330322,,,residential,False,False,92.344,"LINESTRING (1.7049629 6.9460587, 1.7046291 6.9452972)",
375033748,,RN 2 bis,primary,False,False,58.126,"LINESTRING (1.7049629 6.9460587, 1.7044882 6.946285)",
546811065,,,residential,False,False,144.577,"LINESTRING (1.7049629 6.9460587, 1.7054504 6.9472655)",
385387095,,RN 2 bis,primary,False,True,150.207,"LINESTRING (1.7049629 6.9460587, 1.7052171 6.9459156, 1.7055212 6.9457417, 1.7061397 6.9453804)",
324330347,,,residential,False,False,206.135,"LINESTRING (1.7042963 6.9445138, 1.7025828 6.945251)",
324330322,,,residential,False,True,94.549,"LINESTRING (1.7042963 6.9445138, 1.704466 6.9448972, 1.7046291 6.9452972)",
324330322,,,residential,False,True,92.344,"LINESTRING (1.7046291 6.9452972, 1.7049629 6.9460587)",
324333455,,,residential,False,False,55.063,"LINESTRING (1.7046291 6.9452972, 1.7041656 6.9454803)",
324330322,,,residential,False,False,94.549,"LINESTRING (1.7046291 6.9452972, 1.704466 6.9448972, 1.7042963 6.9445138)",
324333455,,,residential,False,True,190.647,"LINESTRING (1.7046291 6.9452972, 1.7053941 6.9449318, 1.7061961 6.9445765)",
324333468,,,living_street,False,True,61.336,"LINESTRING (1.7002126 6.9450263, 1.7005484 6.9454658)",
324326748,,,residential,False,False,92.309,"LINESTRING (1.702909 6.9460154, 1.7025828 6.945251)",
324333455,,,residential,False,True,54.486,"LINESTRING (1.702909 6.9460154, 1.7033608 6.945818)",
324326748,,,residential,False,True,94.36,"LINESTRING (1.702909 6.9460154, 1.7030217 6.9462963, 1.7030914 6.9464587, 1.7032309 6.9468015)",
324322191,,,residential,False,False,139.42,"LINESTRING (1.699713 6.947349, 1.7006243 6.9482172)",
324333466,,,residential,False,False,128.363,"LINESTRING (1.699713 6.947349, 1.7001319 6.9462721)",
324333466,,,residential,False,False,100.756,"LINESTRING (1.7001319 6.9462721, 1.7005484 6.9454658)",
324333466,,,residential,False,True,128.363,"LINESTRING (1.7001319 6.9462721, 1.699713 6.947349)",
618785373,2,RNIE 4; RN 2,secondary,False,True,33.407,"LINESTRING (1.7001319 6.9462721, 1.7004131 6.9463832)",
324317911,,,residential,False,True,54.476,"LINESTRING (1.7061961 6.9445765, 1.7063872 6.9450282)",
324333455,,,residential,False,True,47.163,"LINESTRING (1.7061961 6.9445765, 1.7066017 6.9444431)",
324333455,,,residential,False,False,190.647,"LINESTRING (1.7061961 6.9445765, 1.7053941 6.9449318, 1.7046291 6.9452972)",
324333466,,,residential,False,False,73.375,"LINESTRING (1.7005484 6.9454658, 1.7008103 6.9448593)",
324333466,,,residential,False,True,100.756,"LINESTRING (1.7005484 6.9454658, 1.7001319 6.9462721)",
324333468,,,living_street,False,False,61.336,"LINESTRING (1.7005484 6.9454658, 1.7002126 6.9450263)",
324326753,,,residential,False,False,89.589,"LINESTRING (1.7008103 6.9448593, 1.7000774 6.9445131)",
324326753,,,residential,False,True,40.116,"LINESTRING (1.7008103 6.9448593, 1.7011468 6.9449956)",
324333466,,,residential,False,True,73.375,"LINESTRING (1.7008103 6.9448593, 1.7005484 6.9454658)",
