osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,junction,bridge
459209740,True,2,RNIE 2,primary,50,False,21.495,"LINESTRING (2.626064 9.3425904, 2.6261148 9.3424037)",,,
231671706,True,1,,primary_link,,False,27.949,"LINESTRING (2.626064 9.3425904, 2.6260322 9.342536, 2.6259457 9.342467, 2.6258805 9.3424215)",,,
459209740,True,2,RNIE 2,primary,50,False,20.635,"LINESTRING (2.6261148 9.3424037, 2.6261505 9.3422215)",,,
373837865,True,1,,tertiary,,False,25.844,"LINESTRING (2.6261148 9.3424037, 2.6259939 9.3424049, 2.6258805 9.3424215)",,,
413095125,False,,,tertiary,,False,120.03,"LINESTRING (2.6256664 9.3412965, 2.625413 9.3402464)",,,
459226155,False,2,,tertiary,,False,89.576,"LINESTRING (2.6256664 9.3412965, 2.6248753 9.3414955)",,,
459226155,False,2,,tertiary,,True,27.217,"LINESTRING (2.6256664 9.3412965, 2.6259066 9.3412354)",,,
459226155,False,2,,tertiary,,False,27.217,"LINESTRING (2.6259066 9.3412354, 2.6256664 9.3412965)",,,
34915951,True,,,tertiary,,False,56.391000000000005,"LINESTRING (2.6259066 9.3412354, 2.6259765 9.3411989, 2.6260194 9.341183, 2.6262837 9.3411201, 2.6263994 9.3411019)",,,
413095374,True,1,,tertiary,,False,14.234,"LINESTRING (2.6257857 9.3424081, 2.6258292 9.3423687, 2.6258796 9.3423198)",,,
459222375,False,2,,tertiary,,True,164.452,"LINESTRING (2.6257857 9.3424081, 2.6250375 9.3431473, 2.6247216 9.3434496)",,,
373837865,True,1,,tertiary,,False,10.508,"LINESTRING (2.6258805 9.3424215, 2.6257857 9.3424081)",,,
413095124,False,2,,tertiary,,False,90.581,"LINESTRING (2.6252518 9.3395994, 2.6250504 9.3388094)",,,
413095199,False,,,tertiary,,True,74.085,"LINESTRING (2.6252518 9.3395994, 2.625413 9.3402464)",,,
413096485,False,2,,tertiary,50,False,212.583,"LINESTRING (2.6252518 9.3395994, 2.6234123 9.3401997)",,,
413096485,False,2,,tertiary,50,True,66.577,"LINESTRING (2.6252518 9.3395994, 2.6258376 9.3394433)",,,
413095124,False,2,,tertiary,,True,123.396,"LINESTRING (2.6245295 9.3367664, 2.6247811 9.337848)",,,
413095124,False,2,,tertiary,,False,40.028999999999996,"LINESTRING (2.6245295 9.3367664, 2.6244756 9.3365157, 2.6244751 9.3364881, 2.6244812 9.336462, 2.6245036 9.3364179)",,,
413098576,False,,,residential,,False,122.02099999999999,"LINESTRING (2.6245295 9.3367664, 2.6253088 9.3368657, 2.6256345 9.3368458)",,,
40801239,False,,,tertiary,,False,6.975,"LINESTRING (2.6245036 9.3364179, 2.6244425 9.3364006)",,,
413095124,False,2,,tertiary,,True,40.028999999999996,"LINESTRING (2.6245036 9.3364179, 2.6244812 9.336462, 2.6244751 9.3364881, 2.6244756 9.3365157, 2.6245295 9.3367664)",,,
413098697,False,,,tertiary,,False,93.42699999999999,"LINESTRING (2.6245036 9.3364179, 2.6245796 9.3363395, 2.6246703 9.3362728, 2.6250921 9.3360573, 2.6252323 9.3359958)",,,
40801238,False,,,tertiary,,True,112.231,"LINESTRING (2.6260327 9.3357204, 2.6262762 9.3367007)",,,
413098792,False,,,tertiary,,True,93.72,"LINESTRING (2.6260327 9.3357204, 2.6259906 9.335717, 2.6259477 9.3357236, 2.6258525 9.3357467, 2.6256513 9.3358109, 2.6252323 9.3359958)",,,
413099067,False,,,tertiary,,False,72.935,"LINESTRING (2.6260327 9.3357204, 2.6264764 9.33561, 2.6266784 9.3355648)",,,
413096485,False,2,,tertiary,50,False,83.26,"LINESTRING (2.6306689 9.3382877, 2.62993 9.3384582)",,,
413096485,False,2,,tertiary,50,True,101.324,"LINESTRING (2.6306689 9.3382877, 2.6315681 9.3380802)",,,
413099897,False,,,unclassified,,True,95.282,"LINESTRING (2.6306689 9.3382877, 2.6304299 9.3374639)",,,
413099901,False,,,unclassified,,False,50.198,"LINESTRING (2.6306689 9.3382877, 2.6308027 9.3387194)",,,
234887680,True,2,,primary,,False,85.866,"LINESTRING (2.6287445 9.3387322, 2.6285112 9.3379951)",,,
413096485,False,2,,tertiary,50,False,198.547,"LINESTRING (2.6287445 9.3387322, 2.6269876 9.3391598)",,,
413096485,False,2,,tertiary,50,True,8.181,"LINESTRING (2.6287445 9.3387322, 2.628817 9.338715)",,,
38656804,True,2,RNIE 6,primary,50,False,18.726,"LINESTRING (2.6290574 9.3401827, 2.629113 9.3401707, 2.6291691 9.3401799, 2.6292178 9.3402089)",Carrefour de la Colombe,roundabout,
234887680,True,2,,primary,,False,165.955,"LINESTRING (2.6290574 9.3401827, 2.6290552 9.3398518, 2.6290382 9.3397472, 2.6288593 9.3391492, 2.6287445 9.3387322)",,,
459209740,True,2,RNIE 2,primary,50,False,22.16,"LINESTRING (2.6261505 9.3422215, 2.6261945 9.342027)",,,
