osmid,highway,oneway,reversed,length,geometry,name,width,lanes,maxspeed
192308849,residential,False,True,56.073,"LINESTRING (18.7521717 42.447975, 18.7523612 42.4474905)",,,,
192308849,residential,False,False,109.93,"LINESTRING (18.7521717 42.447975, 18.7517934 42.4483994, 18.751474 42.4488183)",,,,
734523792,residential,False,False,74.922,"LINESTRING (18.7521717 42.447975, 18.7517765 42.4477959, 18.7513608 42.44767)",Monda Sbutege,1.5,,
734523792,residential,False,True,116.4,"LINESTRING (18.7521717 42.447975, 18.7529694 42.4483882, 18.7532531 42.4485397, 18.7533291 42.4485803)",Monda Sbutege,1.5,,
734523792,residential,False,True,18.364,"LINESTRING (18.7511462 42.4476231, 18.7513608 42.44767)",Monda Sbutege,1.5,,
55388598,residential,False,False,287.53400000000005,"LINESTRING (18.7511462 42.4476231, 18.7508303 42.4474719, 18.750677 42.4474161, 18.750544 42.4474034, 18.7504153 42.4474183, 18.7502114 42.4474707, 18.7501484 42.4474786, 18.7500961 42.4474737, 18.7500317 42.447445, 18.7498198 42.4473549, 18.7496871 42.4473163, 18.7495164 42.4473133, 18.7492106 42.4473485, 18.7489261 42.4473218, 18.7487617 42.4472639, 18.7486745 42.4472223, 18.7486289 42.4472168, 18.7485545 42.4472078, 18.748512 42.447218, 18.7484895 42.4472401, 18.74846 42.4473886, 18.7484103 42.4477092)",,1.5,,
734523791,residential,False,False,157.687,"LINESTRING (18.7511462 42.4476231, 18.7509893 42.4478537, 18.7508793 42.4480061, 18.7508015 42.4481674, 18.7506379 42.4484356, 18.7505923 42.4484761, 18.7505124 42.4484967, 18.7503926 42.4484981, 18.7502589 42.4485284, 18.7501579 42.4485777, 18.750054 42.4486777)",Monda Sbutege,1.5,,
55388597,residential,False,False,120.13499999999999,"LINESTRING (18.750054 42.4486777, 18.7502704 42.448844, 18.750512 42.4490396, 18.750628 42.4491425, 18.7506695 42.4492116, 18.7507228 42.4493491, 18.7507462 42.4494575, 18.7507452 42.4495805)",Monda Sbutege,1.5,,
55388600,residential,False,False,58.485,"LINESTRING (18.750054 42.4486777, 18.7499138 42.4487504, 18.7498209 42.4488217, 18.7497063 42.4488649, 18.7495745 42.4488961, 18.7494451 42.4489361)",,1.5,,
734523791,residential,False,True,157.687,"LINESTRING (18.750054 42.4486777, 18.7501579 42.4485777, 18.7502589 42.4485284, 18.7503926 42.4484981, 18.7505124 42.4484967, 18.7505923 42.4484761, 18.7506379 42.4484356, 18.7508015 42.4481674, 18.7508793 42.4480061, 18.7509893 42.4478537, 18.7511462 42.4476231)",Monda Sbutege,1.5,,
