osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,bridge,maxspeed
8767343,2,Oliver Street,residential,14.3,False,False,170.499,"LINESTRING (-72.605939 42.208775, -72.605868 42.2087371, -72.6055874 42.2085874, -72.605418 42.208497, -72.6053062 42.208435, -72.6050791 42.2083091, -72.6048217 42.2081664, -72.604812 42.208161, -72.6045926 42.208038, -72.6043523 42.2079032, -72.604277 42.207861)",,,
663362538,2,High Street,secondary,21.3,True,False,75.643,"LINESTRING (-72.605939 42.208775, -72.6059016 42.2088125, -72.6054559 42.209259, -72.605393 42.209322)",,,
8767635,2,Appleton Street,tertiary,18.3,False,False,65.206,"LINESTRING (-72.609742 42.204895, -72.609115 42.204537)",MA 141,,
663362511,2,High Street,secondary,21.3,True,False,70.254,"LINESTRING (-72.609742 42.204895, -72.609246 42.205409)",,,
8767635,2,Appleton Street,tertiary,18.3,False,True,83.326,"LINESTRING (-72.609742 42.204895, -72.610102 42.205069, -72.610568 42.205327)",MA 141,,
8766758,2,Essex Street,residential,18.3,True,False,94.458,"LINESTRING (-72.612582 42.204723, -72.613513 42.205219)",,,
8767706,2,Chestnut Street,residential,14.6,True,False,152.625,"LINESTRING (-72.612582 42.204723, -72.6124507 42.2048567, -72.611492 42.205833)",,,
8767635,2,Appleton Street,tertiary,18.3,False,True,65.206,"LINESTRING (-72.609115 42.204537, -72.609742 42.204895)",MA 141,,
8767635,2,Appleton Street,tertiary,18.3,False,False,43.104,"LINESTRING (-72.609115 42.204537, -72.609015 42.204479, -72.60869 42.204311)",MA 141,,
8767861,2,Newton Street,residential,12.2,True,False,153.19299999999998,"LINESTRING (-72.609115 42.204537, -72.6093909 42.2042556, -72.609571 42.204072, -72.6096067 42.2040347, -72.610198 42.203417)",,,
8768104,2,Essex Street,residential,18.3,False,False,82.337,"LINESTRING (-72.61165 42.204216, -72.610847 42.203775)",,,
663362509,2,Maple Street,secondary,18.3,True,False,151.935,"LINESTRING (-72.61165 42.204216, -72.612735 42.203111)",,,
8766758,2,Essex Street,residential,18.3,True,False,95.244,"LINESTRING (-72.61165 42.204216, -72.6121313 42.2044778, -72.612582 42.204723)",,,
8767401,2,Front Street,residential,15.2,False,False,75.53099999999999,"LINESTRING (-72.605898 42.206189, -72.6058397 42.2062483, -72.6057382 42.2063514, -72.605478 42.206616, -72.605358 42.206738)",,,
414932159,2,Dwight Street,tertiary,18.3,False,False,62.085,"LINESTRING (-72.605898 42.206189, -72.605994 42.2062416, -72.606479 42.206507, -72.606505 42.20652)",,,
"[95194506, 508025745, 664493492, 414932158, 414932159]",2,Dwight Street,tertiary,18.3,False,"[False, True]",253.70399999999998,"LINESTRING (-72.605898 42.206189, -72.6055584 42.2060037, -72.605537 42.205992, -72.605102 42.205755, -72.605063 42.205734, -72.605004 42.205703, -72.604637 42.20551, -72.604462 42.2054153, -72.6041922 42.2052693, -72.6040622 42.2051989, -72.60397 42.205149, -72.603501 42.204889, -72.6034864 42.2048808, -72.603414 42.20484)",,yes,
8768659,2,Race Street,tertiary,18.3,False,True,38.17,"LINESTRING (-72.6019698 42.2059138, -72.602043 42.2059462, -72.602071 42.2059575, -72.6020967 42.205968, -72.6021539 42.2059802, -72.6021998 42.205977, -72.6022466 42.205959, -72.6023499 42.2058699)",,,
91899327,2,Main Street,secondary,18.3,False,False,66.836,"LINESTRING (-72.6019698 42.2059138, -72.601933 42.206051, -72.6018947 42.2062081, -72.6018613 42.2063079, -72.6018403 42.2063498, -72.6018083 42.2063915, -72.6017302 42.2064804)",MA 116,,
