osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,access,width,est_width,bridge,tunnel
"[3986745, 147495430]",True,Saint Andrew's Street,"['residential', 'unclassified']",20 mph,False,173.35100000000003,1,"LINESTRING (0.1234909 52.2035497, 0.1235079 52.2035282, 0.1240898 52.2029011, 0.1244351 52.2025347, 0.1245944 52.2024013, 0.1246717 52.2023167, 0.1247474 52.2021971)",,,,,
43407810,True,Saint Andrew's Street,residential,20 mph,False,62.376,,"LINESTRING (0.123043 52.2040389, 0.1232558 52.2038041, 0.123355 52.2036967, 0.1234909 52.2035497)",,,,,
"[1039414785, 80997314, 147493289, 37793114, 5137551, 1234016410, 3384861]",True,"[""Saint Andrew's Street"", 'King Street', 'Hobson Street']",residential,20 mph,False,439.481,,"LINESTRING (0.123043 52.2040389, 0.1229042 52.2042081, 0.1228633 52.2042572, 0.1223123 52.2049065, 0.1222203 52.204998, 0.1219086 52.205242, 0.1218039 52.2052927, 0.1217378 52.2053546, 0.1217235 52.2054548, 0.1216698 52.2058322, 0.1216085 52.2061183, 0.1215346 52.2064627, 0.1215134 52.2065195, 0.121461 52.206657, 0.1213359 52.2070781, 0.1213088 52.2071957, 0.1213541 52.2072312, 0.1215119 52.2072807, 0.1216103 52.2073075, 0.1217358 52.2073299, 0.1219113 52.2073456, 0.1219975 52.207349, 0.1221249 52.2073659)",destination,4,,,
169507718,False,Bridge Street,residential,20 mph,True,5.588,,"LINESTRING (0.1185074 52.2084108, 0.1184813 52.2084364, 0.118477 52.2084563)",,,,,
3986777,False,King Street,residential,20 mph,True,95.39800000000001,,"LINESTRING (0.1235208 52.2073604, 0.1233045 52.2073519, 0.1232251 52.2073475, 0.1231834 52.2073462, 0.123116 52.207344, 0.1229343 52.2073455, 0.122843 52.2073462, 0.1224662 52.20735, 0.1221518 52.2073581, 0.1221249 52.2073659)",,,,,
"[3993113, 53245471]",False,Manor Street,residential,20 mph,False,105.11,,"LINESTRING (0.1235208 52.2073604, 0.1235251 52.207402, 0.1235591 52.2075479, 0.1236016 52.2076706, 0.1236151 52.2077096, 0.1236246 52.207737, 0.1236611 52.2078471, 0.1236632 52.2078549, 0.1236725 52.2078835, 0.1236931 52.2079464, 0.1238043 52.208289)",,,,,
53142666,False,King Street,residential,20 mph,False,151.22,,"LINESTRING (0.1235208 52.2073604, 0.1237666 52.2073866, 0.1239329 52.2073977, 0.1240337 52.2073966, 0.1242011 52.2073877, 0.1244729 52.2073705, 0.1245283 52.207366, 0.1249085 52.2073331, 0.1250629 52.2073203, 0.1251772 52.2073147, 0.1252335 52.2073133, 0.1252914 52.2073152, 0.1256798 52.2073291, 0.1257248 52.2073366)",,,,,
"[4604368, 148815860, 3992999]",False,Bridge Street,living_street,20 mph,"[False, True]",104.0,,"LINESTRING (0.1175556 52.2092007, 0.1177265 52.2090798, 0.1177837 52.2090387, 0.1178509 52.2089857, 0.117893 52.2089445, 0.1180104 52.2088378, 0.1181431 52.2087333, 0.1183031 52.2085947, 0.1184369 52.208485, 0.118477 52.2084563)",no,,,,
55217185,True,Downing Street,residential,20 mph,False,1.613,,"LINESTRING (0.1223794 52.2032751, 0.1224015 52.2032803)",,,,,
147495405,False,Downing Place,residential,20 mph,False,159.164,,"LINESTRING (0.1223794 52.2032751, 0.1232136 52.2025928, 0.1238636 52.2021729)",,,,,
3993066,True,Downing Street,residential,20 mph,False,78.233,,"LINESTRING (0.1206122 52.2028319, 0.1213003 52.2030032, 0.1213628 52.2030187, 0.1215448 52.2030633, 0.121562 52.2030675, 0.1216765 52.2030956)",,,,,
3993098,False,Tennis Court Road,residential,20 mph,False,161.67,,"LINESTRING (0.1206122 52.2028319, 0.1208564 52.202498, 0.121044 52.2022116, 0.1210669 52.2021586, 0.1210816 52.2021245, 0.1211749 52.2017819, 0.121203 52.2016684, 0.121269 52.2014887, 0.1213005 52.2014503)",,,,,
3993065,True,Pembroke Street,residential,20 mph,False,111.68700000000001,,"LINESTRING (0.1180646 52.2019205, 0.1188454 52.202162, 0.1192545 52.2023433, 0.1194365 52.2024566)",,,,,
3993100,False,Trumpington Street,residential,20 mph,True,63.847,,"LINESTRING (0.1180646 52.2019205, 0.1181756 52.2018004, 0.1185281 52.2014215)",,11.1,,,
24448524,False,Trumpington Street,residential,20 mph,False,39.736999999999995,,"LINESTRING (0.1180646 52.2019205, 0.1179223 52.2021222, 0.117852 52.2022529)",,7.9,,,
24448524,False,Trumpington Street,residential,20 mph,True,16.911,,"LINESTRING (0.1177909 52.2024003, 0.117852 52.2022529)",,7.9,,,
3993069,False,Trumpington Street,living_street,20 mph,True,156.786,2,"LINESTRING (0.1177909 52.2024003, 0.1176615 52.2028028, 0.1176407 52.2028792, 0.1176232 52.2029438, 0.1176083 52.202999, 0.1175928 52.2030566, 0.1175433 52.2032378, 0.1175278 52.2033377, 0.1175361 52.2035403, 0.1175459 52.203796)",,,,,
