osmid,oneway,lanes,ref,name,highway,reversed,length,access,geometry,maxspeed,bridge
800472937,False,4,MN 19,5th Street West,primary,True,67.912,,"LINESTRING (-93.165983 44.455097, -93.1651274 44.455092)",,
18228688,False,2,,Laurel Court,unclassified,False,157.73399999999998,yes,"LINESTRING (-93.165983 44.455097, -93.1660572 44.4549541, -93.1661422 44.4547905, -93.1661524 44.4547687, -93.166235 44.4545929, -93.1662829 44.4545202, -93.1663446 44.4544469, -93.1664095 44.4544028, -93.1665056 44.4543556, -93.1665792 44.4543329, -93.166946 44.45422, -93.167046 44.454182, -93.167122 44.454128, -93.1671679 44.4540657)",,
235564909,False,2,,Private Road,unclassified,True,223.70600000000002,destination,"LINESTRING (-93.165983 44.455097, -93.165916 44.455197, -93.165855 44.455288, -93.165825 44.455338, -93.165779 44.455379, -93.1653859 44.4556324, -93.165223 44.4557375, -93.165092 44.455822, -93.165001 44.45586, -93.164894 44.455875, -93.164787 44.455868, -93.1647631 44.4558675, -93.164604 44.455864, -93.1644751 44.4558768, -93.164413 44.455883, -93.164238 44.455921, -93.1640948 44.455973, -93.16407 44.455982, -93.163994 44.456001, -93.163918 44.456009, -93.1638409 44.455997, -93.1637156 44.4559512)",,
18225984,False,,,College Street North,residential,True,37.868,,"LINESTRING (-93.155678 44.460964, -93.155663 44.461109, -93.1556653 44.4612673, -93.15567 44.461304)",,
"[18225984, 295106061]",False,,,College Street North,residential,False,110.129,,"LINESTRING (-93.155678 44.460964, -93.155586 44.461098, -93.155518 44.461178, -93.155449 44.461239, -93.15538 44.461315, -93.155342 44.461376, -93.155334 44.461426, -93.155357 44.461468, -93.155388 44.461502, -93.155441 44.461521, -93.155518 44.461529, -93.155571 44.461521, -93.155609 44.461494, -93.155647 44.46146, -93.155663 44.461418, -93.15567 44.461304)",,
18226186,False,,,College Street North,residential,True,150.85799999999998,,"LINESTRING (-93.155678 44.460964, -93.1556656 44.4608015, -93.155663 44.46077, -93.155649 44.4605095, -93.155632 44.460194, -93.1555852 44.4600579, -93.15551 44.459839, -93.155487 44.459785, -93.155487 44.4597605, -93.155487 44.459621)",,
235569737,False,2,,Saint Olaf Avenue West,tertiary,False,70.917,,"LINESTRING (-93.165756 44.460552, -93.1648625 44.4605441)",,
18225088,False,2,,Linden Street North,residential,False,112.32400000000001,yes,"LINESTRING (-93.164864 44.459534, -93.1648629 44.4596178, -93.1648603 44.4598071, -93.164856 44.460129, -93.1648614 44.4604721, -93.1648625 44.4605441)",,
732623503,False,2,,Linden Street South,residential,True,122.138,yes,"LINESTRING (-93.164864 44.459534, -93.164871 44.4585315, -93.1648717 44.4584356)",,
235569737,False,2,,Saint Olaf Avenue West,tertiary,False,35.016,,"LINESTRING (-93.1648625 44.4605441, -93.1644213 44.4605426)",,
235569737,False,2,,Saint Olaf Avenue West,tertiary,True,70.917,,"LINESTRING (-93.1648625 44.4605441, -93.165756 44.460552)",,
18225088,False,2,,Linden Street North,residential,True,112.324,yes,"LINESTRING (-93.1648625 44.4605441, -93.1648614 44.4604721, -93.164856 44.460129, -93.1648603 44.4598071, -93.1648629 44.4596178, -93.164864 44.459534)",,
"[18226556, 18225172]",False,2,,"['4th Street West', 'Linden Street South']",residential,True,225.14199999999994,yes,"LINESTRING (-93.1648891 44.4573055, -93.1648882 44.4571927, -93.164886 44.456913, -93.164886 44.456665, -93.164902 44.456573, -93.16494 44.456486, -93.165001 44.456402, -93.165085 44.456333, -93.165199 44.456268, -93.165329 44.456226, -93.165474 44.456203, -93.16574 44.456203, -93.1663211 44.456203, -93.166458 44.456203)",,
732623502,False,2,,3rd Street West,tertiary,False,123.97200000000001,yes,"LINESTRING (-93.1648891 44.4573055, -93.16502 44.4573065, -93.1663117 44.457316, -93.166451 44.457317)",,
732623503,False,2,,Linden Street South,residential,False,125.66900000000001,yes,"LINESTRING (-93.1648891 44.4573055, -93.1648878 44.4573922, -93.1648717 44.4584356)",,
732623504,True,2,,3rd Street West,tertiary,False,183.04599999999996,yes,"LINESTRING (-93.1648891 44.4573055, -93.1646243 44.4572702, -93.1644556 44.4572602, -93.1640856 44.4572558, -93.1638825 44.4572526, -93.1636155 44.4572438, -93.1633715 44.457238, -93.1633484 44.4572375, -93.163153 44.457226, -93.1630415 44.4572165, -93.1629828 44.4572041, -93.1629166 44.4571747, -93.1628873 44.4571491, -93.1628677 44.4571011, -93.1628536 44.4570623, -93.1628507 44.4569625)",,
235569742,False,2,,2nd Street West,tertiary,True,113.922,yes,"LINESTRING (-93.1648717 44.4584356, -93.1634365 44.4584189)",,
235569742,False,2,,2nd Street West,tertiary,False,124.91399999999999,yes,"LINESTRING (-93.1648717 44.4584356, -93.1649997 44.458437, -93.1663111 44.4584517, -93.1664454 44.4584532)",,
732623503,False,2,,Linden Street South,residential,False,122.138,yes,"LINESTRING (-93.1648717 44.4584356, -93.164871 44.4585315, -93.164864 44.459534)",,
732623503,False,2,,Linden Street South,residential,True,125.66900000000001,yes,"LINESTRING (-93.1648717 44.4584356, -93.1648878 44.4573922, -93.1648891 44.4573055)",,
18227988,False,2,,Division Street South,tertiary,False,136.14600000000002,yes,"LINESTRING (-93.1601768 44.4562499, -93.1601642 44.4563612, -93.1601192 44.4564635, -93.159546 44.457382)",,
18231342,False,2,,Water Street South,tertiary,False,48.788,,"LINESTRING (-93.1601768 44.4562499, -93.1603491 44.4563002, -93.1607443 44.4564185)",,
295097563,False,2,,East 4th Street,residential,True,123.96700000000001,,"LINESTRING (-93.1601768 44.4562499, -93.1600529 44.4562488, -93.159309 44.456242, -93.1587148 44.4562386, -93.158615 44.456238)",,
800891125,False,2,,Division Street South,tertiary,True,26.521,,"LINESTRING (-93.1601768 44.4562499, -93.160176 44.4561441, -93.1601747 44.4560114)",,
18226186,False,,,College Street North,residential,False,150.85799999999998,,"LINESTRING (-93.155487 44.459621, -93.155487 44.4597605, -93.155487 44.459785, -93.15551 44.459839, -93.1555852 44.4600579, -93.155632 44.460194, -93.155649 44.4605095, -93.155663 44.46077, -93.1556656 44.4608015, -93.155678 44.460964)",,
