osmid,oneway,lanes,name,highway,width,reversed,length,geometry,ref,maxspeed,bridge
8930585,False,2,School Street,secondary,10.4,False,79.309,"LINESTRING (-70.770171 42.578488, -70.770186 42.578573, -70.770225 42.578802, -70.770291 42.579113, -70.770308 42.579194)",,,
"[8930760, 8930632, 8930757]",False,"['1', '2']","['Sumac Lane', 'Friend Street', 'Burnham Lane']",residential,"['9.1', '11.6', '6.1']","[False, True]",317.616,"LINESTRING (-70.770171 42.578488, -70.7702507 42.5784863, -70.771005 42.57847, -70.771435 42.57848, -70.771716 42.578484, -70.771818 42.578508, -70.7718384 42.5785265, -70.771889 42.578574, -70.7719 42.578632, -70.771852 42.578768, -70.771698 42.57898, -70.771606 42.579117, -70.771602 42.579122, -70.771512 42.579141, -70.7714507 42.5791437, -70.771208 42.5791544, -70.770394 42.5791902, -70.770308 42.579194)",,,
8930585,False,2,School Street,secondary,10.4,True,90.26400000000001,"LINESTRING (-70.770171 42.578488, -70.770161 42.578428, -70.770157 42.578244, -70.77018 42.578081, -70.770241 42.577907, -70.770338 42.577695)",,,
8930792,False,2,Union Street,secondary,10.4,False,74.23700000000001,"LINESTRING (-70.7710061 42.5751761, -70.7707331 42.5750995, -70.7705634 42.57508, -70.7704126 42.5750856, -70.7702821 42.5750925, -70.7702164 42.575098, -70.7701251 42.5751167)",MA 127,20 mph,
8930792,False,2,Union Street,secondary,10.4,True,46.802,"LINESTRING (-70.7710061 42.5751761, -70.771099 42.575209, -70.7715273 42.5753488)",MA 127,20 mph,
8930821,False,2,Chapel Lane,residential,7.3,False,113.56099999999999,"LINESTRING (-70.7710061 42.5751761, -70.7710235 42.5751401, -70.771107 42.574967, -70.77112 42.574861, -70.771119 42.574734, -70.77115 42.574578, -70.771215 42.574383, -70.77129 42.574183)",,,
905294757,False,2,Sea Street,residential,9.1,False,159.204,"LINESTRING (-70.765931 42.574455, -70.765949 42.574493, -70.7660258 42.5745974, -70.7660921 42.5746659, -70.766115 42.574713, -70.7662019 42.5747643, -70.7662594 42.5747869, -70.76634 42.574814, -70.766491 42.574858, -70.766713 42.574892, -70.766949 42.574932, -70.767092 42.574978, -70.767236 42.57507, -70.767288 42.575125, -70.767351 42.57518, -70.7673589 42.5751843, -70.767389 42.5752007, -70.767443 42.57523)",,,
8930792,False,2,Union Street,secondary,10.4,True,74.23700000000001,"LINESTRING (-70.7701251 42.5751167, -70.7702164 42.575098, -70.7702821 42.5750925, -70.7704126 42.5750856, -70.7705634 42.57508, -70.7707331 42.5750995, -70.7710061 42.5751761)",MA 127,20 mph,
92237634,False,2,Beach Street,secondary,12.2,True,77.465,"LINESTRING (-70.7701251 42.5751167, -70.7700745 42.5750431, -70.770066 42.574996, -70.770068 42.574893, -70.7700776 42.5747313, -70.770079 42.574708, -70.7701 42.574515, -70.770124 42.574432)",MA 127,20 mph,
567748916,False,,Saw Mill Circle,residential,,False,40.625,"LINESTRING (-70.772863 42.576187, -70.7733575 42.5761573)",,,
8930927,False,,Elm Street,residential,,False,70.91,"LINESTRING (-70.772863 42.576187, -70.772884 42.576249, -70.7729022 42.576276, -70.772948 42.576344, -70.7732186 42.5767672)",,,
