osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed,ref
8758711,2,Exchange Street,residential,10.7,False,True,52.571000000000005,"LINESTRING (-71.426573 42.19846, -71.4267076 42.1984927, -71.426845 42.198526, -71.4269275 42.1985469, -71.4271762 42.1986142)",,
8759197,2,Railroad Street,residential,10.7,False,False,215.56,"LINESTRING (-71.426573 42.19846, -71.425917 42.199244, -71.4255698 42.1996641, -71.42555 42.199688, -71.425206 42.200113)",,
"[813081426, 1049825558, 1049825559]",2,Exchange Street,residential,10.7,False,False,42.084,"LINESTRING (-71.426573 42.19846, -71.4264211 42.1984096, -71.4262692 42.1983592, -71.426102 42.198314)",,
8759136,2,Winthrop Street,residential,10.7,False,False,188.865,"LINESTRING (-71.4252434 42.1962672, -71.4251789 42.1966945, -71.425161 42.196803, -71.42506 42.197326, -71.424954 42.197952)",,
8759233,2,Shea Drive,residential,15.2,False,False,154.849,"LINESTRING (-71.4252434 42.1962672, -71.4246877 42.1962131, -71.4246256 42.1962065, -71.4245566 42.196193, -71.424495 42.1961728, -71.424445 42.1961449, -71.4243895 42.1961178, -71.4243433 42.1961022, -71.424285 42.1960874, -71.424217 42.1960808, -71.4241485 42.1960833, -71.42409 42.1960931, -71.4240198 42.1961145, -71.4239573 42.1961453, -71.4239094 42.1961795, -71.4238725 42.1962171, -71.4238483 42.1962569, -71.423833 42.196295, -71.4237872 42.1965044)",25 mph,
8758668,2,Railroad Street,tertiary,10.7,False,True,112.287,"LINESTRING (-71.423149 42.202935, -71.423188 42.202848, -71.423227 42.202723, -71.423255 42.202591, -71.423311 42.202429, -71.42335 42.202346, -71.4234 42.20228, -71.423521 42.202156, -71.423655 42.202015)",,
8758752,2,Woodland Street,tertiary,12.2,False,False,34.729,"LINESTRING (-71.423149 42.202935, -71.423065 42.203059, -71.4229533 42.2032116)",,
175819643,2,Linden Street,residential,10.7,False,True,38.92,"LINESTRING (-71.423149 42.202935, -71.423258 42.203148, -71.423335 42.2032561)",,
8759218,2,Fruit Street,residential,9.1,False,False,93.376,"LINESTRING (-71.425804 42.200469, -71.4258204 42.2006658, -71.425833 42.200816, -71.425877 42.201307)",,
8759218,2,Fruit Street,residential,9.1,False,True,46.15,"LINESTRING (-71.425804 42.200469, -71.4257562 42.2002174, -71.425726 42.200058)",,
