osmid,lanes,name,highway,width,oneway,reversed,length,geometry,bridge,ref,access
9111297,2,Olive Street,residential,9.8,False,True,45.253,"LINESTRING (-70.878713 42.812972, -70.879028 42.812637)",,,
9111297,2,Olive Street,residential,9.8,False,False,75.963,"LINESTRING (-70.878713 42.812972, -70.878451 42.813262, -70.8781831 42.8135336)",,,
9111378,2,Russia Street,residential,9.1,False,False,102.726,"LINESTRING (-70.878713 42.812972, -70.879133 42.81329, -70.879536 42.813607, -70.87958 42.813642)",,,
9111005,2,Dexter Lane,residential,9.1,False,False,244.871,"LINESTRING (-70.881929 42.809103, -70.881615 42.809488, -70.881012 42.810249, -70.8809879 42.8102796, -70.880652 42.810707, -70.880436 42.811013)",,,
9110809,2,Sally Snyder Way,residential,9.1,False,True,366.288,"LINESTRING (-70.877801 42.816745, -70.8778554 42.8167886, -70.8780024 42.8169093, -70.8781923 42.8170653, -70.878404 42.817321, -70.878703 42.81756, -70.8790326 42.8177738, -70.8791761 42.8178496, -70.8792869 42.8178697, -70.8793853 42.8178572, -70.8794884 42.817821, -70.879517 42.8177979, -70.87988 42.817505, -70.8801932 42.8172925, -70.880309 42.817214, -70.880483 42.8170788, -70.880956 42.816711)",,,
"[188019005, 9110974, 188019007]",2,Washington Street,residential,14.0,False,False,41.542,"LINESTRING (-70.87653 42.8109964, -70.8764702 42.8109784, -70.876143 42.8108757, -70.8760613 42.8108503)",yes,,
9110974,2,Washington Street,residential,14.0,False,True,91.717,"LINESTRING (-70.87653 42.8109964, -70.8766057 42.8110209, -70.8769126 42.8111205, -70.8770847 42.8111811, -70.8772161 42.8112225, -70.877552 42.81134)",,,
188019012,1,Winter Street,secondary,13.4,True,False,133.856,"LINESTRING (-70.87653 42.8109964, -70.8765706 42.810934, -70.8768728 42.8104597, -70.8770209 42.8102436, -70.8771942 42.8099954, -70.8772504 42.809915)",,MA 1A,
9111107,2,Congress Street,residential,13.4,False,False,16.446,"LINESTRING (-70.880031 42.813332, -70.879885 42.81323)",,,
9111107,2,Congress Street,residential,13.4,False,True,102.50099999999999,"LINESTRING (-70.880031 42.813332, -70.880231 42.813472, -70.880938 42.81397)",,,
9110979,1,Curriers Court,residential,5.5,False,False,44.903,"LINESTRING (-70.879754 42.814286, -70.880088 42.814607)",,,
9111294,2,Warren Street,residential,12.5,False,False,42.304,"LINESTRING (-70.883163 42.814225, -70.882911 42.814414, -70.882799 42.814496)",,,
9110889,2,,trunk,17.1,True,False,374.634,"LINESTRING (-70.8776104 42.8084052, -70.8775078 42.808789, -70.8774758 42.8088973, -70.8774467 42.8089947, -70.877407 42.8091072, -70.8773665 42.8092051, -70.877316 42.809299, -70.8772437 42.8094208, -70.8770371 42.8097213, -70.8767675 42.8101133, -70.876646 42.8103041, -70.8765151 42.8105144, -70.8763246 42.8108334, -70.8759047 42.8115167)",,US 1,
