osmid,oneway,lanes,name,highway,maxspeed,access,width,reversed,length,geometry
8647456,True,1,Myrtle Street,residential,25 mph,yes,5,False,53.694,"LINESTRING (-71.0650388 42.3593467, -71.064984 42.3593485, -71.0647393 42.3593499, -71.0644945 42.3593512, -71.0644469 42.3593516, -71.0643854 42.3593521)"
8650638,True,1,Joy Street,residential,25 mph,,11.0,False,56.585,"LINESTRING (-71.0650816 42.3588389, -71.0650801 42.3588588, -71.0650456 42.3593092, -71.0650388 42.3593467)"
8636684,True,1,Bowdoin Street,secondary,25 mph,,12.2,False,130.737,"LINESTRING (-71.0627487 42.3579049, -71.0627249 42.3579421, -71.0627092 42.357983, -71.0627088 42.3580003, -71.0627099 42.3580276, -71.062853 42.3585791, -71.062863 42.3586253, -71.062873 42.3586719, -71.0628804 42.3587067, -71.0628933 42.3587957, -71.0628992 42.3589122, -71.0628985 42.3589333, -71.0628904 42.3590627)"
138827726,True,1,Beacon Street,secondary,25 mph,,15.2,False,111.596,"LINESTRING (-71.0627487 42.3579049, -71.0625802 42.3579619, -71.0620299 42.3581481, -71.0617331 42.3582486, -71.0616473 42.3582654, -71.0615765 42.3582734, -71.0614958 42.358275)"
8647432,False,3,Beacon Street,secondary,25 mph,,18.3,True,165.91299999999998,"LINESTRING (-71.0632118 42.3577154, -71.0633273 42.3576737, -71.0633918 42.3576542, -71.0637255 42.3575535, -71.0639925 42.3574675, -71.0642285 42.3573946, -71.0644344 42.3573277, -71.0645988 42.3572788, -71.0647668 42.3572352, -71.0650008 42.3571834, -71.0650322 42.3571764, -71.065086 42.3571645)"
63104587,False,2,Park Street,secondary,25 mph,,13.4,False,167.951,"LINESTRING (-71.0632118 42.3577154, -71.0631641 42.3576557, -71.063143 42.3576298, -71.062988 42.35745, -71.062782 42.357254, -71.0621115 42.3566301, -71.0620827 42.3566026, -71.061982 42.356511)"
1166056604,True,2,Beacon Street,secondary,25 mph,,15.2,False,43.498999999999995,"LINESTRING (-71.0632118 42.3577154, -71.0630605 42.3577792, -71.0627487 42.3579049)"
"[8646962, 826634235, 941562893, 138798811]",True,2,"['Court Street', 'Cambridge Street']",secondary,25 mph,,"['14.6', '30.2']",False,143.96200000000002,"LINESTRING (-71.0578304 42.3588328, -71.0579127 42.3588448, -71.0585932 42.3589934, -71.058625 42.3590003, -71.0589449 42.3590958, -71.0591063 42.3591452, -71.0591837 42.3591729, -71.0594247 42.3592574, -71.0594721 42.3592749)"
8647891,True,2,Water Street,secondary,25 mph,,16.5,False,63.721000000000004,"LINESTRING (-71.058094 42.357663, -71.0580308 42.357648, -71.057887 42.357614, -71.057531 42.357579, -71.0574119 42.3575796, -71.057332 42.35758)"
63104564,True,1,Washington Street,secondary,25 mph,,16.8,False,134.068,"LINESTRING (-71.058094 42.357663, -71.057958 42.357842, -71.0578824 42.3580673, -71.057855 42.358151, -71.0578422 42.3582966, -71.057838 42.358616, -71.0578335 42.358745, -71.0578304 42.3588328)"
