osmid,oneway,lanes,ref,name,highway,maxspeed,width,reversed,length,geometry,junction
92064162,True,1,MA 135,Milk Street,secondary,30 mph,15.2,False,20.545,"LINESTRING (-71.6148767 42.270108, -71.6146627 42.2700128)",
447147965,False,2,MA 135,Milk Street,secondary,30 mph,15.2,True,113.685,"LINESTRING (-71.6148767 42.270108, -71.6152911 42.2702458, -71.616137 42.270527)",
9417438,False,2,,Holmes Street,residential,,9.1,False,70.104,"LINESTRING (-71.613072 42.272578, -71.613406 42.273158)",
9416798,False,2,,State Street,residential,,9.1,False,45.781000000000006,"LINESTRING (-71.613072 42.272578, -71.612916 42.272578, -71.612766 42.272558, -71.612529 42.272504)",
9416798,False,2,,State Street,residential,,9.1,True,95.323,"LINESTRING (-71.613072 42.272578, -71.61324 42.272547, -71.6140331 42.2722978, -71.614147 42.272262)",
849752982,True,1,,,secondary,,12.2,False,19.823,"LINESTRING (-71.613083 42.269747, -71.613217 42.2698036, -71.6132922 42.2698354)",
849752983,True,2,,,secondary,30 mph,16.2,False,16.944,"LINESTRING (-71.613083 42.269747, -71.613139 42.269677, -71.6131891 42.2696164)",
9417853,False,2,,Water Street,residential,,12.2,False,107.19200000000001,"LINESTRING (-71.618352 42.2725, -71.617269 42.273013, -71.617255 42.27302)",
9418147,False,2,,Orchard Street,residential,,12.2,True,122.589,"LINESTRING (-71.618352 42.2725, -71.6179779 42.2721616, -71.617425 42.271637)",
9417398,False,2,,Spring Street,residential,,12.2,False,77.087,"LINESTRING (-71.618153 42.271201, -71.6180721 42.2712569, -71.617425 42.271637)",
447147965,False,2,MA 135,Milk Street,secondary,30 mph,15.2,False,70.706,"LINESTRING (-71.618153 42.271201, -71.618051 42.271167, -71.617885 42.271111, -71.61772 42.271056, -71.617554 42.271, -71.617388 42.270945, -71.61737 42.270939)",
849752984,False,2,MA 135,Milk Street,secondary,30 mph,15.2,True,23.318,"LINESTRING (-71.618153 42.271201, -71.618217 42.271223, -71.6182603 42.2712373, -71.618383 42.271278, -71.618412 42.271286)",
9417565,False,2,,Cross Street,residential,,9.8,True,98.369,"LINESTRING (-71.611856 42.267195, -71.612889 42.266878, -71.612959 42.266854)",
