osmid,name,highway,access,oneway,reversed,length,geometry,lanes,ref,maxspeed
17219462,Beech Tree Lane,residential,yes,False,False,121.82000000000001,"LINESTRING (-75.695663 39.785965, -75.695727 39.785631, -75.695789 39.785575, -75.696399 39.785511, -75.696674 39.785512)",,,
103245851,Beech Tree Lane,residential,,False,False,101.556,"LINESTRING (-75.695663 39.785965, -75.695774 39.785962, -75.695864 39.78594, -75.696674 39.785512)",,,
103245851,Beech Tree Lane,residential,,False,True,168.832,"LINESTRING (-75.695663 39.785965, -75.694941 39.785887, -75.6948 39.785908, -75.6947131 39.7859757, -75.6940253 39.7865115)",,,
17219462,Beech Tree Lane,residential,yes,False,True,121.82,"LINESTRING (-75.696674 39.785512, -75.696399 39.785511, -75.695789 39.785575, -75.695727 39.785631, -75.695663 39.785965)",,,
103245851,Beech Tree Lane,residential,,False,True,101.556,"LINESTRING (-75.696674 39.785512, -75.695864 39.78594, -75.695774 39.785962, -75.695663 39.785965)",,,
103245851,Beech Tree Lane,residential,,False,False,62.864000000000004,"LINESTRING (-75.696674 39.785512, -75.69724 39.785497, -75.697248 39.785627)",,,
17220556,Dandelion Drive,residential,,False,False,160.602,"LINESTRING (-75.6927396 39.7895981, -75.6930529 39.7900886, -75.6931354 39.7902381, -75.6931701 39.790328, -75.6931986 39.7904061, -75.6932336 39.7904939, -75.6932686 39.7905692, -75.6933117 39.7906498, -75.6933524 39.7907245, -75.6934686 39.7909264)",,,
148171414,Yorklyn Road,secondary,,False,True,213.55599999999998,"LINESTRING (-75.6927396 39.7895981, -75.6930128 39.7895085, -75.6933877 39.7893833, -75.693527 39.7893367, -75.6937342 39.7892675, -75.6937827 39.7892513, -75.6941626 39.7891244, -75.6948 39.7889119, -75.6949039 39.7888774, -75.695033 39.7888346)",,,
17220556,Dandelion Drive,residential,,False,True,160.60199999999998,"LINESTRING (-75.6934686 39.7909264, -75.6933524 39.7907245, -75.6933117 39.7906498, -75.6932686 39.7905692, -75.6932336 39.7904939, -75.6931986 39.7904061, -75.6931701 39.790328, -75.6931354 39.7902381, -75.6930529 39.7900886, -75.6927396 39.7895981)",,,
17235445,Pond Drive,residential,,False,False,84.229,"LINESTRING (-75.6934686 39.7909264, -75.6933993 39.7909649, -75.6933423 39.7910002, -75.6932517 39.791062, -75.6931733 39.7911318, -75.6931168 39.7911998, -75.6930872 39.7912652, -75.6930633 39.7913328, -75.6930547 39.7914148, -75.6930537 39.791491, -75.6930622 39.7915625)",,,
