osmid,name,highway,maxspeed,oneway,reversed,length,geometry
15883195,Asbury Meadows,residential,,False,True,206.272,"LINESTRING (-90.7501014 42.5100425, -90.7508605 42.5100382, -90.7510021 42.510105, -90.7510171 42.5105556, -90.7509141 42.5106477, -90.7500984 42.5106604)"
471671172,Grand Meadow Drive,residential,,False,True,95.27299999999998,"LINESTRING (-90.7523992 42.5119637, -90.752604 42.5121024, -90.7527202 42.512186, -90.7528391 42.5123246, -90.7529111 42.5124531, -90.7529719 42.5125999, -90.7529825 42.5126751)"
471671172,Grand Meadow Drive,residential,,False,False,86.272,"LINESTRING (-90.7547646 42.5126183, -90.7547359 42.5126732, -90.7545848 42.5129629, -90.7544686 42.5130649, -90.7543938 42.5131087, -90.7542943 42.5131669, -90.7541615 42.5132158)"
471671172,Grand Meadow Drive,residential,,False,True,56.134,"LINESTRING (-90.7547646 42.5126183, -90.7548556 42.5124118, -90.7548698 42.5123797, -90.7549362 42.5122839, -90.7550893 42.5121907)"
1103904218,,residential,,False,False,238.51800000000003,"LINESTRING (-90.7547646 42.5126183, -90.7543711 42.512522, -90.7542628 42.5124721, -90.7541706 42.512254, -90.7541111 42.5120806, -90.7541311 42.5119878, -90.7541679 42.5119201, -90.7542233 42.5118434, -90.7542681 42.5117875, -90.7543176 42.5117373, -90.7543713 42.5116956, -90.7544266 42.5116573, -90.7545236 42.5116132, -90.754616 42.5115839, -90.7547172 42.5115634, -90.7548183 42.5115521, -90.7549082 42.5115562, -90.7550012 42.5115648, -90.7552676 42.5116062, -90.7555326 42.5116291)"
471671176,Water View Lane,residential,,False,True,63.411,"LINESTRING (-90.7541615 42.5132158, -90.7545071 42.513726)"
471671172,Grand Meadow Drive,residential,,False,False,133.085,"LINESTRING (-90.7541615 42.5132158, -90.7539679 42.5132464, -90.753824 42.5132546, -90.7536947 42.5132466, -90.7535927 42.5132283, -90.7535095 42.5132061, -90.7534115 42.5131735, -90.7533039 42.513124, -90.7531462 42.5130404, -90.7530494 42.5129201, -90.752994 42.512757, -90.7529825 42.5126751)"
471671172,Grand Meadow Drive,residential,,False,True,86.272,"LINESTRING (-90.7541615 42.5132158, -90.7542943 42.5131669, -90.7543938 42.5131087, -90.7544686 42.5130649, -90.7545848 42.5129629, -90.7547359 42.5126732, -90.7547646 42.5126183)"
471671172,Grand Meadow Drive,residential,,False,False,95.273,"LINESTRING (-90.7529825 42.5126751, -90.7529719 42.5125999, -90.7529111 42.5124531, -90.7528391 42.5123246, -90.7527202 42.512186, -90.752604 42.5121024, -90.7523992 42.5119637)"
471671172,Grand Meadow Drive,residential,,False,True,133.085,"LINESTRING (-90.7529825 42.5126751, -90.752994 42.512757, -90.7530494 42.5129201, -90.7531462 42.5130404, -90.7533039 42.513124, -90.7534115 42.5131735, -90.7535095 42.5132061, -90.7535927 42.5132283, -90.7536947 42.5132466, -90.753824 42.5132546, -90.7539679 42.5132464, -90.7541615 42.5132158)"
692250582,Rolling Hills Point,residential,,False,False,101.198,"LINESTRING (-90.7529825 42.5126751, -90.7525245 42.5127242, -90.7519946 42.5127152, -90.7517665 42.5126561)"
692250582,Rolling Hills Point,residential,,False,True,101.19800000000001,"LINESTRING (-90.7517665 42.5126561, -90.7519946 42.5127152, -90.7525245 42.5127242, -90.7529825 42.5126751)"
692250581,Valley Forge Road,residential,,False,False,52.989999999999995,"LINESTRING (-90.7548172 42.5110777, -90.7546707 42.5110794, -90.7541708 42.5110851)"
"[914286689, 1078488770]",Grand Meadow Drive,residential,,False,"[False, True]",105.22200000000001,"LINESTRING (-90.7548172 42.5110777, -90.754815 42.5113532, -90.7548539 42.5114172, -90.7549646 42.5114503, -90.7555365 42.5115497, -90.7555326 42.5116291)"
471671172,Grand Meadow Drive,residential,,False,False,56.134,"LINESTRING (-90.7550893 42.5121907, -90.7549362 42.5122839, -90.7548698 42.5123797, -90.7548556 42.5124118, -90.7547646 42.5126183)"
1078488769,,unclassified,,False,False,22.686999999999998,"LINESTRING (-90.7550893 42.5121907, -90.7551763 42.5122731, -90.7552251 42.512366)"
1078488770,Grand Meadow Drive,residential,,False,True,74.966,"LINESTRING (-90.7550893 42.5121907, -90.7552211 42.5121105, -90.7553926 42.5119494, -90.7554084 42.51193, -90.7554839 42.5118372, -90.7555282 42.511719, -90.7555326 42.5116291)"
897323399,,unclassified,,True,False,89.04500000000002,"LINESTRING (-90.7552251 42.512366, -90.7551966 42.5124949, -90.755223 42.5125638, -90.7552613 42.5125894, -90.7552901 42.5126087, -90.7553836 42.5126192, -90.7554588 42.5126012, -90.7554842 42.5125735, -90.7555096 42.5125458, -90.7555218 42.5124799, -90.7555015 42.5124289, -90.7554426 42.5123975, -90.7553653 42.512384, -90.7552799 42.5123765, -90.7552251 42.512366)"
1078488769,,unclassified,,False,True,22.686999999999998,"LINESTRING (-90.7552251 42.512366, -90.7551763 42.5122731, -90.7550893 42.5121907)"
1078488770,Grand Meadow Drive,residential,,False,False,74.966,"LINESTRING (-90.7555326 42.5116291, -90.7555282 42.511719, -90.7554839 42.5118372, -90.7554084 42.51193, -90.7553926 42.5119494, -90.7552211 42.5121105, -90.7550893 42.5121907)"
"[914286689, 1078488770]",Grand Meadow Drive,residential,,False,"[False, True]",105.22200000000001,"LINESTRING (-90.7555326 42.5116291, -90.7555365 42.5115497, -90.7549646 42.5114503, -90.7548539 42.5114172, -90.754815 42.5113532, -90.7548172 42.5110777)"
1103904218,,residential,,False,True,238.51799999999997,"LINESTRING (-90.7555326 42.5116291, -90.7552676 42.5116062, -90.7550012 42.5115648, -90.7549082 42.5115562, -90.7548183 42.5115521, -90.7547172 42.5115634, -90.754616 42.5115839, -90.7545236 42.5116132, -90.7544266 42.5116573, -90.7543713 42.5116956, -90.7543176 42.5117373, -90.7542681 42.5117875, -90.7542233 42.5118434, -90.7541679 42.5119201, -90.7541311 42.5119878, -90.7541111 42.5120806, -90.7541706 42.512254, -90.7542628 42.5124721, -90.7543711 42.512522, -90.7547646 42.5126183)"
