osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,width
862070077,,False,4,,secondary,25 mph,True,233.79400000000004,"LINESTRING (-85.3088003 35.0419278, -85.3088564 35.0420407, -85.3091482 35.0426284, -85.3091675 35.0426674, -85.3091778 35.042691, -85.3092532 35.0428631, -85.3093119 35.0430404, -85.309342 35.0432239, -85.309339 35.0434422, -85.3093429 35.0436939, -85.3093446 35.0438015, -85.309347 35.0439513)",Market Street,
1156343763,,False,4,,tertiary,,False,87.79400000000001,"LINESTRING (-85.3088003 35.0419278, -85.3088973 35.0418888, -85.3090401 35.0418415, -85.3092173 35.0418171, -85.3095815 35.041804, -85.3097393 35.0417973)",West 12th Street,
19492933,,False,,,residential,,False,130.582,"LINESTRING (-85.3040337 35.0441682, -85.3040656 35.0441097, -85.3040811 35.0440813, -85.3045906 35.0431476, -85.3046188 35.043096)",Foster Street,
1216083263,,False,3,,primary,25 mph,False,21.195999999999998,"LINESTRING (-85.3040337 35.0441682, -85.3040774 35.0441854, -85.3042436 35.0442507)",East Martin Luther King Boulevard,
19492933,,False,,,residential,,True,130.582,"LINESTRING (-85.3046188 35.043096, -85.3045906 35.0431476, -85.3040811 35.0440813, -85.3040656 35.0441097, -85.3040337 35.0441682)",Foster Street,
1156343777,,False,,,residential,,False,96.52699999999999,"LINESTRING (-85.3046188 35.043096, -85.3046425 35.0430532, -85.3046805 35.0429846, -85.3048231 35.0427268, -85.3049005 35.0425869, -85.3049685 35.0424641, -85.3050564 35.0423053)",Foster Street,
1156343778,,False,,,residential,,True,79.434,"LINESTRING (-85.3046188 35.043096, -85.3046596 35.0431117, -85.3053643 35.0433814, -85.3054092 35.0433986)",East 10th Street,
19494801,,True,,,residential,,False,95.022,"LINESTRING (-85.3117027 35.0496227, -85.3116179 35.0496246, -85.3115038 35.0496272, -85.3107649 35.0496437, -85.3106593 35.0496475)",West 6th Street,
215313364,,False,,,tertiary,,False,143.09199999999998,"LINESTRING (-85.3117027 35.0496227, -85.3117008 35.0495656, -85.3116843 35.0490581, -85.3116626 35.0483914, -85.3116608 35.0483363)",Chestnut Street,
1156343714,,False,,,residential,,False,88.29499999999999,"LINESTRING (-85.3117027 35.0496227, -85.3118104 35.0496203, -85.3126723 35.0496015)",West 6th Street,
215313363,,True,,,residential,,False,89.731,"LINESTRING (-85.3116608 35.0483363, -85.3117401 35.0483347, -85.3118514 35.0483324, -85.3120271 35.0483288, -85.3125698 35.0483176, -85.3126462 35.048316)",West 7th Street,
215313364,,False,,,tertiary,,True,143.092,"LINESTRING (-85.3116608 35.0483363, -85.3116626 35.0483914, -85.3116843 35.0490581, -85.3117008 35.0495656, -85.3117027 35.0496227)",Chestnut Street,
1157770313,,False,,,tertiary,,False,142.62699999999998,"LINESTRING (-85.3116608 35.0483363, -85.3116597 35.0482998, -85.3116397 35.0476167, -85.3116361 35.0474948, -85.3116249 35.0471106, -85.3116232 35.047054)",Chestnut Street,
215313362,,False,,,tertiary,,False,146.559,"LINESTRING (-85.3116232 35.047054, -85.311622 35.047013, -85.3116125 35.046688, -85.3115887 35.0458794, -85.3116282 35.04574)",Chestnut Street,
1157770312,,False,,,residential,,True,89.384,"LINESTRING (-85.3116232 35.047054, -85.3117088 35.0470523, -85.3126048 35.0470347)",West 8th Street,
1157770313,,False,,,tertiary,,True,142.627,"LINESTRING (-85.3116232 35.047054, -85.3116249 35.0471106, -85.3116361 35.0474948, -85.3116397 35.0476167, -85.3116597 35.0482998, -85.3116608 35.0483363)",Chestnut Street,
1157770314,,False,,,residential,,False,95.42099999999999,"LINESTRING (-85.3116232 35.047054, -85.3115364 35.0470557, -85.3114649 35.0470571, -85.3106674 35.0470728, -85.3105753 35.0470742)",West 8th Street,
81250839,,False,,,secondary,,False,101.341,"LINESTRING (-85.3116282 35.04574, -85.3116791 35.0456047, -85.3120211 35.0449645, -85.3120575 35.0449)",Carter Street,
111563727,,True,,,primary,,False,95.927,"LINESTRING (-85.3116282 35.04574, -85.3117522 35.0458189, -85.3117918 35.0458386, -85.3125704 35.0461185)",West Martin Luther King Boulevard,
111563749,,False,,,primary,,True,99.25899999999999,"LINESTRING (-85.3116282 35.04574, -85.3115299 35.0457366, -85.3106336 35.0457494, -85.3105381 35.0457505)",West Martin Luther King Boulevard,
215313362,,False,,,tertiary,,True,146.55900000000003,"LINESTRING (-85.3116282 35.04574, -85.3115887 35.0458794, -85.3116125 35.046688, -85.311622 35.047013, -85.3116232 35.047054)",Chestnut Street,
19494124,,False,,,tertiary,,False,233.55499999999998,"LINESTRING (-85.311533 35.0438965, -85.3115313 35.0438419, -85.3115119 35.0429127, -85.3115082 35.0427492, -85.311506 35.0426539, -85.3114908 35.0419917, -85.3115239 35.0417983)",Chestnut Street,
136783459,,False,,,residential,,False,95.267,"LINESTRING (-85.311533 35.0438965, -85.3120847 35.0438866, -85.3122764 35.0439019, -85.3124007 35.0439383, -85.3125574 35.0439923)",West 11th Street,
136783459,,False,,,residential,,True,108.672,"LINESTRING (-85.311533 35.0438965, -85.3114389 35.0439004, -85.3111004 35.0439081, -85.3109689 35.0439111, -85.3104561 35.043932, -85.3103404 35.0439372)",West 11th Street,
19494124,,False,,,tertiary,,True,233.555,"LINESTRING (-85.3115239 35.0417983, -85.3114908 35.0419917, -85.311506 35.0426539, -85.3115082 35.0427492, -85.3115119 35.0429127, -85.3115313 35.0438419, -85.311533 35.0438965)",Chestnut Street,
19497688,,False,,,tertiary,,True,162.547,"LINESTRING (-85.3115239 35.0417983, -85.3114462 35.0417928, -85.3113164 35.0417836, -85.3107674 35.0417884, -85.3106762 35.0417892, -85.3099381 35.0417956, -85.3097393 35.0417973)",West 12th Street,
1156343779,,False,,,residential,,True,81.988,"LINESTRING (-85.304239 35.0419958, -85.3049789 35.0422759, -85.3050564 35.0423053)",East 11th Street,
862116443,,True,,,residential,,False,88.75,"LINESTRING (-85.3105293 35.0496484, -85.3104209 35.0496507, -85.3099351 35.0496649, -85.3097801 35.0496724, -85.3096811 35.0496774, -85.3095554 35.0496838)",West 6th Street,
19507201,,False,,,residential,,False,142.961,"LINESTRING (-85.3126723 35.0496015, -85.3126704 35.0495066, -85.3126596 35.0489767, -85.3126462 35.048316)",Pine Street,
"[1156343715, 78559727]",,False,,,residential,,False,171.543,"LINESTRING (-85.3126723 35.0496015, -85.3129792 35.0495948, -85.3131931 35.0495902, -85.3136884 35.0495794, -85.3137872 35.0495772, -85.3145561 35.0495604)",West 6th Street,
1156343714,,False,,,residential,,True,88.29499999999999,"LINESTRING (-85.3126723 35.0496015, -85.3118104 35.0496203, -85.3117027 35.0496227)",West 6th Street,
19507039,,False,,,residential,,False,142.25799999999998,"LINESTRING (-85.3058489 35.0500472, -85.3057602 35.0500134, -85.3057333 35.0500031, -85.3051263 35.0497715, -85.3050325 35.0497357, -85.3048742 35.0496753, -85.3047398 35.049624, -85.3045752 35.0495612, -85.3044953 35.0495332, -85.3044894 35.0495307, -85.3044327 35.0495065)",Vine Street,
1156129122,,False,,,primary,,False,37.779,"LINESTRING (-85.3058489 35.0500472, -85.3058779 35.0499956, -85.3060225 35.0497386)",Georgia Avenue,
1156129121,,False,,,primary,,False,78.262,"LINESTRING (-85.3060225 35.0497386, -85.3060384 35.0497104, -85.3063821 35.0490993)",Georgia Avenue,
1156129122,,False,,,primary,,True,37.779,"LINESTRING (-85.3060225 35.0497386, -85.3058779 35.0499956, -85.3058489 35.0500472)",Georgia Avenue,
1156129120,,False,,,primary,,False,25.327,"LINESTRING (-85.3063821 35.0490993, -85.3064582 35.0489636, -85.3064982 35.0488923)",Georgia Avenue,
1156129121,,False,,,primary,,True,78.262,"LINESTRING (-85.3063821 35.0490993, -85.3060384 35.0497104, -85.3060225 35.0497386)",Georgia Avenue,
