osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,bridge,junction
9107293,2,Curve Street,residential,12.2,False,False,205.32100000000003,"LINESTRING (-71.756053 42.187884, -71.7559304 42.1880826, -71.755898 42.188158, -71.755859 42.188252, -71.755831 42.188425, -71.755793 42.188565, -71.755787 42.188715, -71.755795 42.188871, -71.75581 42.189032, -71.755856 42.189247, -71.755923 42.189454, -71.755997 42.189683)",,,
848261346,2,South Main Street,tertiary,24.4,False,False,96.376,"LINESTRING (-71.756053 42.187884, -71.756443 42.188077, -71.756594 42.188157, -71.757014 42.188378)",,,
848261346,2,South Main Street,tertiary,24.4,False,True,40.883,"LINESTRING (-71.756053 42.187884, -71.75603 42.187873, -71.755875 42.187802, -71.755661 42.187701, -71.755631 42.187691)",,,
9106568,2,Main Street,secondary,18.3,False,False,25.009999999999998,"LINESTRING (-71.761528 42.193936, -71.761404 42.193757, -71.761392 42.193735)",MA 122A,,
9106568,2,Main Street,secondary,18.3,False,True,120.155,"LINESTRING (-71.761528 42.193936, -71.761552 42.193972, -71.7616135 42.1940565, -71.761691 42.194163, -71.7617797 42.1942728, -71.761938 42.194469, -71.762263 42.194869)",MA 122A,,
9107215,2,Maple Street,residential,15.2,False,False,140.409,"LINESTRING (-71.757042 42.190931, -71.756574 42.191302, -71.756322 42.191511, -71.756137 42.191652, -71.756005 42.191737, -71.75589 42.191786, -71.755825 42.1918)",,,
9107215,2,Maple Street,residential,15.2,False,True,237.969,"LINESTRING (-71.757042 42.190931, -71.757464 42.190592, -71.757818 42.190315, -71.757913 42.190241, -71.758312 42.189916, -71.758524 42.189749, -71.75874 42.189609, -71.75906 42.189403)",,,
9107293,2,Curve Street,residential,12.2,False,True,168.09099999999998,"LINESTRING (-71.757042 42.190931, -71.756859 42.190802, -71.756628 42.190643, -71.75642 42.190488, -71.756265 42.190322, -71.756215 42.190248, -71.756175 42.190159, -71.756102 42.189964, -71.755997 42.189683)",,,
588237548,2,,secondary_link,15.2,True,False,22.928,"LINESTRING (-71.7567718 42.1929387, -71.75705 42.192933)",MA 122A,,
186540544,2,Canal Street,secondary,15.2,False,True,181.769,"LINESTRING (-71.7567718 42.1929387, -71.7566351 42.1929638, -71.756508 42.1929799, -71.7563807 42.1929927, -71.7562381 42.1930007, -71.7559748 42.1930115, -71.7556727 42.1930179, -71.7555424 42.1930171, -71.7554402 42.193013, -71.7553087 42.1930073, -71.7551968 42.1929967, -71.755087 42.1929756, -71.7549838 42.1929497, -71.7548677 42.1929162, -71.7547625 42.1928827, -71.7546277 42.1928181)",MA 122A,,
633904979,2,Elm Street,secondary,15.2,False,True,38.928,"LINESTRING (-71.7567718 42.1929387, -71.757 42.192883, -71.7571184 42.1928406, -71.7572091 42.1928081)",MA 122A,,
9107215,2,Maple Street,residential,15.2,False,False,237.969,"LINESTRING (-71.75906 42.189403, -71.75874 42.189609, -71.758524 42.189749, -71.758312 42.189916, -71.757913 42.190241, -71.757818 42.190315, -71.757464 42.190592, -71.757042 42.190931)",,,
"[903889721, 848261346, 903889722]",2,South Main Street,tertiary,24.4,False,False,109.24,"LINESTRING (-71.75906 42.189403, -71.759283 42.189501, -71.75947 42.1895848, -71.759578 42.189634, -71.759706 42.189692, -71.759833 42.189755, -71.7598692 42.1897731, -71.759887 42.189782, -71.759997 42.189841, -71.760066 42.1898861, -71.760075 42.189892, -71.760147 42.189957)",,yes,
848261346,2,South Main Street,tertiary,24.4,False,True,26.16,"LINESTRING (-71.75906 42.189403, -71.7589879 42.1893744, -71.758795 42.189274)",,,
633904979,2,Elm Street,secondary,15.2,False,False,9.161,"LINESTRING (-71.7573054 42.1927669, -71.7572091 42.1928081)",MA 122A,,
9107036,2,Elm Street,secondary,15.2,False,False,315.2130000000001,"LINESTRING (-71.7573054 42.1927669, -71.7573881 42.1927251, -71.7576 42.192618, -71.758047 42.192362, -71.758449 42.192108, -71.758649 42.1919873, -71.758729 42.191939, -71.7587791 42.1919136, -71.7588292 42.1918882, -71.7588489 42.1918782, -71.758869 42.191868, -71.759004 42.191802, -71.759159 42.191733, -71.759356 42.191654, -71.75967 42.19156, -71.760112 42.191428, -71.76054 42.191296)",,,
9106754,,,residential,,True,False,62.744,"LINESTRING (-71.762312 42.191183, -71.762128 42.190923, -71.761967 42.19068)",,,
848701106,,,residential,,False,False,52.701,"LINESTRING (-71.762312 42.191183, -71.762326 42.191221, -71.762319 42.191249, -71.762283 42.191274, -71.762149 42.191324, -71.761836 42.1914379)",,,
9107108,2,Harris Place,residential,10.1,False,False,46.241,"LINESTRING (-71.761807 42.191818, -71.762035 42.192198)",,,
848701670,,,residential,,False,False,72.47,"LINESTRING (-71.761807 42.191818, -71.761736 42.191841, -71.7617173 42.1918466, -71.761698 42.191841, -71.7615386 42.191584, -71.7615354 42.1915575, -71.7615573 42.1915388, -71.761836 42.1914379)",,,
848701670,,,residential,,False,True,57.363,"LINESTRING (-71.761807 42.191818, -71.7620038 42.1917438, -71.7620261 42.1917249, -71.762034 42.191701, -71.762027 42.191676, -71.761981 42.191614, -71.761836 42.1914379)",,,
9106599,2,River Street,residential,12.2,False,False,280.95000000000005,"LINESTRING (-71.765591 42.190879, -71.765659 42.191102, -71.765744 42.191434, -71.765797 42.191785, -71.7657996 42.1918173, -71.765811 42.191956, -71.765807 42.191998, -71.765797 42.192128, -71.7657802 42.1922192, -71.765763 42.192312, -71.765691 42.192464, -71.765495 42.192798, -71.765282 42.193143, -71.765157 42.193289)",,,
9106599,2,River Street,residential,12.2,False,True,228.329,"LINESTRING (-71.765591 42.190879, -71.7655279 42.1906738, -71.765503 42.190593, -71.7653864 42.1903667, -71.765366 42.190327, -71.765215 42.19007, -71.7650424 42.1898678, -71.765028 42.189851, -71.764858 42.189722, -71.764671 42.18959, -71.764441 42.189458, -71.764173 42.189343, -71.764039 42.189277)",,,
