osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref
11788924,Eastwood Avenue,residential,False,False,227.894,,"LINESTRING (-81.852954 41.450166, -81.855688 41.4502)",
11793386,West 210th Street,tertiary,False,False,106.194,35 mph,"LINESTRING (-81.852954 41.450166, -81.852963 41.449211)",
11793386,West 210th Street,tertiary,False,True,20.238,35 mph,"LINESTRING (-81.852954 41.450166, -81.852954 41.450348)",
11788924,Eastwood Avenue,residential,False,False,234.317,,"LINESTRING (-81.855688 41.4502, -81.8584988 41.450245)",
11788924,Eastwood Avenue,residential,False,True,227.894,,"LINESTRING (-81.855688 41.4502, -81.852954 41.450166)",
359411126,West 212th Street,residential,False,False,108.215,,"LINESTRING (-81.855688 41.4502, -81.855714 41.449227)",
11788926,Eastwood Avenue,residential,False,False,306.948,,"LINESTRING (-81.846895 41.450242, -81.850577 41.450303)",
11788926,Eastwood Avenue,residential,False,False,198.172,,"LINESTRING (-81.850577 41.450303, -81.852954 41.450348)",
11788926,Eastwood Avenue,residential,False,True,306.948,,"LINESTRING (-81.850577 41.450303, -81.846895 41.450242)",
11800182,West 208th Street,residential,False,False,130.225,,"LINESTRING (-81.850577 41.450303, -81.850601 41.449132)",
11788926,Eastwood Avenue,residential,False,True,198.172,,"LINESTRING (-81.852954 41.450348, -81.850577 41.450303)",
11793386,West 210th Street,tertiary,False,False,20.238,35 mph,"LINESTRING (-81.852954 41.450348, -81.852954 41.450166)",
11791452,West 214th Street,residential,False,False,12.011,,"LINESTRING (-81.8571452 41.4433742, -81.8572893 41.4433739)",
"[491145984, 1102252650]",West 214th Street,residential,True,False,117.83799999999998,,"LINESTRING (-81.8571452 41.4433742, -81.8571218 41.4436286, -81.8570662 41.4441597, -81.857053 41.4442725, -81.85706 41.4443131, -81.8570674 41.4443551, -81.8571248 41.4444171)",
11791456,West 214th Street,residential,False,True,358.11,,"LINESTRING (-81.857319 41.449246, -81.857399 41.446026)",
338574836,Westwood Road,tertiary,False,True,133.786,,"LINESTRING (-81.857319 41.449246, -81.855714 41.449227)",
11791456,West 214th Street,residential,False,False,358.11,,"LINESTRING (-81.857399 41.446026, -81.857319 41.449246)",
11791456,West 214th Street,residential,False,True,184.409,,"LINESTRING (-81.857399 41.446026, -81.857418 41.444943, -81.857389 41.444804, -81.8571248 41.4444171)",
11811370,Clifford Drive,residential,False,True,154.11599999999999,,"LINESTRING (-81.857399 41.446026, -81.856398 41.446011, -81.856096 41.445997, -81.8558315 41.4459475, -81.855567 41.445898)",
11791456,West 214th Street,residential,False,False,184.409,,"LINESTRING (-81.8571248 41.4444171, -81.857389 41.444804, -81.857418 41.444943, -81.857399 41.446026)",
491145985,West 214th Street,residential,True,False,117.272,,"LINESTRING (-81.8571248 41.4444171, -81.8571849 41.4442882, -81.8571945 41.4442427, -81.8572084 41.4441773, -81.8572628 41.443716, -81.8572721 41.4436372, -81.8572842 41.4434391, -81.8572893 41.4433739)",
"[752191737, 491145989]",Lorain Road,primary,False,True,202.989,25 mph,"LINESTRING (-81.8571248 41.4444171, -81.8567371 41.4446129, -81.8566073 41.4446809, -81.8562721 41.4448341, -81.855113 41.445445)",SR 10
11793386,West 210th Street,tertiary,False,True,306.821,35 mph,"LINESTRING (-81.8530174 41.446452, -81.8530094 41.446861, -81.8530078 41.4469405, -81.853001 41.4472824, -81.852963 41.449211)",
253273752,West 210th Street,tertiary,False,False,86.74300000000001,,"LINESTRING (-81.8530174 41.446452, -81.8530248 41.4461022, -81.8530332 41.4457087, -81.853034 41.445672)",
491145989,Lorain Road,primary,False,False,131.228,25 mph,"LINESTRING (-81.8530174 41.446452, -81.853298 41.446346, -81.8535152 41.4462486, -81.85357 41.446224, -81.8536092 41.4462036, -81.8536867 41.4461633, -81.854345 41.445821)",SR 10
491145990,Lorain Road,primary,False,True,201.62,25 mph,"LINESTRING (-81.8530174 41.446452, -81.8525705 41.4465944, -81.8523614 41.446661, -81.8522186 41.4467092, -81.8521797 41.4467224, -81.8515334 41.4468972, -81.8507614 41.447104)",SR 10
253273752,West 210th Street,tertiary,False,False,152.841,,"LINESTRING (-81.853034 41.445672, -81.853085 41.444298)",
11794564,Fairpark Drive,residential,False,True,92.9,,"LINESTRING (-81.853034 41.445672, -81.8529255 41.4456729, -81.852591 41.4456758, -81.852336 41.445678, -81.851932 41.445754)",
253273752,West 210th Street,tertiary,False,True,86.74300000000001,,"LINESTRING (-81.853034 41.445672, -81.8530332 41.4457087, -81.8530248 41.4461022, -81.8530174 41.446452)",
253273752,West 210th Street,tertiary,False,True,152.841,,"LINESTRING (-81.853085 41.444298, -81.853034 41.445672)",
11802779,Parklane Drive,residential,False,True,164.96799999999996,,"LINESTRING (-81.853085 41.444298, -81.8529577 41.4442966, -81.852334 41.44429, -81.851699 41.444458, -81.851618 41.444473, -81.851528 41.444473, -81.851386 41.444459, -81.851154 41.444419)",
253273752,West 210th Street,tertiary,False,False,104.537,,"LINESTRING (-81.853085 41.444298, -81.8530892 41.4440995, -81.853105 41.443358)",
11800764,Angela Drive,residential,False,True,258.42999999999995,,"LINESTRING (-81.853105 41.443358, -81.8529819 41.4433573, -81.852254 41.443353, -81.85113 41.443688, -81.851024 41.443777, -81.851 41.443893, -81.851022 41.444, -81.851118 41.444178, -81.851154 41.444419)",
253273752,West 210th Street,tertiary,False,False,123.656,,"LINESTRING (-81.853105 41.443358, -81.8531111 41.4429353, -81.853121 41.442246)",
253273752,West 210th Street,tertiary,False,True,104.537,,"LINESTRING (-81.853105 41.443358, -81.8530892 41.4440995, -81.853085 41.444298)",
11803352,Fairlane Circle,residential,False,True,148.66,,"LINESTRING (-81.853121 41.442246, -81.8530111 41.442248, -81.852133 41.442264, -81.8514025 41.4424995)",
253273752,West 210th Street,tertiary,False,True,123.656,,"LINESTRING (-81.853121 41.442246, -81.8531111 41.4429353, -81.853105 41.443358)",
11800182,West 208th Street,residential,False,True,130.225,,"LINESTRING (-81.850601 41.449132, -81.850577 41.450303)",
11793491,Westwood Road,residential,False,False,197.058,,"LINESTRING (-81.850601 41.449132, -81.851343 41.4491568, -81.852963 41.449211)",
11800182,West 208th Street,residential,False,False,220.506,,"LINESTRING (-81.850601 41.449132, -81.8506049 41.4487056, -81.8506099 41.4481681, -81.8506137 41.4477584, -81.8506155 41.4475646, -81.8506194 41.447149)",
338574836,Westwood Road,tertiary,False,False,119.614,,"LINESTRING (-81.854279 41.449211, -81.855714 41.449227)",
338574836,Westwood Road,tertiary,False,True,109.683,,"LINESTRING (-81.854279 41.449211, -81.852963 41.449211)",
11801065,West 211th Street,residential,False,False,376.992,,"LINESTRING (-81.854279 41.449211, -81.8543315 41.4465153, -81.854345 41.445821)",
338574836,Westwood Road,tertiary,False,False,133.786,,"LINESTRING (-81.855714 41.449227, -81.857319 41.449246)",
338574836,Westwood Road,tertiary,False,True,119.614,,"LINESTRING (-81.855714 41.449227, -81.854279 41.449211)",
359411126,West 212th Street,residential,False,True,108.215,,"LINESTRING (-81.855714 41.449227, -81.855688 41.4502)",
359411126,West 212th Street,residential,False,False,372.328,,"LINESTRING (-81.855714 41.449227, -81.855773 41.446598, -81.855756 41.446429, -81.855567 41.445898)",
491145990,Lorain Road,primary,False,True,12.85,25 mph,"LINESTRING (-81.8507614 41.447104, -81.8506194 41.447149)",SR 10
11794564,Fairpark Drive,residential,False,False,222.207,,"LINESTRING (-81.8507614 41.447104, -81.850617 41.446793, -81.8505998 41.44668, -81.850587 41.446596, -81.850587 41.446421, -81.8505984 41.4463928, -81.850648 41.44627, -81.850749 41.446133, -81.85088 41.446027, -81.851022 41.445966, -81.851932 41.445754)",
491145990,Lorain Road,primary,False,False,201.62,25 mph,"LINESTRING (-81.8507614 41.447104, -81.8515334 41.4468972, -81.8521797 41.4467224, -81.8522186 41.4467092, -81.8523614 41.446661, -81.8525705 41.4465944, -81.8530174 41.446452)",SR 10
11794564,Fairpark Drive,residential,False,False,92.9,,"LINESTRING (-81.851932 41.445754, -81.852336 41.445678, -81.852591 41.4456758, -81.8529255 41.4456729, -81.853034 41.445672)",
11794564,Fairpark Drive,residential,False,True,222.207,,"LINESTRING (-81.851932 41.445754, -81.851022 41.445966, -81.85088 41.446027, -81.850749 41.446133, -81.850648 41.44627, -81.8505984 41.4463928, -81.850587 41.446421, -81.850587 41.446596, -81.8505998 41.44668, -81.850617 41.446793, -81.8507614 41.447104)",
11800764,Angela Drive,residential,False,False,176.75700000000003,,"LINESTRING (-81.851932 41.445754, -81.851643 41.445089, -81.851546 41.445, -81.851463 41.444937, -81.851176 41.444839, -81.851094 41.444741, -81.85107 41.444616, -81.851094 41.444518, -81.851154 41.444419)",
11811370,Clifford Drive,residential,False,True,63.002,,"LINESTRING (-81.855567 41.445898, -81.855113 41.445445)",
11811370,Clifford Drive,residential,False,False,154.11599999999999,,"LINESTRING (-81.855567 41.445898, -81.8558315 41.4459475, -81.856096 41.445997, -81.856398 41.446011, -81.857399 41.446026)",
359411126,West 212th Street,residential,False,True,372.328,,"LINESTRING (-81.855567 41.445898, -81.855756 41.446429, -81.855773 41.446598, -81.855714 41.449227)",
491145990,Lorain Road,primary,False,False,12.85,25 mph,"LINESTRING (-81.8506194 41.447149, -81.8507614 41.447104)",SR 10
11800182,West 208th Street,residential,False,True,220.506,,"LINESTRING (-81.8506194 41.447149, -81.8506155 41.4475646, -81.8506137 41.4477584, -81.8506099 41.4481681, -81.8506049 41.4487056, -81.850601 41.449132)",
