osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,bridge
16017880,83rd Street,residential,False,True,19.132,,"LINESTRING (-93.732029 41.629325, -93.732023 41.629153)",,
43195983,Douglas Avenue,primary,True,False,136.048,45 mph,"LINESTRING (-93.732029 41.629325, -93.7334079 41.6293054, -93.7336656 41.6293017)",,
16002967,Colby Parkway,residential,False,True,292.021,,"LINESTRING (-93.7364704 41.6258199, -93.7363431 41.6258184, -93.7356265 41.6258174, -93.7342635 41.6258195, -93.7329571 41.6258216)",,
249462843,86th Street,primary,True,False,369.16400000000004,,"LINESTRING (-93.7364704 41.6258199, -93.7364704 41.6259153, -93.7364696 41.6275483, -93.7364873 41.6290627, -93.7364875 41.6290835, -93.7364882 41.6291398)",2,
16004483,Whitson Drive,residential,False,False,102.74000000000001,,"LINESTRING (-93.73652 41.623145, -93.7366477 41.6231453, -93.7368772 41.6231459, -93.7370999 41.6231464, -93.7372152 41.6231467, -93.7375451 41.6231475, -93.7376846 41.6231478, -93.737756 41.623148)",,
"[223159968, 69489636, 69489670]",86th Street,primary,False,"[False, True]",146.114,,"LINESTRING (-93.73652 41.623145, -93.7365151 41.6235523, -93.7365172 41.6237018, -93.7365159 41.6239028, -93.7365155 41.6243278, -93.7365154 41.624459)",,yes
16004483,Whitson Drive,residential,False,True,102.74,,"LINESTRING (-93.737756 41.623148, -93.7376846 41.6231478, -93.7375451 41.6231475, -93.7372152 41.6231467, -93.7370999 41.6231464, -93.7368772 41.6231459, -93.7366477 41.6231453, -93.73652 41.623145)",,
16013474,Horton Circle,residential,False,False,134.48000000000002,,"LINESTRING (-93.739802 41.631668, -93.740115 41.631536, -93.740316 41.631418, -93.740498 41.631285, -93.740664 41.631135, -93.740917 41.630823)",,
16013474,Horton Circle,residential,False,True,279.90999999999997,,"LINESTRING (-93.739802 41.631668, -93.739455 41.631814, -93.739236 41.631886, -93.739072 41.631922, -93.738903 41.631946, -93.738731 41.631956, -93.738575 41.631955, -93.738355 41.631939, -93.738137 41.631906, -93.737788 41.631823, -93.737653 41.631804, -93.737379 41.631796, -93.7365413 41.6317981)",,
249462843,86th Street,primary,True,False,17.191,,"LINESTRING (-93.7364882 41.6291398, -93.7364868 41.6292944)",2,
31774826,Douglas Avenue,primary,True,False,188.857,45 mph,"LINESTRING (-93.7364882 41.6291398, -93.7363385 41.6291389, -93.734216 41.6291277)",,
43195983,Douglas Avenue,primary,True,False,14.279,45 mph,"LINESTRING (-93.7364868 41.6292944, -93.7366586 41.6292953)",,
249462843,86th Street,primary,True,False,190.345,,"LINESTRING (-93.7364868 41.6292944, -93.7364863 41.6294071, -93.7364827 41.6303143, -93.736483 41.6305689, -93.7365455 41.6310037)",2,
16007378,Madison Avenue,residential,False,True,271.92600000000004,,"LINESTRING (-93.7365455 41.6310037, -93.734864 41.631001, -93.734452 41.631013, -93.733553 41.631068, -93.733322 41.631069, -93.733277 41.631069)",,
249462837,86th Street,primary,True,False,190.787,,"LINESTRING (-93.7365455 41.6310037, -93.7366531 41.6305657, -93.7366579 41.6303664, -93.7366608 41.6302784, -93.7366589 41.6294306, -93.7366588 41.6294004, -93.7366586 41.6292953)",2,
702573540,86th Street,primary,False,False,86.777,,"LINESTRING (-93.7365455 41.6310037, -93.7365439 41.631309, -93.7365414 41.6317841)",,
702573540,86th Street,primary,False,True,1.557,,"LINESTRING (-93.7365413 41.6317981, -93.7365414 41.6317841)",,
16013474,Horton Circle,residential,False,False,279.90999999999997,,"LINESTRING (-93.7365413 41.6317981, -93.737379 41.631796, -93.737653 41.631804, -93.737788 41.631823, -93.738137 41.631906, -93.738355 41.631939, -93.738575 41.631955, -93.738731 41.631956, -93.738903 41.631946, -93.739072 41.631922, -93.739236 41.631886, -93.739455 41.631814, -93.739802 41.631668)",,
16007378,Madison Avenue,residential,False,False,91.34,,"LINESTRING (-93.732178 41.63107, -93.733277 41.631069)",,
16007378,Madison Avenue,residential,False,True,91.34,,"LINESTRING (-93.733277 41.631069, -93.732178 41.63107)",,
16007378,Madison Avenue,residential,False,False,271.92600000000004,,"LINESTRING (-93.733277 41.631069, -93.733322 41.631069, -93.733553 41.631068, -93.734452 41.631013, -93.734864 41.631001, -93.7365455 41.6310037)",,
16013474,Horton Circle,residential,False,True,134.48000000000002,,"LINESTRING (-93.740917 41.630823, -93.740664 41.631135, -93.740498 41.631285, -93.740316 41.631418, -93.740115 41.631536, -93.739802 41.631668)",,
16017880,83rd Street,residential,False,False,19.132,,"LINESTRING (-93.732023 41.629153, -93.732029 41.629325)",,
31774826,Douglas Avenue,primary,True,False,182.29,45 mph,"LINESTRING (-93.734216 41.6291277, -93.7321584 41.6291514, -93.732023 41.629153)",,
