osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,tunnel
4375278,4,Muitas iela,tertiary,50,False,False,31.42,"LINESTRING (24.098434 56.9525429, 24.0989371 56.9526105)",,
70684867,2,11. novembra krastmala,primary,50,True,False,119.206,"LINESTRING (24.098434 56.9525429, 24.0984183 56.9523905, 24.0988312 56.9514991)",,
"[177370073, 131285083]",4,Zigfrīda Annas Meierovica bulvāris,tertiary,50,False,True,314.9420000000001,"LINESTRING (24.105552 56.9533058, 24.1056281 56.9532514, 24.1056844 56.9532112, 24.1061712 56.952809, 24.1063198 56.9526858, 24.1064011 56.9526206, 24.1064704 56.9525651, 24.1066553 56.9524442, 24.1068994 56.9523133, 24.1069596 56.9522869, 24.1070216 56.9522603, 24.10712 56.9522246, 24.1073632 56.9521504, 24.1074403 56.9521331, 24.107761 56.9520692, 24.1080652 56.9520374, 24.1083396 56.9520213, 24.1085401 56.9520155, 24.1086919 56.952009, 24.1088422 56.9519922, 24.1090426 56.9519584, 24.1092403 56.9519045, 24.1093963 56.9518467, 24.1094856 56.9518122, 24.10958 56.9517685)",,
"[28723370, 1207734641, 1207734642]",4,Krišjāņa Valdemāra iela,primary,50,False,True,58.142,"LINESTRING (24.105552 56.9533058, 24.10547 56.9532677, 24.1053982 56.9532363, 24.1050972 56.9531048, 24.1050449 56.9530817, 24.104783 56.9529953)",,
"[8086267, 39348071]","['3', '2']",Pils laukums,tertiary,50,False,True,148.336,"LINESTRING (24.0998227 56.9527668, 24.1002437 56.9523207, 24.1009584 56.9515853)",,
87775720,4,Muitas iela,tertiary,50,False,True,56.443000000000005,"LINESTRING (24.0998227 56.9527668, 24.0989794 56.952618, 24.0989371 56.9526105)",,
"[216233365, 172947935]",4,Muitas iela,tertiary,50,False,False,108.61999999999998,"LINESTRING (24.0998227 56.9527668, 24.1005652 56.9529027, 24.1007837 56.9529406, 24.1010084 56.952981, 24.1013499 56.9530425, 24.1015232 56.9530738)",,
23909877,3,Muitas iela,tertiary,50,False,False,95.947,"LINESTRING (24.1015232 56.9530738, 24.1017052 56.9532023, 24.1024288 56.9537811)",,
"[216233365, 172947935]",4,Muitas iela,tertiary,50,False,True,108.62,"LINESTRING (24.1015232 56.9530738, 24.1013499 56.9530425, 24.1010084 56.952981, 24.1007837 56.9529406, 24.1005652 56.9529027, 24.0998227 56.9527668)",,
293030163,3,Citadeles iela,tertiary,50,False,False,34.598,"LINESTRING (24.1015232 56.9530738, 24.1015783 56.9529919, 24.1017198 56.9527817)",,
29240434,2,Krišjāņa Valdemāra iela,primary,50,True,False,11.024,"LINESTRING (24.101965 56.9524283, 24.1017843 56.9524392)",,
36827855,4,Krišjāņa Valdemāra iela,primary,50,False,False,89.665,"LINESTRING (24.101965 56.9524283, 24.1033593 56.9526968)",,
"[8086267, 39348071]","['3', '2']",Pils laukums,tertiary,50,False,False,148.336,"LINESTRING (24.1009584 56.9515853, 24.1002437 56.9523207, 24.0998227 56.9527668)",,
23909876,2,Pils laukums,tertiary,50,False,True,89.538,"LINESTRING (24.1009584 56.9515853, 24.1011756 56.9516208, 24.1022531 56.9517801, 24.1023826 56.9517976)",,
"[38917036, 44954751]",,"['Pils laukums', 'Pils iela']",living_street,,False,True,108.358,"LINESTRING (24.1009584 56.9515853, 24.1010374 56.9515043, 24.101201 56.9513364, 24.1016441 56.950847, 24.1017876 56.9507228)",no,
"[797933744, 23694627, 23909886]",2,"['Jēkaba iela', 'Torņa iela']",living_street,20,False,False,234.74699999999999,"LINESTRING (24.104783 56.9529953, 24.1048381 56.9529379, 24.104869 56.952885, 24.1049244 56.9527378, 24.1049678 56.9526224, 24.1051803 56.9520647, 24.105282 56.9517411, 24.1053204 56.9516429, 24.1052061 56.951662, 24.1050498 56.9516696, 24.1041137 56.9517148, 24.104002 56.9517202)",,
"[1207734641, 28723370, 1207734642]",4,Krišjāņa Valdemāra iela,primary,50,False,False,58.141999999999996,"LINESTRING (24.104783 56.9529953, 24.1050449 56.9530817, 24.1050972 56.9531048, 24.1053982 56.9532363, 24.10547 56.9532677, 24.105552 56.9533058)",,
36827856,4,Krišjāņa Valdemāra iela,primary,50,False,True,92.68900000000001,"LINESTRING (24.104783 56.9529953, 24.1046464 56.952949, 24.1045444 56.9529269, 24.1033593 56.9526968)",,
39346854,2,Torņa iela,residential,50,False,True,34.267,"LINESTRING (24.1023826 56.9517976, 24.102946 56.9517738)",,
23909876,2,Pils laukums,tertiary,50,False,False,89.538,"LINESTRING (24.1023826 56.9517976, 24.1022531 56.9517801, 24.1011756 56.9516208, 24.1009584 56.9515853)",,
130848162,2,Pils laukums,living_street,,False,False,116.266,"LINESTRING (24.1023826 56.9517976, 24.1024392 56.9516981, 24.1023717 56.9509459, 24.1022887 56.9508538, 24.1022193 56.9507769)",,
36833715,,Torņa iela,living_street,,False,False,64.312,"LINESTRING (24.104002 56.9517202, 24.102946 56.9517738)",,
"[437451818, 4643269]",2,Noliktavas iela,living_street,20,False,False,116.108,"LINESTRING (24.104002 56.9517202, 24.1040078 56.9518043, 24.1039782 56.9518451, 24.1036943 56.9522373, 24.1036301 56.952326, 24.1034224 56.9526108, 24.1033593 56.9526968)",,
"[797933744, 23694627, 23909886]",2,"['Jēkaba iela', 'Torņa iela']",living_street,20,False,True,234.74699999999999,"LINESTRING (24.104002 56.9517202, 24.1041137 56.9517148, 24.1050498 56.9516696, 24.1052061 56.951662, 24.1053204 56.9516429, 24.105282 56.9517411, 24.1051803 56.9520647, 24.1049678 56.9526224, 24.1049244 56.9527378, 24.104869 56.952885, 24.1048381 56.9529379, 24.104783 56.9529953)",,
23909877,3,Muitas iela,tertiary,50,False,True,95.947,"LINESTRING (24.1024288 56.9537811, 24.1017052 56.9532023, 24.1015232 56.9530738)",,
36827855,4,Krišjāņa Valdemāra iela,primary,50,False,True,89.665,"LINESTRING (24.1033593 56.9526968, 24.101965 56.9524283)",,
36827856,4,Krišjāņa Valdemāra iela,primary,50,False,False,92.68900000000001,"LINESTRING (24.1033593 56.9526968, 24.1045444 56.9529269, 24.1046464 56.952949, 24.104783 56.9529953)",,
"[36827854, 293030166, 1189598238]",2,Noliktavas iela,tertiary,,True,False,134.659,"LINESTRING (24.1033593 56.9526968, 24.1033055 56.9527699, 24.1028826 56.9533383, 24.1026683 56.9536471, 24.1026002 56.9537017, 24.1024288 56.9537811)",,
