osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
13344686,North Sycamore Street,tertiary,False,False,95.172,"LINESTRING (-117.8686833 33.7462793, -117.8686837 33.7468429, -117.868684 33.7471352)",,
205016207,West 2nd Street,residential,True,False,95.24199999999999,"LINESTRING (-117.8686833 33.7462793, -117.8682234 33.7462793, -117.8676532 33.7462792)",,
205016206,West 2nd Street,residential,False,False,7.822,"LINESTRING (-117.8696917 33.7462815, -117.8697763 33.7462812)",,
760115737,North Broadway,secondary,True,False,58.885000000000005,"LINESTRING (-117.8696917 33.7462815, -117.8696942 33.7467431, -117.8697337 33.7468026)",,
352886433,Riverine Avenue,residential,False,True,201.755,"LINESTRING (-117.8719972 33.7515398, -117.8719949 33.7518471, -117.8719916 33.7523472, -117.8719856 33.7533542)",,
"[402214249, 1104912933, 402214239]",Civic Center Drive West,secondary,False,False,122.348,"LINESTRING (-117.8719972 33.7515398, -117.871821 33.7515403, -117.8717621 33.7515404, -117.8715581 33.7515409, -117.8714877 33.7515411, -117.8713449 33.7515415, -117.8710801 33.7515421, -117.8710011 33.7515428, -117.8706739 33.7515467)",5,25 mph
"[402214184, 402214249]",Civic Center Drive West,secondary,False,True,47.835,"LINESTRING (-117.8719972 33.7515398, -117.8721167 33.7515395, -117.872173 33.7515394, -117.8725146 33.7515385)",5,25 mph
352886433,Riverine Avenue,residential,False,True,117.311,"LINESTRING (-117.8719856 33.7533542, -117.8719829 33.7544092)",,
681629009,West 10th Street,residential,False,False,47.733,"LINESTRING (-117.8719856 33.7533542, -117.8725019 33.7533526)",,
352886433,Riverine Avenue,residential,False,False,201.755,"LINESTRING (-117.8719856 33.7533542, -117.8719916 33.7523472, -117.8719949 33.7518471, -117.8719972 33.7515398)",,
681629009,West 10th Street,residential,False,True,46.604,"LINESTRING (-117.8719856 33.7533542, -117.8716184 33.7533553, -117.8715257 33.7533556, -117.8714815 33.7533557)",,
13295849,West Halesworth Street,residential,False,True,47.695,"LINESTRING (-117.8719829 33.7544092, -117.871467 33.7544084)",,
352886433,Riverine Avenue,residential,False,False,117.311,"LINESTRING (-117.8719829 33.7544092, -117.8719856 33.7533542)",,
664287618,West Halesworth Street,residential,False,False,47.298,"LINESTRING (-117.8719829 33.7544092, -117.8724945 33.7544099)",,
600494983,West 3rd Street,tertiary,False,True,177.01300000000003,"LINESTRING (-117.8763917 33.747103, -117.8762667 33.7471028, -117.8757098 33.747102, -117.8755001 33.7471017, -117.8753966 33.7471015, -117.8753161 33.7471014, -117.8745078 33.7471058, -117.8744772 33.747106)",,
"[402205970, 1075111918, 402205958]",North Flower Street,secondary,True,False,99.669,"LINESTRING (-117.8763917 33.747103, -117.8763911 33.7475218, -117.876391 33.7476411, -117.8763907 33.7478273, -117.8763944 33.7479088, -117.8764702 33.7479737)","['4', '3', '2']",
402205872,North Broadway,secondary,False,True,37.216,"LINESTRING (-117.8697126 33.7483454, -117.8697218 33.7480108)",5,
"[402205921, 402205908]",North Broadway,secondary,True,False,60.315,"LINESTRING (-117.8697126 33.7483454, -117.869675 33.7484013, -117.8696794 33.7486518, -117.8696819 33.7487937, -117.8697223 33.7488728)",,
402205900,North Broadway,secondary,False,True,51.919,"LINESTRING (-117.8697196 33.7507828, -117.8697142 33.7512497)",5,
"[402205924, 402205911]",North Broadway,secondary,True,False,118.07000000000001,"LINESTRING (-117.8697196 33.7507828, -117.8697648 33.7507217, -117.8697644 33.7507024, -117.8697681 33.7505399, -117.8697749 33.7499906, -117.8697777 33.7498181, -117.8697317 33.7497406)",2,
205016206,West 2nd Street,residential,False,True,7.822,"LINESTRING (-117.8697763 33.7462812, -117.8696917 33.7462815)",,
760115738,West 2nd Street,residential,False,False,101.188,"LINESTRING (-117.8697763 33.7462812, -117.8703016 33.7462807, -117.8708707 33.7462801)",,
402206261,North Broadway,secondary,False,False,36.194,"LINESTRING (-117.8697337 33.7468026, -117.8697318 33.7471281)",3,
402206263,North Broadway,secondary,True,False,59.073,"LINESTRING (-117.8697337 33.7468026, -117.8697768 33.7467424, -117.8697763 33.7462812)",,
402205972,North Flower Street,secondary,True,False,33.96,"LINESTRING (-117.8764742 33.753369, -117.8764236 33.7534416, -117.8764249 33.7536631)",4,
"[664287832, 402205955, 664287829]",North Flower Street,secondary,False,True,204.678,"LINESTRING (-117.8764742 33.753369, -117.876476 33.7532259, -117.8764875 33.7524897, -117.8764927 33.7521536, -117.8764965 33.7515284)","['4', '5']",
664287828,North Flower Street,secondary,True,False,44.66,"LINESTRING (-117.8764823 33.7540583, -117.8765299 33.7539713, -117.8765369 33.7536653)",2,
13343320,West 10th Street,residential,False,True,68.987,"LINESTRING (-117.8764249 33.7536631, -117.8756787 33.7536648)",,
402205972,North Flower Street,secondary,True,False,45.139,"LINESTRING (-117.8764249 33.7536631, -117.8764273 33.7539663, -117.8764823 33.7540583)",4,
