osmid,oneway,highway,maxspeed,reversed,length,geometry,name,lanes,access
522487021,True,motorway_link,65 mph,False,58.015,"LINESTRING (-118.8370994 34.1661987, -118.8371724 34.1662455, -118.8374908 34.1665026, -118.8375598 34.1665546)",,,
522487027,True,motorway_link,65 mph,False,95.309,"LINESTRING (-118.8370994 34.1661987, -118.8371457 34.166257, -118.8373931 34.166521, -118.837403 34.1665465, -118.837403 34.1665852, -118.8373893 34.1666236, -118.8372417 34.1668536, -118.8372291 34.166896, -118.8372386 34.166939)",,,
508131073,True,primary,35 mph,False,51.964,"LINESTRING (-118.8375598 34.1665546, -118.8372386 34.166939)",Hampshire Road,,
521448564,True,motorway_link,65 mph,False,12.176,"LINESTRING (-118.8375598 34.1665546, -118.837656 34.1666298)",,,
299078454,True,motorway_link,65 mph,False,332.05999999999995,"LINESTRING (-118.837656 34.1666298, -118.8377439 34.1666785, -118.838781 34.1671498, -118.8388592 34.1671889, -118.8394375 34.1674782, -118.8400422 34.1678365, -118.8407464 34.1681665)",,,
10727792,False,residential,,False,166.774,"LINESTRING (-118.8392456 34.1715824, -118.8393586 34.171473, -118.8393737 34.1714537, -118.8393926 34.171417, -118.8393997 34.1713807, -118.8392812 34.1708162, -118.8392012 34.1704326, -118.8391579 34.1702209, -118.8391288 34.1701453)",Crescent Way,,
508128521,False,primary,35 mph,False,143.838,"LINESTRING (-118.8392456 34.1715824, -118.8386108 34.1710957, -118.8381674 34.170763, -118.838094 34.1707075)",East Thousand Oaks Boulevard,,
"[508128521, 524006197]",False,primary,35 mph,True,152.007,"LINESTRING (-118.8392456 34.1715824, -118.8393403 34.1716522, -118.839433 34.171722, -118.8396561 34.1718967, -118.8398046 34.1720127, -118.8399282 34.1721041, -118.8401071 34.1722386, -118.840253 34.1723509, -118.840391 34.1724562, -118.8404606 34.1725087)",East Thousand Oaks Boulevard,,
10727792,False,residential,,False,121.717,"LINESTRING (-118.8391288 34.1701453, -118.8390714 34.1700737, -118.8389893 34.1699925, -118.8389332 34.1699426, -118.8383088 34.1694687, -118.8381796 34.1693885)",Crescent Way,,
10727792,False,residential,,True,166.77400000000003,"LINESTRING (-118.8391288 34.1701453, -118.8391579 34.1702209, -118.8392012 34.1704326, -118.8392812 34.1708162, -118.8393997 34.1713807, -118.8393926 34.171417, -118.8393737 34.1714537, -118.8393586 34.171473, -118.8392456 34.1715824)",Crescent Way,,
10741771,False,residential,,False,117.519,"LINESTRING (-118.8391288 34.1701453, -118.8389222 34.1701818, -118.8387229 34.1702398, -118.8386422 34.1702723, -118.8385979 34.1702908, -118.8384795 34.1703586, -118.8382455 34.1705642, -118.838205 34.1705998, -118.838094 34.1707075)",South Skyline Drive,,
10741771,False,residential,,True,112.35,"LINESTRING (-118.8391288 34.1701453, -118.8401884 34.1700002, -118.840333 34.1699775)",South Skyline Drive,,
10727792,False,residential,,False,141.966,"LINESTRING (-118.8381796 34.1693885, -118.8380989 34.1693616, -118.8368654 34.1692679, -118.8366489 34.1692514)",Crescent Way,,
10727792,False,residential,,True,121.71700000000001,"LINESTRING (-118.8381796 34.1693885, -118.8383088 34.1694687, -118.8389332 34.1699426, -118.8389893 34.1699925, -118.8390714 34.1700737, -118.8391288 34.1701453)",Crescent Way,,
10731247,False,residential,,False,118.148,"LINESTRING (-118.8381796 34.1693885, -118.8380937 34.1696468, -118.838022 34.1697973, -118.8379264 34.1699386, -118.8376538 34.1701948, -118.8375425 34.170286)",Fairview Road,,
10731247,False,residential,,True,118.965,"LINESTRING (-118.8381796 34.1693885, -118.838203 34.1693083, -118.8384579 34.1688873, -118.8386969 34.168505, -118.8387559 34.1684341)",Fairview Road,,
10727792,False,residential,,True,141.96599999999998,"LINESTRING (-118.8366489 34.1692514, -118.8368654 34.1692679, -118.8380989 34.1693616, -118.8381796 34.1693885)",Crescent Way,,
10728168,False,residential,,False,113.495,"LINESTRING (-118.8384694 34.1674036, -118.8384151 34.1673877, -118.8379708 34.1672842, -118.8373967 34.1671484, -118.8372935 34.1671022)",Royal Oaks Drive,,
10731243,False,residential,,True,20.542,"LINESTRING (-118.8384694 34.1674036, -118.8384889 34.1673667, -118.8385593 34.1672345)",Fairview Road,,
10731247,False,residential,,False,123.38800000000002,"LINESTRING (-118.8384694 34.1674036, -118.8387156 34.1677893, -118.8387572 34.1678813, -118.838828 34.1681304, -118.8388373 34.168248, -118.8388323 34.1683063, -118.838814 34.1683491, -118.8387559 34.1684341)",Fairview Road,,
508131059,True,primary,35 mph,False,62.222,"LINESTRING (-118.8372935 34.1671022, -118.837656 34.1666298)",Hampshire Road,,
10728168,False,residential,,True,113.495,"LINESTRING (-118.8372935 34.1671022, -118.8373967 34.1671484, -118.8379708 34.1672842, -118.8384151 34.1673877, -118.8384694 34.1674036)",Royal Oaks Drive,,
"[508131073, 522487033]",True,primary,35 mph,False,250.858,"LINESTRING (-118.8371606 34.1670389, -118.8370876 34.1671576, -118.837028 34.1672687, -118.8369075 34.1675086, -118.8365244 34.1683452, -118.836427 34.1685808, -118.8363644 34.1687184, -118.8363211 34.1688137, -118.8362832 34.1688806, -118.8362597 34.1689098, -118.836234 34.168942, -118.8361394 34.1690302, -118.8360811 34.1690984)",Hampshire Road,3,
10738311,False,residential,,True,161.882,"LINESTRING (-118.8409543 34.1720627, -118.8415802 34.1725511, -118.8417706 34.1726997, -118.8420134 34.1729536, -118.842129 34.1730428, -118.8421935 34.1730925)",Pleasant Way,,
381133457,False,residential,,False,67.295,"LINESTRING (-118.8409543 34.1720627, -118.8408827 34.1721253, -118.8407709 34.1722225, -118.8405665 34.1723991, -118.840557 34.1724087, -118.8404606 34.1725087)",Live Oak Street,,
"[381133457, 381133455]",False,residential,,"[False, True]",264.87899999999996,"LINESTRING (-118.8409543 34.1720627, -118.8412652 34.1717953, -118.8412798 34.171759, -118.8412454 34.1717105, -118.8411878 34.1716367, -118.8408192 34.1712262, -118.8407585 34.1711422, -118.8407032 34.1710487, -118.840664 34.1709818, -118.8405563 34.1706498, -118.8403706 34.170076, -118.840333 34.1699775)","['Live Oak Street', 'Los Robles Road']",,
10730341,False,residential,,True,229.01999999999998,"LINESTRING (-118.83465 34.1666501, -118.834966 34.166891, -118.8352241 34.1670844, -118.8356647 34.1674146, -118.8363954 34.1679622, -118.8364925 34.168035)",Los Robles Road,,
10733337,False,residential,,False,110.456,"LINESTRING (-118.83465 34.1666501, -118.8345094 34.1667803, -118.8343677 34.1669114, -118.8343195 34.1669561, -118.8341954 34.1670711, -118.8339232 34.1673137, -118.833907 34.1673301, -118.8338471 34.1673885)",Sunset Drive,,
10741771,False,residential,,False,112.35,"LINESTRING (-118.840333 34.1699775, -118.8401884 34.1700002, -118.8391288 34.1701453)",South Skyline Drive,,
10741771,False,residential,,True,144.956,"LINESTRING (-118.840333 34.1699775, -118.8404844 34.1699416, -118.8405311 34.169913, -118.8413573 34.1690192)",South Skyline Drive,,
381133455,False,residential,,False,88.843,"LINESTRING (-118.840333 34.1699775, -118.8402861 34.1698839, -118.8402183 34.1697663, -118.8401274 34.1696452, -118.840003 34.16951, -118.8397967 34.1693207)",Los Robles Road,,
