osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,access,bridge
769467675,False,2,SR 7442,Explorer Street,residential,False,109.758,,"LINESTRING (-77.360333 38.962093, -77.360349 38.961106)",,
1159550951,False,2,SR 6337,Bowman Towne Drive,tertiary,False,64.034,30 mph,"LINESTRING (-77.360333 38.962093, -77.361072 38.962055)",,
1159550951,False,2,SR 6337,Bowman Towne Drive,tertiary,True,111.928,30 mph,"LINESTRING (-77.360333 38.962093, -77.3597513 38.9621244, -77.359392 38.9621464, -77.3591057 38.9621626, -77.3590421 38.962168)",,
8832848,False,2,,Old Reston Avenue,tertiary,False,182.197,,"LINESTRING (-77.353027 38.9601653, -77.3530169 38.9600495, -77.3530454 38.9595307, -77.353039 38.959431, -77.353015 38.959273, -77.352974 38.959125, -77.352914 38.958976, -77.352841 38.958842, -77.352788 38.958761, -77.3526557 38.9585891)",,
117491732,False,,,Jonathan Way,residential,False,96.884,,"LINESTRING (-77.353027 38.9601653, -77.3530391 38.9603652, -77.3530444 38.9605534, -77.3530414 38.9606704, -77.3530277 38.9607327, -77.3529972 38.9607856, -77.3529299 38.9608381, -77.3527653 38.9609509)",,
"[915147209, 915147210]",True,"['4', '2']",SR 6363,Temporary Road,tertiary,False,107.212,30 mph,"LINESTRING (-77.353027 38.9601653, -77.3533228 38.960218, -77.3535427 38.9602295, -77.3541357 38.9602264, -77.3542584 38.960234)",,
117491732,False,,,Jonathan Way,residential,True,96.884,,"LINESTRING (-77.3527653 38.9609509, -77.3529299 38.9608381, -77.3529972 38.9607856, -77.3530277 38.9607327, -77.3530414 38.9606704, -77.3530444 38.9605534, -77.3530391 38.9603652, -77.353027 38.9601653)",,
8818880,False,,,Democracy Drive,residential,False,145.273,,"LINESTRING (-77.3586014 38.9578894, -77.3585211 38.9578887, -77.3571868 38.9578771, -77.3569214 38.9578748)",,
8818880,False,,,Democracy Drive,residential,True,154.61599999999999,,"LINESTRING (-77.3586014 38.9578894, -77.3587143 38.9578927, -77.360276 38.9579042, -77.3603894 38.9579056)",,
8828279,False,,,Library Street,residential,False,80.973,,"LINESTRING (-77.3586014 38.9578894, -77.358601 38.9578132, -77.3586012 38.9575404, -77.3586032 38.9572872, -77.358603 38.9571612)",,
8828279,False,,,Library Street,residential,True,95.85199999999999,,"LINESTRING (-77.3586014 38.9578894, -77.3586008 38.9579533, -77.358596 38.9586489, -77.3585955 38.9587514)",,
173537125,False,,,Discovery Street,residential,False,16.78,,"LINESTRING (-77.3569214 38.9578748, -77.3569202 38.9580257)",,
8818880,False,,,Democracy Drive,residential,True,145.273,,"LINESTRING (-77.3569214 38.9578748, -77.3571868 38.9578771, -77.3585211 38.9578887, -77.3586014 38.9578894)",,
173537125,False,,,Discovery Street,residential,True,48.727,,"LINESTRING (-77.3569214 38.9578748, -77.3569222 38.9575662, -77.3569219 38.9575248, -77.3569208 38.9574366)",,
8821352,False,,,Freedom Drive,residential,False,148.816,,"LINESTRING (-77.356891 38.959521, -77.3570287 38.9595194, -77.3571235 38.9595124, -77.3572607 38.9594833, -77.3573942 38.9594465, -77.3575144 38.9594215, -77.3576147 38.9594107, -77.3580587 38.9594076, -77.3584753 38.9594106, -77.3585933 38.959412)",,
