osmid,oneway,lanes,highway,reversed,length,geometry,ref,maxspeed,bridge
"[999007532, 18061735]",True,"['1', '2']",motorway_link,False,343.901,"LINESTRING (-93.1382952 44.8838791, -93.137966 44.884141, -93.137062 44.884769, -93.136885 44.884843, -93.136707 44.884918, -93.13654 44.884964, -93.136418 44.884968, -93.13623 44.884941, -93.136059 44.884879, -93.135919 44.884784, -93.13582 44.884667, -93.135772 44.884541, -93.13578 44.8838781)",,,
119408728,True,2,motorway,False,540.492,"LINESTRING (-93.1382952 44.8838791, -93.137536 44.884589, -93.136664 44.885231, -93.136586 44.885288, -93.136165 44.885536, -93.134119 44.886749, -93.133339 44.887213)",I 35E,55 mph,
1031945570,True,2,trunk,False,68.697,"LINESTRING (-93.1335804 44.8837085, -93.1327085 44.8837028)",MN 62,55 mph,
"[640423130, 35372287]",True,2,trunk,False,271.858,"LINESTRING (-93.141665 44.883647, -93.140106 44.883681, -93.139196 44.883694, -93.1388247 44.8836987, -93.1382155 44.8837063)",MN 62,55 mph,yes
"[18060976, 1034170901]",True,2,motorway_link,False,481.1640000000001,"LINESTRING (-93.141665 44.883647, -93.1416982 44.8835442, -93.14171 44.883377, -93.1417113 44.8831288, -93.141671 44.882756, -93.141596 44.882563, -93.14117 44.88183, -93.141059 44.881501, -93.141005 44.881164, -93.141005 44.880871, -93.141048 44.880578, -93.141397 44.87943)",,,
35372285,True,2,trunk,False,287.705,"LINESTRING (-93.1400189 44.8838565, -93.1436697 44.8837981)",MN 62,55 mph,
640423129,True,2,motorway_link,False,135.99,"LINESTRING (-93.1400189 44.8838565, -93.1410609 44.8837764, -93.1414589 44.8837618, -93.1415412 44.8837507, -93.1416375 44.8836903, -93.141665 44.883647)",,,
18060161,True,,motorway_link,False,672.782,"LINESTRING (-93.135944 44.885851, -93.136531 44.885553, -93.136587 44.885519, -93.138033 44.884642, -93.138631 44.884385, -93.139192 44.884209, -93.13978 44.884082, -93.140297 44.884014, -93.141808 44.883904, -93.1436697 44.8837981)",,,
999057395,True,2,motorway,False,354.893,"LINESTRING (-93.135944 44.885851, -93.136608 44.885441, -93.13666 44.885409, -93.137335 44.884927, -93.1379092 44.8844585, -93.138517 44.883881, -93.138688 44.883701, -93.1387585 44.883636, -93.1388323 44.8835699, -93.138935 44.88348)",I 35E,55 mph,
"[638728609, 1053938050]",True,"['3', '2']",trunk,False,191.737,"LINESTRING (-93.1382155 44.8837063, -93.1378378 44.8837124, -93.137542 44.8837137, -93.1359936 44.8837208, -93.135782 44.8837218)",MN 62,55 mph,
18060867,True,,motorway_link,False,17.569,"LINESTRING (-93.135644 44.883722, -93.135645 44.88388)",,,
1031945570,True,2,trunk,False,162.59,"LINESTRING (-93.135644 44.883722, -93.1335804 44.8837085)",MN 62,55 mph,
640423114,True,,motorway_link,False,17.381,"LINESTRING (-93.13578 44.8838781, -93.135782 44.8837218)",,,
"[640423113, 35372284, 35372285]",True,2,trunk,False,333.983,"LINESTRING (-93.13578 44.8838781, -93.138039 44.8838758, -93.1388161 44.883872, -93.1400189 44.8838565)",MN 62,55 mph,yes
1031945568,True,2,trunk,False,10.638,"LINESTRING (-93.135645 44.88388, -93.13578 44.8838781)",MN 62,55 mph,
1031945569,True,1,motorway_link,False,434.1580000000001,"LINESTRING (-93.135645 44.88388, -93.135648 44.884546, -93.135617 44.884866, -93.135514 44.885221, -93.135343 44.885564, -93.135276 44.885658, -93.135139 44.885847, -93.134674 44.886276, -93.133651 44.886956, -93.133339 44.887213)",,,
1031945571,True,2,trunk,False,10.873,"LINESTRING (-93.135782 44.8837218, -93.135644 44.883722)",MN 62,55 mph,
"[18061444, 35372286]",True,,motorway_link,False,600.655,"LINESTRING (-93.138935 44.88348, -93.139217 44.883272, -93.139982 44.882475, -93.140221 44.882348, -93.14051 44.882285, -93.140769 44.882294, -93.141012 44.882352, -93.141211 44.882451, -93.14137 44.882595, -93.14146 44.882757, -93.141483 44.882937, -93.14143 44.883117, -93.141315 44.88327, -93.141192 44.883364, -93.14103 44.883446, -93.140479 44.883581, -93.139344 44.883641, -93.1388605 44.883669, -93.1382155 44.8837063)",,,yes
975950363,True,2,motorway,False,491.943,"LINESTRING (-93.138935 44.88348, -93.139575 44.882709, -93.140266 44.8817, -93.140727 44.880867, -93.141397 44.87943)",I 35E,55 mph,
