osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge,lanes
132503937,Union Avenue North,residential,False,False,234.445,"LINESTRING (-74.300443 40.660296, -74.2987373 40.6619607)",,,,
132503937,Union Avenue North,residential,False,True,115.31,"LINESTRING (-74.300443 40.660296, -74.301316 40.659498)",,,,
11778789,Claremont Place,residential,False,False,144.146,"LINESTRING (-74.300443 40.660296, -74.3005977 40.6603293, -74.301821 40.661049)",,,,
11778790,Claremont Place,residential,False,True,139.455,"LINESTRING (-74.300443 40.660296, -74.3003443 40.6602805, -74.299135 40.659542)",,,,
11775210,Walnut Avenue,tertiary,False,True,62.342999999999996,"LINESTRING (-74.3044994 40.6545572, -74.3045155 40.6546238, -74.3045749 40.6548693, -74.3046154 40.6550367, -74.3046273 40.6551093)",25 mph,,,
11777406,South Avenue East,secondary,False,False,130.01300000000003,"LINESTRING (-74.3044994 40.6545572, -74.3043883 40.6545713, -74.3039736 40.6546227, -74.3038123 40.6546441, -74.3031027 40.6547339, -74.3030467 40.654741, -74.3029786 40.6547461)",35 mph,CR 610,,
"[132503936, 11777406, 247357678]",South Avenue East,secondary,False,False,219.81,"LINESTRING (-74.3029786 40.6547461, -74.3029191 40.6547516, -74.302881 40.6547569, -74.3022055 40.6548505, -74.3018757 40.6549041, -74.3017051 40.6549236, -74.3009519 40.6550202, -74.300505 40.6550723, -74.3004645 40.6550777, -74.3004119 40.6550846)",35 mph,CR 610,yes,
11777406,South Avenue East,secondary,False,True,130.013,"LINESTRING (-74.3029786 40.6547461, -74.3030467 40.654741, -74.3031027 40.6547339, -74.3038123 40.6546441, -74.3039736 40.6546227, -74.3043883 40.6545713, -74.3044994 40.6545572)",35 mph,CR 610,,
132503937,Union Avenue North,residential,False,True,85.855,"LINESTRING (-74.298199 40.662616, -74.2987373 40.6619607)",,,,
439832396,Elizabeth Avenue,residential,False,False,68.421,"LINESTRING (-74.2945932 40.6605676, -74.2953348 40.6608169)",25 mph,,,2
439832396,Elizabeth Avenue,residential,False,True,73.062,"LINESTRING (-74.2945932 40.6605676, -74.2938013 40.6603014)",25 mph,,,2
11776628,Hamilton Avenue,residential,False,True,132.193,"LINESTRING (-74.2938013 40.6603014, -74.294973 40.6595119)",,,,
439832396,Elizabeth Avenue,residential,False,False,73.062,"LINESTRING (-74.2938013 40.6603014, -74.2945932 40.6605676)",25 mph,,,2
11778880,Madison Avenue,residential,False,True,260.217,"LINESTRING (-74.2953348 40.6608169, -74.297676 40.659293)",,,,
439832396,Elizabeth Avenue,residential,False,False,92.595,"LINESTRING (-74.2953348 40.6608169, -74.2963384 40.6611543)",25 mph,,,2
439832396,Elizabeth Avenue,residential,False,True,68.421,"LINESTRING (-74.2953348 40.6608169, -74.2945932 40.6605676)",25 mph,,,2
439832396,Elizabeth Avenue,residential,False,False,80.674,"LINESTRING (-74.2963384 40.6611543, -74.2972133 40.6614474)",25 mph,,,2
439832396,Elizabeth Avenue,residential,False,True,92.595,"LINESTRING (-74.2963384 40.6611543, -74.2953348 40.6608169)",25 mph,,,2
439832396,Elizabeth Avenue,residential,False,False,106.367,"LINESTRING (-74.2972133 40.6614474, -74.2983657 40.6618358)",25 mph,,,2
439832396,Elizabeth Avenue,residential,False,True,80.674,"LINESTRING (-74.2972133 40.6614474, -74.2963384 40.6611543)",25 mph,,,2
723589579,Cranford Avenue,residential,False,True,202.749,"LINESTRING (-74.2972133 40.6614474, -74.2972582 40.6613618, -74.298215 40.6604336, -74.298664 40.659998)",,,,
439832396,Elizabeth Avenue,residential,False,True,106.367,"LINESTRING (-74.2983657 40.6618358, -74.2972133 40.6614474)",25 mph,,,2
1076677029,Elizabeth Avenue,residential,False,False,34.283,"LINESTRING (-74.2983657 40.6618358, -74.2987373 40.6619607)",25 mph,,,2
132503937,Union Avenue North,residential,False,False,85.855,"LINESTRING (-74.2987373 40.6619607, -74.298199 40.662616)",,,,
132503937,Union Avenue North,residential,False,True,234.445,"LINESTRING (-74.2987373 40.6619607, -74.300443 40.660296)",,,,
1076677029,Elizabeth Avenue,residential,False,True,34.283,"LINESTRING (-74.2987373 40.6619607, -74.2983657 40.6618358)",25 mph,,,2
11780718,Linden Place,residential,False,False,145.04299999999998,"LINESTRING (-74.2987373 40.6619607, -74.2994486 40.6622053, -74.300207 40.662607, -74.300217 40.662614)",25 mph,,,2
11776628,Hamilton Avenue,residential,False,False,110.682,"LINESTRING (-74.298671 40.657199, -74.297653 40.657827)",,,,
11781994,Forest Avenue,residential,False,True,195.173,"LINESTRING (-74.298671 40.657199, -74.2987016 40.6572256, -74.298879 40.6573797, -74.300193 40.658521)",,,,
1076677030,Forest Avenue,residential,False,False,34.712,"LINESTRING (-74.298671 40.657199, -74.2985011 40.6570465, -74.2984634 40.6569377)",,,,
11776628,Hamilton Avenue,residential,False,True,110.682,"LINESTRING (-74.297653 40.657827, -74.298671 40.657199)",,,,
11779522,Sylvester Street,residential,False,False,219.595,"LINESTRING (-74.297653 40.657827, -74.299387 40.6593)",,,,
11776628,Hamilton Avenue,residential,False,False,103.43299999999999,"LINESTRING (-74.297653 40.657827, -74.2975305 40.657899, -74.2974255 40.6579608, -74.296684 40.658397)",,,,
11776628,Hamilton Avenue,residential,False,False,190.26399999999998,"LINESTRING (-74.296684 40.658397, -74.296659 40.658412, -74.294973 40.6595119)",,,,
11776628,Hamilton Avenue,residential,False,True,103.43299999999999,"LINESTRING (-74.296684 40.658397, -74.2974255 40.6579608, -74.2975305 40.657899, -74.297653 40.657827)",,,,
11779571,Arlington Road,residential,False,False,133.15800000000002,"LINESTRING (-74.296684 40.658397, -74.2963776 40.6572979, -74.2963574 40.6572254)",,,,
11779571,Arlington Road,residential,False,True,133.83999999999997,"LINESTRING (-74.296684 40.658397, -74.296725 40.65859, -74.296859 40.65871, -74.297676 40.659293)",,,,
11776628,Hamilton Avenue,residential,False,False,132.193,"LINESTRING (-74.294973 40.6595119, -74.2938013 40.6603014)",,,,
11776628,Hamilton Avenue,residential,False,True,190.26399999999998,"LINESTRING (-74.294973 40.6595119, -74.296659 40.658412, -74.296684 40.658397)",,,,
11776632,Union Avenue North,tertiary,False,False,164.921,"LINESTRING (-74.303553 40.656525, -74.3030201 40.6570815, -74.3029806 40.6571228, -74.302404 40.657725)",,,,
11784830,North Union Avenue,tertiary,False,False,107.765,"LINESTRING (-74.303553 40.656525, -74.3042008 40.6558467, -74.304304 40.655741)",,,,
11785273,Alden Street,residential,False,False,148.929,"LINESTRING (-74.303553 40.656525, -74.3036291 40.6565693, -74.3043389 40.6569819, -74.3048796 40.6572982, -74.3049529 40.6573411)",,,,
11785273,Alden Street,residential,False,True,60.378,"LINESTRING (-74.303553 40.656525, -74.303045 40.6562324, -74.3029822 40.6561974)",,,,
