osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes
15886975,3rd Street Northwest,residential,False,False,50.727,"LINESTRING (-91.1271983 42.4849938, -91.12718 42.4845378)",,
57739309,1st Avenue East,residential,False,False,105.037,"LINESTRING (-91.1203094 42.4846177, -91.1190289 42.4846416)",,
1000615674,1st Avenue East,residential,False,True,100.652,"LINESTRING (-91.1203094 42.4846177, -91.1215365 42.4845965)",,
15881021,4th Street Northeast,residential,False,False,99.112,"LINESTRING (-91.1203094 42.4846177, -91.1203261 42.4850665, -91.1203426 42.4855087)",,
57739339,4th Street Southeast,residential,False,True,101.488,"LINESTRING (-91.1203094 42.4846177, -91.1203083 42.4841663, -91.1203072 42.483705)",,
15882699,2nd Avenue Northeast,residential,False,True,101.074,"LINESTRING (-91.1203426 42.4855087, -91.1215751 42.4854969)",,
15881021,4th Street Northeast,residential,False,True,99.112,"LINESTRING (-91.1203426 42.4855087, -91.1203261 42.4850665, -91.1203094 42.4846177)",,
"[15882699, 15884435]","['5th Street Northeast', '2nd Avenue Northeast']",residential,False,"[False, True]",193.641,"LINESTRING (-91.1203426 42.4855087, -91.1195028 42.4855225, -91.1193171 42.4855156, -91.1192357 42.4855005, -91.1191345 42.4854528, -91.1190871 42.4854236, -91.119048 42.485365, -91.1190405 42.4850799, -91.1190289 42.4846416)",,
15881540,1st Avenue West,secondary,False,True,115.58,"LINESTRING (-91.1243521 42.4845849, -91.1244354 42.4845837, -91.1257613 42.4845642)",,
15887011,1st Street Southwest,residential,False,True,102.001,"LINESTRING (-91.1243521 42.4845849, -91.124349 42.4841229, -91.1243459 42.4836676)",,
"[57739355, 164077092, 164077087]",1st Avenue East,secondary,False,False,128.013,"LINESTRING (-91.1243521 42.4845849, -91.1242403 42.4845865, -91.1237007 42.4845903, -91.1236297 42.4845897, -91.1227911 42.4845959)",yes,
1000615674,1st Avenue East,residential,False,False,102.879,"LINESTRING (-91.1227911 42.4845959, -91.1215365 42.4845965)",,
15886391,2nd Street Northeast,residential,False,False,99.89500000000001,"LINESTRING (-91.1227911 42.4845959, -91.1227992 42.4850406, -91.1228021 42.4851992, -91.1228074 42.4854942)",,
57739300,2nd Street Southeast,secondary,False,True,101.297,"LINESTRING (-91.1227911 42.4845959, -91.1227828 42.484141, -91.1227744 42.483685)",,
"[57739355, 164077092, 164077087]",1st Avenue East,secondary,False,True,128.01299999999998,"LINESTRING (-91.1227911 42.4845959, -91.1236297 42.4845897, -91.1237007 42.4845903, -91.1242403 42.4845865, -91.1243521 42.4845849)",yes,
1000615674,1st Avenue East,residential,False,False,100.652,"LINESTRING (-91.1215365 42.4845965, -91.1203094 42.4846177)",,
1000615674,1st Avenue East,residential,False,True,102.879,"LINESTRING (-91.1215365 42.4845965, -91.1227911 42.4845959)",,
15881920,3rd Street Southeast,residential,False,True,99.961,"LINESTRING (-91.1215365 42.4845965, -91.1215442 42.4841537, -91.1215521 42.4836976)",,
15886760,3rd Street Northeast,residential,False,False,100.17,"LINESTRING (-91.1215365 42.4845965, -91.1215561 42.4850536, -91.1215751 42.4854969)",,
57739309,1st Avenue East,residential,False,True,105.037,"LINESTRING (-91.1190289 42.4846416, -91.1203094 42.4846177)",,
"[15884435, 15882699]","['5th Street Northeast', '2nd Avenue Northeast']",residential,False,"[False, True]",193.64100000000002,"LINESTRING (-91.1190289 42.4846416, -91.1190405 42.4850799, -91.119048 42.485365, -91.1190871 42.4854236, -91.1191345 42.4854528, -91.1192357 42.4855005, -91.1193171 42.4855156, -91.1195028 42.4855225, -91.1203426 42.4855087)",,
15885795,5th Street Southeast,residential,False,True,103.518,"LINESTRING (-91.1190289 42.4846416, -91.1190628 42.4841791, -91.119097 42.483712)",,
57739309,1st Avenue East,residential,False,False,94.86399999999999,"LINESTRING (-91.1190289 42.4846416, -91.1178979 42.4846288, -91.1178722 42.4846294)",,
