osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry
12985622,Adams Street,residential,False,False,116.977,,,,"LINESTRING (-98.775637 38.364364, -98.775637 38.365416)"
12985622,Adams Street,residential,False,True,122.762,,,,"LINESTRING (-98.775637 38.364364, -98.775627 38.36326)"
12984834,Lakin Avenue,residential,False,False,115.085,,,,"LINESTRING (-98.780932 38.364332, -98.782252 38.364332)"
12984834,Lakin Avenue,residential,False,True,115.264,,,,"LINESTRING (-98.780932 38.364332, -98.77961 38.364341)"
12985721,Jackson Street,residential,False,False,117.205,,,,"LINESTRING (-98.780932 38.364332, -98.780945 38.365386)"
12985721,Jackson Street,residential,False,True,121.541,,,,"LINESTRING (-98.780932 38.364332, -98.78092 38.363239)"
12984834,Lakin Avenue,residential,False,False,115.876,,,,"LINESTRING (-98.783585 38.364324, -98.784914 38.364313)"
12984834,Lakin Avenue,residential,False,True,116.222,,,,"LINESTRING (-98.783585 38.364324, -98.782252 38.364332)"
12984991,Harrison Street,tertiary,False,False,117.089,,,,"LINESTRING (-98.783585 38.364324, -98.78359 38.365377)"
12984991,Harrison Street,tertiary,False,True,121.761,,,,"LINESTRING (-98.783585 38.364324, -98.783576 38.363229)"
1160605373,Harrison Street,residential,False,False,47.046,,,,"LINESTRING (-98.78363 38.361385, -98.783612 38.3616159, -98.7835562 38.3618026)"
"[1160605457, 1160605373]",Harrison Street,residential,False,True,365.328,,,,"LINESTRING (-98.78363 38.361385, -98.7836347 38.3612438, -98.7836412 38.3610516, -98.7836474 38.3608655, -98.783656 38.3606096, -98.7837056 38.3596698, -98.7837368 38.3595112, -98.7836605 38.3591873, -98.7836163 38.3585128, -98.7835801 38.3583789, -98.7834889 38.3582485, -98.7833836 38.3581637)"
12984991,Harrison Street,tertiary,False,False,116.978,,,,"LINESTRING (-98.78359 38.365377, -98.783596 38.366429)"
12984991,Harrison Street,tertiary,False,True,117.089,,,,"LINESTRING (-98.78359 38.365377, -98.783585 38.364324)"
12985659,Forest Avenue,residential,False,False,116.132,,,,"LINESTRING (-98.78359 38.365377, -98.784922 38.365371)"
12985659,Forest Avenue,residential,False,True,230.605,,,,"LINESTRING (-98.78359 38.365377, -98.780945 38.365386)"
"[12985361, 12983697]","['Madison Street', '7th Street']",residential,False,False,537.8149999999999,,,,"LINESTRING (-98.7833836 38.3581637, -98.7832394 38.3581202, -98.7831 38.3581076, -98.782022 38.3581115, -98.7814077 38.3581124, -98.778905 38.358116, -98.778588 38.358116, -98.778485 38.358193, -98.778465 38.3582659, -98.778459 38.358323, -98.7783418 38.35843, -98.778252 38.358515, -98.778225 38.358554, -98.778241 38.359082)"
