osmid,oneway,highway,reversed,length,bridge,geometry,ref,name,lanes
"[59433313, 59433306, 59433307, 59433314]",False,primary_link,"[False, True]",279.04900000000004,yes,"LINESTRING (-87.8152109 41.7752672, -87.8150952 41.7752323, -87.815058 41.7752212, -87.8149802 41.7752072, -87.8149226 41.7752062, -87.814873 41.7752232, -87.8148408 41.7752532, -87.8145712 41.7757503, -87.8145672 41.7757893, -87.8145752 41.7758323, -87.8146131 41.7758955, -87.8146409 41.7759203, -87.8146691 41.7759373, -87.8148314 41.7760133, -87.8150422 41.7761093, -87.8155422 41.7755732, -87.8155784 41.7755272, -87.8155945 41.7754912, -87.8155918 41.7754572, -87.8155797 41.7754302, -87.8155462 41.7753982, -87.8154832 41.7753652, -87.8153883 41.7753311, -87.8152109 41.7752672)",,,
"[59433313, 59433314, 59433307, 59433306]",False,primary_link,"[False, True]",279.049,yes,"LINESTRING (-87.8152109 41.7752672, -87.8153883 41.7753311, -87.8154832 41.7753652, -87.8155462 41.7753982, -87.8155797 41.7754302, -87.8155918 41.7754572, -87.8155945 41.7754912, -87.8155784 41.7755272, -87.8155422 41.7755732, -87.8150422 41.7761093, -87.8148314 41.7760133, -87.8146691 41.7759373, -87.8146409 41.7759203, -87.8146131 41.7758955, -87.8145752 41.7758323, -87.8145672 41.7757893, -87.8145712 41.7757503, -87.8148408 41.7752532, -87.814873 41.7752232, -87.8149226 41.7752062, -87.8149802 41.7752072, -87.815058 41.7752212, -87.8150952 41.7752323, -87.8152109 41.7752672)",,,
"[435536000, 435536010, 58740404, 59433878]",False,primary,False,197.949,yes,"LINESTRING (-87.8152109 41.7752672, -87.8153361 41.7750989, -87.8153753 41.775043, -87.8157889 41.7744531, -87.8159605 41.7742131, -87.8160723 41.7740389, -87.816306 41.7736857)",IL 171,South Archer Avenue,5
"[435536000, 435536010, 58740404, 59433878]",False,primary,True,197.949,yes,"LINESTRING (-87.816306 41.7736857, -87.8160723 41.7740389, -87.8159605 41.7742131, -87.8157889 41.7744531, -87.8153753 41.775043, -87.8153361 41.7750989, -87.8152109 41.7752672)",IL 171,South Archer Avenue,5
"[435536002, 435536003, 435536005]",False,primary,False,101.708,,"LINESTRING (-87.816306 41.7736857, -87.8163494 41.7736192, -87.8164151 41.7735187, -87.8165163 41.7733638, -87.8166697 41.7731369, -87.8168523 41.7728668)",IL 171,South Archer Avenue,5
24109792,False,residential,False,90.955,,"LINESTRING (-87.8153032 41.7726934, -87.8153011 41.7726164, -87.8152921 41.7722882, -87.8152828 41.7719527, -87.8152806 41.7718756)",,78th Avenue,
435536086,False,primary,False,103.998,,"LINESTRING (-87.8168523 41.7728668, -87.8174062 41.7720277)",IL 171,South Archer Avenue,
"[435536002, 435536003, 435536005]",False,primary,True,101.70800000000001,,"LINESTRING (-87.8168523 41.7728668, -87.8166697 41.7731369, -87.8165163 41.7733638, -87.8164151 41.7735187, -87.8163494 41.7736192, -87.816306 41.7736857)",IL 171,South Archer Avenue,5
"[552392131, 43268925]",True,residential,False,133.339,,"LINESTRING (-87.8168523 41.7728668, -87.8166945 41.7728125, -87.8162787 41.7726692, -87.8153032 41.7726934)",,65th Place,
24109792,False,residential,True,90.95499999999998,,"LINESTRING (-87.8152806 41.7718756, -87.8152828 41.7719527, -87.8152921 41.7722882, -87.8153011 41.7726164, -87.8153032 41.7726934)",,78th Avenue,
24111755,True,residential,False,180.62900000000002,,"LINESTRING (-87.8152806 41.7718756, -87.8168173 41.7718396, -87.8172381 41.7719741, -87.8174062 41.7720277)",,66th Street,
435536086,False,primary,True,103.998,,"LINESTRING (-87.8174062 41.7720277, -87.8168523 41.7728668)",IL 171,South Archer Avenue,
