osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge
10793204,Northwest 95th Terrace,residential,25 mph,False,False,19.764,,,"LINESTRING (-80.2777681 26.1683664, -80.2777558 26.1685438)",
1148129705,Northwest 95th Terrace,residential,25 mph,False,True,159.139,,,"LINESTRING (-80.2777681 26.1683664, -80.2777438 26.1669354)",
"[1148129706, 1148129707, 1071946764]",West Oakland Park Boulevard,primary,45 mph,True,False,221.102,"['4', '3', '5']",CR 816,"LINESTRING (-80.2777681 26.1683664, -80.2773383 26.1683671, -80.2765818 26.1683683, -80.27642 26.1683686, -80.2755526 26.16837)",
10800847,Northwest 94th Avenue,residential,25 mph,False,True,66.173,,,"LINESTRING (-80.2755526 26.16837, -80.2755554 26.1677749)",
154399400,Northwest 94th Avenue,tertiary,,False,True,19.616,2,,"LINESTRING (-80.2755526 26.16837, -80.2755429 26.1685462)",
10783017,Northwest 32nd Manor,residential,25 mph,False,False,78.244,,,"LINESTRING (-80.277727 26.1664864, -80.2785106 26.1664635)",
1148129705,Northwest 95th Terrace,residential,25 mph,False,False,49.955,,,"LINESTRING (-80.277727 26.1664864, -80.2777438 26.1669354)",
1148129705,Northwest 95th Terrace,residential,25 mph,False,True,78.077,,,"LINESTRING (-80.277727 26.1664864, -80.2777102 26.1657844)",
10783017,Northwest 32nd Manor,residential,25 mph,False,True,78.244,,,"LINESTRING (-80.2785106 26.1664635, -80.277727 26.1664864)",
"[10783017, 10791490, 10809671, 10800169]","['Northwest 96th Avenue', 'Northwest 33rd Manor', 'Northwest 32nd Manor', 'Northwest 96th Way']",residential,25 mph,False,"[False, True]",431.15,,,"LINESTRING (-80.2785106 26.1664635, -80.2791157 26.1664441, -80.2792069 26.1664729, -80.2792605 26.1665596, -80.2793142 26.1675948, -80.279282 26.167744, -80.2791908 26.1677681, -80.2786597 26.1677922, -80.2785417 26.167744, -80.2785106 26.1664635)",
"[10800169, 10791490, 10783017, 10809671]","['Northwest 33rd Manor', 'Northwest 96th Avenue', 'Northwest 96th Way', 'Northwest 32nd Manor']",residential,25 mph,False,"[False, True]",431.15,,,"LINESTRING (-80.2785106 26.1664635, -80.2785417 26.167744, -80.2786597 26.1677922, -80.2791908 26.1677681, -80.279282 26.167744, -80.2793142 26.1675948, -80.2792605 26.1665596, -80.2792069 26.1664729, -80.2791157 26.1664441, -80.2785106 26.1664635)",
10806085,Northwest 98th Avenue,residential,25 mph,False,True,127.596,,,"LINESTRING (-80.2821762 26.1661375, -80.282176 26.1660562, -80.2821734 26.16499)",
892543429,Northwest 32nd Manor,residential,25 mph,False,False,75.893,,,"LINESTRING (-80.2821762 26.1661375, -80.2817511 26.1661677, -80.2817135 26.1661651, -80.2814181 26.1661443)",
892543429,Northwest 32nd Manor,residential,25 mph,False,True,159.247,,,"LINESTRING (-80.2821762 26.1661375, -80.2823509 26.1661025, -80.2828422 26.166004, -80.2832418 26.1658902, -80.2836511 26.1657736, -80.2837127 26.1657561)",
"[10806408, 10797684]","['Northwest 31st Place', 'Northwest 97th Way']",residential,25 mph,False,True,205.868,,,"LINESTRING (-80.2814181 26.1661443, -80.2814176 26.1660822, -80.2814093 26.1649788, -80.2821734 26.16499)",
892543429,Northwest 32nd Manor,residential,25 mph,False,False,86.74000000000001,,,"LINESTRING (-80.2814181 26.1661443, -80.2806218 26.1660917, -80.2805513 26.166087)",
892543429,Northwest 32nd Manor,residential,25 mph,False,True,75.893,,,"LINESTRING (-80.2814181 26.1661443, -80.2817135 26.1661651, -80.2817511 26.1661677, -80.2821762 26.1661375)",
"[10794764, 10806406]","['Northwest 97th Avenue', 'Northwest 31st Place']",residential,25 mph,False,False,392.888,,,"LINESTRING (-80.2805513 26.166087, -80.280548 26.1654619, -80.2805265 26.1652259, -80.2804701 26.1650649, -80.28037 26.165019, -80.2776941 26.1650382)",
10794764,Northwest 97th Avenue,residential,25 mph,False,True,78.97,,,"LINESTRING (-80.2805513 26.166087, -80.2805459 26.1661725, -80.2805228 26.1665421, -80.2805334 26.1666311, -80.2805816 26.1667902)",
892543429,Northwest 32nd Manor,residential,25 mph,False,True,86.74000000000001,,,"LINESTRING (-80.2805513 26.166087, -80.2806218 26.1660917, -80.2814181 26.1661443)",
"[10802832, 10784458]","['Northwest 97th Terrace', 'Northwest 33rd Street']",residential,25 mph,False,"[False, True]",146.46699999999998,,,"LINESTRING (-80.2805816 26.1667902, -80.2813312 26.166834, -80.2814277 26.1669159, -80.2817121 26.1673733)",
