osmid,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry
"[11656267, 166666349, 62197951]",Behmer Road,tertiary,30 mph,False,False,291.501,yes,2,"LINESTRING (-74.462931 40.54815, -74.463717 40.547442, -74.4637762 40.5473979, -74.4638408 40.5473631, -74.4638961 40.5473413, -74.4639712 40.5473199, -74.4641065 40.5472916, -74.4642401 40.5472692, -74.4646511 40.5471889, -74.464917 40.547137, -74.4652 40.547048, -74.4657145 40.5468579, -74.4657792 40.546834)"
11674498,South Randolphville Road,tertiary,40 mph,False,False,128.672,,,"LINESTRING (-74.462931 40.54815, -74.462792 40.548048, -74.4618346 40.5473469)"
48063706,South Randolphville Road,tertiary,,False,True,241.847,,,"LINESTRING (-74.462931 40.54815, -74.462428 40.5486028, -74.462157 40.548848, -74.4616227 40.5494622, -74.461241 40.549901)"
11660886,New England Avenue,residential,,False,True,15.042,,,"LINESTRING (-74.4687166 40.5494894, -74.4686594 40.5496175)"
"[1103423840, 1072588749, 1079689622]",Centennial Avenue,secondary,45 mph,True,False,614.3610000000001,,"['3', '2']","LINESTRING (-74.4687166 40.5494894, -74.4674989 40.5493794, -74.4670429 40.5493549, -74.4665816 40.5493508, -74.4661095 40.5494038, -74.4656643 40.5494894, -74.4629556 40.5501846, -74.4619945 40.5504313, -74.4616945 40.5505083)"
48063706,South Randolphville Road,tertiary,,False,False,241.847,,,"LINESTRING (-74.461241 40.549901, -74.4616227 40.5494622, -74.462157 40.548848, -74.462428 40.5486028, -74.462931 40.54815)"
"[1078492354, 48063730]",South Randolphville Road,tertiary,,True,False,99.087,,"['1', '2']","LINESTRING (-74.461241 40.549901, -74.4610352 40.5501885, -74.460949 40.5503372, -74.4608792 40.5505207, -74.4608363 40.5507285)"
11674498,South Randolphville Road,tertiary,40 mph,False,True,164.45999999999998,,,"LINESTRING (-74.4604527 40.5463055, -74.461081 40.546792, -74.4618346 40.5473469)"
11677992,Whispering Pines Way,residential,,False,True,247.18699999999998,,,"LINESTRING (-74.4604527 40.5463055, -74.4606958 40.5461261, -74.4609118 40.5460746, -74.4611344 40.546117, -74.4620617 40.5468276, -74.4621577 40.546956, -74.4620972 40.5471035, -74.4620061 40.5472114, -74.4618346 40.5473469)"
11675643,Sidney Road,tertiary,35 mph,False,False,558.3799999999999,,,"LINESTRING (-74.4657792 40.546834, -74.4655993 40.5464422, -74.4655277 40.5462862, -74.4646373 40.544347, -74.4643926 40.5437987, -74.464133 40.543217, -74.464108 40.54309, -74.464133 40.542971, -74.4646216 40.5421015)"
"[11656267, 166666349, 62197951]",Behmer Road,tertiary,30 mph,False,True,291.501,yes,2,"LINESTRING (-74.4657792 40.546834, -74.4657145 40.5468579, -74.4652 40.547048, -74.464917 40.547137, -74.4646511 40.5471889, -74.4642401 40.5472692, -74.4641065 40.5472916, -74.4639712 40.5473199, -74.4638961 40.5473413, -74.4638408 40.5473631, -74.4637762 40.5473979, -74.463717 40.547442, -74.462931 40.54815)"
11674498,South Randolphville Road,tertiary,40 mph,False,False,164.45999999999998,,,"LINESTRING (-74.4618346 40.5473469, -74.461081 40.546792, -74.4604527 40.5463055)"
11677992,Whispering Pines Way,residential,,False,False,247.18699999999998,,,"LINESTRING (-74.4618346 40.5473469, -74.4620061 40.5472114, -74.4620972 40.5471035, -74.4621577 40.546956, -74.4620617 40.5468276, -74.4611344 40.546117, -74.4609118 40.5460746, -74.4606958 40.5461261, -74.4604527 40.5463055)"
11674498,South Randolphville Road,tertiary,40 mph,False,True,128.672,,,"LINESTRING (-74.4618346 40.5473469, -74.462792 40.548048, -74.462931 40.54815)"
11660886,New England Avenue,residential,,False,False,15.042,,,"LINESTRING (-74.4686594 40.5496175, -74.4687166 40.5494894)"
473913460,Centennial Avenue,secondary,45 mph,True,False,9.31,,,"LINESTRING (-74.4609407 40.5507017, -74.4608363 40.5507285)"
473913461,South Randolphville Road,tertiary,,True,False,57.535000000000004,,,"LINESTRING (-74.4609407 40.5507017, -74.4610402 40.5504147, -74.4611206 40.5502027)"
473913461,South Randolphville Road,tertiary,,True,False,35.056,,,"LINESTRING (-74.4611206 40.5502027, -74.461241 40.549901)"
1079689621,Centennial Avenue,secondary,45 mph,True,False,67.221,,3,"LINESTRING (-74.4616945 40.5505083, -74.4609407 40.5507017)"
48063812,,secondary_link,,True,False,68.436,,,"LINESTRING (-74.4616945 40.5505083, -74.4614103 40.5505125, -74.4612869 40.5504595, -74.4611796 40.5503576, -74.4611528 40.5502842, -74.4611206 40.5502027)"
11675643,Sidney Road,tertiary,35 mph,False,True,558.3800000000001,,,"LINESTRING (-74.4646216 40.5421015, -74.464133 40.542971, -74.464108 40.54309, -74.464133 40.543217, -74.4643926 40.5437987, -74.4646373 40.544347, -74.4655277 40.5462862, -74.4655993 40.5464422, -74.4657792 40.546834)"
