osmid,bridge,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,ref,tunnel
598794675,yes,True,3,motorway_link,False,63.955,"LINESTRING (-95.371277 29.7626129, -95.37075 29.7629615)",,,,
"[15304939, 103371667, 894826486]",yes,True,"['1', '2']",motorway_link,False,343.494,"LINESTRING (-95.3699047 29.7610519, -95.3702138 29.7611716, -95.370402 29.7612097, -95.3706884 29.7612374, -95.371211 29.7612852, -95.3714603 29.7613362, -95.371628 29.7614, -95.3716718 29.7614293, -95.371776 29.761499, -95.371865 29.761597, -95.371911 29.761693, -95.371933 29.761796, -95.371928 29.761929, -95.371909 29.761982, -95.371882 29.762059, -95.371819 29.762175, -95.3717282 29.7622891, -95.371277 29.7626129)",,,,
"[1040471001, 539731323]",,True,3,secondary,False,140.90800000000002,"LINESTRING (-95.3699047 29.7610519, -95.370225 29.761274, -95.370471 29.761396, -95.3705773 29.7614322, -95.370741 29.761488, -95.3710066 29.7615318, -95.3712127 29.7615333)",Allen Parkway,30 mph,,
"[28761201, 103371765, 54044478]",yes,True,2,motorway_link,False,492.4340000000001,"LINESTRING (-95.3705106 29.7633705, -95.371023 29.7630644, -95.3714527 29.7628042, -95.3718047 29.7625507, -95.3719662 29.7623716, -95.3720449 29.7622305, -95.3721136 29.7619399, -95.3720964 29.7618207, -95.3720566 29.761664, -95.37199 29.7615222, -95.3718805 29.7613783, -95.3717873 29.7612709, -95.3716388 29.7611341, -95.3714801 29.7610177, -95.3713533 29.7609266, -95.3708688 29.760604, -95.3703598 29.7602377)",,,,
123183225,yes,True,3,motorway,False,220.52800000000002,"LINESTRING (-95.3705106 29.7633705, -95.3711091 29.7630936, -95.371994 29.762677, -95.372302 29.7625149, -95.3725023 29.7624008)",Gulf Freeway,60 mph,I 45,
15428002,,True,3,secondary,False,67.315,"LINESTRING (-95.3726005 29.7571641, -95.3724643 29.756974, -95.3723184 29.756828, -95.3722198 29.7567474, -95.3721564 29.7567031)",Clay Street,30 mph,,
"[821893240, 44632299, 598794598]",,False,3,tertiary,True,129.26,"LINESTRING (-95.3687393 29.7617589, -95.3687895 29.7617098, -95.3688365 29.7616634, -95.3688771 29.76163, -95.369003 29.7614994, -95.3691796 29.761299, -95.3692757 29.7611858, -95.3693345 29.7611073, -95.3694725 29.7609056, -95.3695274 29.7608234)",Bagby Street,30 mph,,
"[1083458618, 98243725, 559271734]",,True,"['4', '3']",tertiary,False,204.577,"LINESTRING (-95.3687393 29.7617589, -95.3686669 29.761682, -95.3686306 29.7616343, -95.368439 29.761383, -95.3681048 29.7611129, -95.3680381 29.761059, -95.3679728 29.7610176, -95.3672825 29.7605978, -95.3671838 29.7605378)",Rusk Street,30 mph,,
1046098695,,False,5,tertiary,False,51.813,"LINESTRING (-95.3687393 29.7617589, -95.3686903 29.7618073, -95.3686637 29.7618362, -95.3684951 29.7620191, -95.3684548 29.7620621, -95.3684324 29.7620902, -95.3684122 29.7621269)",Bagby Street,30 mph,,
597602713,,True,4,tertiary,False,99.12899999999999,"LINESTRING (-95.3671838 29.7605378, -95.3670985 29.7604862, -95.3664391 29.7600874, -95.3663412 29.7600282)",Rusk Street,30 mph,,
