osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,maxspeed,bridge,access,tunnel
440541301,2,Chapel Street,residential,12.2,False,False,88.254,"LINESTRING (-71.3072204 42.6384592, -71.30758 42.6392075)",,,,,
440541301,2,Chapel Street,residential,12.2,False,True,12.116,"LINESTRING (-71.3072204 42.6384592, -71.3071713 42.6383564)",,,,,
8890429,1,Court Avenue,residential,3.0,False,True,76.645,"LINESTRING (-71.3072204 42.6384592, -71.30773 42.638326, -71.3081161 42.6382607)",,,,,
8889018,2,Middlesex Street,secondary,16.8,False,False,36.416,"LINESTRING (-71.3112539 42.6410959, -71.3115128 42.6410154, -71.311586 42.6409932, -71.311663 42.6409668)",MA 110,,,,
8889018,2,Middlesex Street,secondary,16.8,False,True,34.081,"LINESTRING (-71.3112539 42.6410959, -71.3111342 42.6411302, -71.3108665 42.6412087)",MA 110,,,,
8890463,2,Marsdon Street,residential,9.1,False,False,75.813,"LINESTRING (-71.3112539 42.6410959, -71.3112875 42.6411594, -71.3113072 42.6411933, -71.3115606 42.6416295, -71.3115762 42.6416563, -71.311623 42.641721)",,,,,
8890821,2,Howe Street,residential,10.7,False,True,67.82900000000001,"LINESTRING (-71.303503 42.6446284, -71.303422 42.6441997, -71.303391 42.644024)",,,,,
8891047,2,Brown Street,residential,15.9,False,False,104.83000000000001,"LINESTRING (-71.303503 42.6446284, -71.3035877 42.6450206, -71.303681 42.645364, -71.303732 42.645481, -71.303781 42.645544)",,,,,
"[733931036, 461398911]",2,East Merrimack Street,secondary,18.3,False,False,121.298,"LINESTRING (-71.303503 42.6446284, -71.3047235 42.6446861, -71.3048736 42.6446991, -71.304979 42.6447191)",,,,,
461398911,2,East Merrimack Street,secondary,18.3,False,True,72.309,"LINESTRING (-71.303503 42.6446284, -71.3027118 42.644588, -71.302621 42.644584)",,,,,
8888675,1,Veterans Way,secondary,,True,False,72.395,"LINESTRING (-71.3088349 42.6392465, -71.308809 42.639396, -71.308782 42.639496, -71.308732 42.639624, -71.308681 42.639716, -71.308624 42.639788, -71.3085639 42.6398577)",,,,,
281471387,2,Gorham Street,secondary,15.2,False,True,27.011,"LINESTRING (-71.3088349 42.6392465, -71.3088413 42.6390994, -71.3088483 42.6390038)",,30 mph,,,
8891395,2,Appleton Street,secondary,18.3,False,False,38.45,"LINESTRING (-71.3128945 42.6397617, -71.312461 42.6398954)",MA 110,,,,
8891395,2,Appleton Street,secondary,18.3,False,True,70.652,"LINESTRING (-71.3128945 42.6397617, -71.3136911 42.6395161)",MA 110,,,,
134815824,2,Goward Place,residential,6.1,False,True,47.563,"LINESTRING (-71.3128945 42.6397617, -71.3126777 42.6393648)",,,,,
8890677,2,Central Street,secondary,15.2,False,True,21.165,"LINESTRING (-71.305892 42.638424, -71.305763 42.638259)",,30 mph,,,
8890677,2,Central Street,secondary,15.2,False,False,36.075,"LINESTRING (-71.305892 42.638424, -71.306006 42.638569, -71.306117 42.638703)",,30 mph,,,
8890792,1,Cady Street,residential,6.7,True,False,150.239,"LINESTRING (-71.305892 42.638424, -71.3057914 42.6384574, -71.304622 42.638845, -71.304524 42.638881, -71.304456 42.638891, -71.304369 42.638899, -71.304192 42.638904)",,,,,
8889974,2,Fayette Street,residential,15.2,True,False,66.259,"LINESTRING (-71.302552 42.645934, -71.302596 42.645339)",,,,,
8889838,2,Stackpole Street,residential,12.2,True,False,109.67599999999999,"LINESTRING (-71.302552 42.645934, -71.302673 42.645906, -71.302938 42.645839, -71.3030718 42.6457958, -71.303232 42.645744, -71.3032977 42.6457185, -71.303441 42.645663, -71.303781 42.645544)",,,,,
8889095,2,Jackson Street,residential,14.3,False,False,213.262,"LINESTRING (-71.3140243 42.6409742, -71.313886 42.641012, -71.3132076 42.6412246, -71.312769 42.641362, -71.3124122 42.6414738, -71.311623 42.641721)",,,,,
8891011,2,Canal Street,residential,9.1,False,True,75.87899999999999,"LINESTRING (-71.3140243 42.6409742, -71.31398 42.6409009, -71.3137112 42.6404304, -71.3137025 42.6404151, -71.3136637 42.6403455)",,,,,
"[637012154, 98240353, 98240354]",,Canal Street,residential,,False,True,84.763,"LINESTRING (-71.3140243 42.6409742, -71.3140694 42.6410482, -71.3140816 42.6410699, -71.3142003 42.6412858, -71.314437 42.6416733)",,,yes,,
8890864,4,Dutton Street,primary,18.3,False,True,132.149,"LINESTRING (-71.3128009 42.6459236, -71.3128232 42.6458384, -71.312854 42.645781, -71.31289 42.64571, -71.312961 42.645631, -71.3129975 42.6455901, -71.313156 42.645413, -71.3132627 42.6452941, -71.3135622 42.6449601, -71.3136044 42.6449019)",,,,,
"[666382776, 107758318, 107758366]",2,Merrimack Street,secondary,22.9,False,True,73.645,"LINESTRING (-71.3128009 42.6459236, -71.3126337 42.6459113, -71.3125767 42.6459079, -71.3125341 42.6459054, -71.312095 42.6458664, -71.3119054 42.6458556)",,,yes,,
440541301,2,Chapel Street,residential,12.2,False,True,75.44,"LINESTRING (-71.307888 42.639847, -71.30758 42.6392075)",,,,,
1027221803,2,Charles Street,unclassified,15.2,False,True,48.868,"LINESTRING (-71.307888 42.639847, -71.308446 42.63969)",,,,,
440541301,2,Chapel Street,residential,12.2,False,False,49.022,"LINESTRING (-71.307888 42.639847, -71.3079158 42.6399028, -71.3080662 42.6402051, -71.308094 42.640261)",,,,,
1027221803,2,Charles Street,unclassified,15.2,False,False,59.651,"LINESTRING (-71.307888 42.639847, -71.3072745 42.6400159, -71.307205 42.640035)",,,,,
440541301,2,Chapel Street,residential,12.2,False,False,12.116,"LINESTRING (-71.3071713 42.6383564, -71.3072204 42.6384592)",,,,,
440541301,2,Chapel Street,residential,12.2,False,True,12.1,"LINESTRING (-71.3071713 42.6383564, -71.3071224 42.6382537)",,,,,
8890553,2,Centre Street,residential,10.7,False,False,94.462,"LINESTRING (-71.3071713 42.6383564, -71.3069116 42.6384404, -71.306117 42.638703)",,,,,
666216976,2,Merrimack Street,secondary,22.9,False,False,33.763000000000005,"LINESTRING (-71.3106008 42.6457467, -71.3106962 42.6457546, -71.311011 42.6457807)",,,,,
666216976,2,Merrimack Street,secondary,22.9,False,True,110.504,"LINESTRING (-71.3106008 42.6457467, -71.3105164 42.6457392, -71.3103195 42.6457232, -71.309258 42.6456369)",,,,,
8889930,2,Charles Street,tertiary,15.2,False,False,116.97,"LINESTRING (-71.307205 42.640035, -71.3071167 42.6400628, -71.3068579 42.6400865, -71.3057917 42.6401762)",,,,,
8890677,2,Central Street,secondary,15.2,False,True,64.226,"LINESTRING (-71.307205 42.640035, -71.3071579 42.6399757, -71.306942 42.639704, -71.306805 42.639538)",,30 mph,,,
578861994,1,Central Street,secondary,15.2,True,False,94.44199999999998,"LINESTRING (-71.307205 42.640035, -71.3072555 42.6400984, -71.307338 42.640202, -71.3076398 42.6405709, -71.3076793 42.640631, -71.3077082 42.6406689, -71.3078309 42.6407402)",,30 mph,,,
1027221803,2,Charles Street,unclassified,15.2,False,True,59.651,"LINESTRING (-71.307205 42.640035, -71.3072745 42.6400159, -71.307888 42.639847)",,,,,
8889018,2,Middlesex Street,secondary,16.8,False,False,33.272,"LINESTRING (-71.3132895 42.6404628, -71.3136637 42.6403455)",MA 110,,,,
8889018,2,Middlesex Street,secondary,16.8,False,True,38.977,"LINESTRING (-71.3132895 42.6404628, -71.3128509 42.6405998)",MA 110,,,,
8890508,2,Garnet Street,residential,9.1,True,False,84.389,"LINESTRING (-71.3132895 42.6404628, -71.3132553 42.6404022, -71.3129279 42.6398211, -71.3128945 42.6397617)",,,,,
543153086,2,Merrimack Street,secondary,22.9,False,True,72.894,"LINESTRING (-71.309258 42.6456369, -71.3090972 42.6456249, -71.3088179 42.6456026, -71.3085103 42.6455773, -71.308372 42.645566)",,,,,
666216976,2,Merrimack Street,secondary,22.9,False,False,110.504,"LINESTRING (-71.309258 42.6456369, -71.3103195 42.6457232, -71.3105164 42.6457392, -71.3106008 42.6457467)",,,,,
134818220,2,Summer Street,tertiary,15.2,False,False,114.27699999999999,"LINESTRING (-71.3145184 42.6383287, -71.3143232 42.6384059, -71.3142173 42.6384561, -71.3138737 42.6385622, -71.3132496 42.6387548)",,,,,
731988131,2,Appleton Street,secondary,18.3,False,True,4.804,"LINESTRING (-71.3104226 42.640513, -71.3104771 42.6404969)",MA 110,,,,
8891009,1,Davis Street,residential,6.1,False,True,26.110999999999997,"LINESTRING (-71.3104226 42.640513, -71.3103896 42.6404543, -71.3103006 42.640296)",,,,,
666216975,2,Appleton Street,secondary,18.3,False,False,113.33600000000001,"LINESTRING (-71.3104226 42.640513, -71.3096863 42.6407559, -71.3094796 42.6408241, -71.309334 42.6408722, -71.3091584 42.6409302)",MA 110,,,,
1027221803,2,Charles Street,unclassified,15.2,False,False,48.868,"LINESTRING (-71.308446 42.63969, -71.307888 42.639847)",,,,,
8891197,2,Union Street,residential,11.3,False,False,66.664,"LINESTRING (-71.308344 42.6389989, -71.3076763 42.6391792, -71.30758 42.6392075)",,,,,
8891197,2,Union Street,residential,11.3,False,True,41.254999999999995,"LINESTRING (-71.308344 42.6389989, -71.3084425 42.6389999, -71.3086902 42.6390026, -71.3088483 42.6390038)",,,,,
