osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,bridge
11625061,Vernon Terrace,residential,False,False,81.559,"LINESTRING (-74.200827 40.763793, -74.2004753 40.7644764)",,,
11613716,Vernon Place,residential,False,False,175.191,"LINESTRING (-74.200827 40.763793, -74.201989 40.764136, -74.20222 40.764191, -74.202798 40.764284)",,,
11613716,Vernon Place,residential,False,True,175.191,"LINESTRING (-74.202798 40.764284, -74.20222 40.764191, -74.201989 40.764136, -74.200827 40.763793)",,,
808012352,North Grove Street,secondary,False,True,127.62700000000001,"LINESTRING (-74.202798 40.764284, -74.202742 40.764506, -74.2023054 40.7653664)",CR 509,,
424845871,Park Avenue,primary,False,False,56.295,"LINESTRING (-74.2047706 40.7665649, -74.2053354 40.7668357)",CR 658,,
11620136,North Oraton Parkway,secondary,True,False,421.861,"LINESTRING (-74.2047706 40.7665649, -74.2047883 40.7662889, -74.2047987 40.7661841, -74.2048225 40.7660755, -74.2048405 40.7660071, -74.2048706 40.7659201, -74.2049139 40.765818, -74.2049638 40.7657124, -74.2050154 40.7656061, -74.2051212 40.7654048, -74.2052911 40.7651047, -74.2064724 40.7630219)",,2,
"[38312570, 1032775868, 424845871]",Park Avenue,primary,False,True,66.015,"LINESTRING (-74.2047706 40.7665649, -74.2046797 40.7665214, -74.2042388 40.7663069, -74.2041106 40.7662446)",CR 658,,yes
"[1043669133, 422507175]",Parkway Drive,secondary,True,False,273.60699999999997,"LINESTRING (-74.2047889 40.7690233, -74.2047845 40.7689553, -74.2047845 40.7689314, -74.2047844 40.7688706, -74.2047877 40.7687484, -74.2047969 40.7686429, -74.2048071 40.7685334, -74.2048128 40.7684251, -74.2048164 40.7683259, -74.2048185 40.7682202, -74.2048176 40.7681084, -74.2048108 40.7678595, -74.2048061 40.76775, -74.204798 40.7676316, -74.2047788 40.7674249, -74.2047719 40.7673509, -74.2047605 40.7672142, -74.2047563 40.7670936, -74.2047566 40.7669852, -74.2047575 40.7668808, -74.2047706 40.7665649)",,"['1', '2']",
424845544,North Arlington Avenue,tertiary,False,True,231.16199999999998,"LINESTRING (-74.2047889 40.7690233, -74.2048716 40.7689367, -74.2049354 40.76887, -74.2050307 40.768775, -74.2051225 40.7686878, -74.2059463 40.7679159, -74.206008 40.7678559, -74.2060645 40.7677996, -74.2061172 40.7677408, -74.206169 40.7676789, -74.2063359 40.7674624, -74.2064188 40.7673549)",,,
"[38312580, 422509842, 1043669132]",North Arlington Avenue,tertiary,False,False,104.45600000000002,"LINESTRING (-74.2047889 40.7690233, -74.2046366 40.7691847, -74.2042253 40.7696145, -74.2041294 40.7697134, -74.2040626 40.7697848)",,,yes
11620113,Hamilton Street,residential,False,False,126.137,"LINESTRING (-74.2049227 40.7702361, -74.2049632 40.7702351, -74.2050015 40.7702393, -74.2050406 40.7702474, -74.2050805 40.7702586, -74.2062997 40.7706715)",,,
"[1043669130, 1043669131]",Parkway Drive,secondary,True,False,135.339,"LINESTRING (-74.2049227 40.7702361, -74.2048846 40.7699065, -74.204844 40.7695554, -74.2047944 40.7691266, -74.2047889 40.7690233)",,"['1', '2']",
808012353,Park Avenue,primary,False,True,70.427,"LINESTRING (-74.2041106 40.7662446, -74.203407 40.7659023)",CR 658,,
1032775869,North Oraton Parkway,secondary,True,False,19.123,"LINESTRING (-74.2041106 40.7662446, -74.2040069 40.7663976)",,1,
"[38312570, 1032775868, 424845871]",Park Avenue,primary,False,False,66.01499999999999,"LINESTRING (-74.2041106 40.7662446, -74.2042388 40.7663069, -74.2046797 40.7665214, -74.2047706 40.7665649)",CR 658,,yes
423501577,4th Avenue,tertiary,False,True,94.55100000000002,"LINESTRING (-74.2039294 40.7686023, -74.2038989 40.7686023, -74.2038627 40.7685981, -74.2038278 40.768591, -74.2037856 40.7685795, -74.203746 40.7685617, -74.2037312 40.7685535, -74.2036965 40.7685344, -74.2036235 40.7684834, -74.2034075 40.7683189, -74.203082 40.7680709)",,,
"[1053810121, 581804451, 1050185883]",Parkway Drive,secondary,True,False,131.994,"LINESTRING (-74.2039294 40.7686023, -74.2039344 40.7687184, -74.203944 40.7688322, -74.2039546 40.7689352, -74.2039679 40.7690428, -74.2039906 40.7692205, -74.2040626 40.7697848)",,"['1', '3', '2']",
422509842,North Arlington Avenue,tertiary,False,False,154.45999999999998,"LINESTRING (-74.2040626 40.7697848, -74.2039952 40.769857, -74.203931 40.769927, -74.2038723 40.7699932, -74.2038128 40.7700647, -74.2037558 40.7701378, -74.2031187 40.770975)",,,
"[1043669132, 422509842, 38312580]",North Arlington Avenue,tertiary,False,True,104.456,"LINESTRING (-74.2040626 40.7697848, -74.2041294 40.7697134, -74.2042253 40.7696145, -74.2046366 40.7691847, -74.2047889 40.7690233)",,,yes
"[581804448, 1039258402]",Parkway Drive,secondary,True,False,207.099,"LINESTRING (-74.2040626 40.7697848, -74.204251 40.7713184, -74.2042569 40.7713839, -74.2042596 40.7714134, -74.2042638 40.7714888, -74.2042699 40.7716403)",,"['3', '2']",
262807637,Springdale Avenue,tertiary,False,True,121.96199999999999,"LINESTRING (-74.2042699 40.7716403, -74.203261 40.77105, -74.2032158 40.7710255, -74.2031711 40.7710023, -74.2031187 40.770975)",,,
353029307,Winans Street,residential,False,True,116.57500000000002,"LINESTRING (-74.2099333 40.7643596, -74.2103617 40.7637626, -74.210541 40.7635127, -74.2105886 40.7634363)",,,
"[11617148, 988594822]",William Street,tertiary,False,True,103.517,"LINESTRING (-74.2099333 40.7643596, -74.2096829 40.7642597, -74.2095593 40.7642104, -74.2093376 40.7641221, -74.2088457 40.7639259)",,,
"[581804441, 11617148, 38312565]",William Street,tertiary,False,False,42.443,"LINESTRING (-74.2060214 40.7628516, -74.2060719 40.7628711, -74.2064323 40.763007, -74.2064724 40.7630219)",,,yes
"[1015951875, 1032775870]",North Oraton Parkway,secondary,True,False,410.187,"LINESTRING (-74.2060214 40.7628516, -74.2057906 40.7632666, -74.2057371 40.7633624, -74.2056098 40.7635892, -74.2055014 40.7637821, -74.2053938 40.7639738, -74.2044381 40.7656759, -74.2043825 40.7657699, -74.2043468 40.7658375, -74.2041781 40.7661368, -74.2041449 40.7661914, -74.2041106 40.7662446)",,2,
11617148,William Street,tertiary,False,False,79.179,"LINESTRING (-74.2064724 40.7630219, -74.2073141 40.7633391)",,,
"[581804441, 11617148, 38312565]",William Street,tertiary,False,True,42.443,"LINESTRING (-74.2064724 40.7630219, -74.2064323 40.763007, -74.2060719 40.7628711, -74.2060214 40.7628516)",,,yes
11617148,William Street,tertiary,False,True,79.179,"LINESTRING (-74.2073141 40.7633391, -74.2064724 40.7630219)",,,
11617148,William Street,tertiary,False,False,144.556,"LINESTRING (-74.2073141 40.7633391, -74.2084628 40.7637792, -74.2088457 40.7639259)",,,
423738845,North Munn Avenue,secondary,False,False,219.683,"LINESTRING (-74.2073141 40.7633391, -74.207064 40.763785, -74.2070461 40.7638314, -74.207004 40.76394, -74.2069995 40.7640181, -74.206978 40.764388, -74.206905 40.764579, -74.2068046 40.7646553, -74.2064627 40.7651683)",,,
"[11617148, 988594822]",William Street,tertiary,False,False,103.517,"LINESTRING (-74.2088457 40.7639259, -74.2093376 40.7641221, -74.2095593 40.7642104, -74.2096829 40.7642597, -74.2099333 40.7643596)",,,
11617148,William Street,tertiary,False,True,144.556,"LINESTRING (-74.2088457 40.7639259, -74.2084628 40.7637792, -74.2073141 40.7633391)",,,
424845544,North Arlington Avenue,tertiary,False,False,218.27200000000002,"LINESTRING (-74.2088457 40.7639259, -74.2085584 40.7643482, -74.2083565 40.7646451, -74.2081715 40.7649333, -74.2081284 40.7649947, -74.2078174 40.7654376, -74.2076548 40.7656692)",,,
11619040,Roosevelt Avenue,residential,False,False,149.364,"LINESTRING (-74.2012908 40.7700888, -74.2003015 40.7712037)",,,
262807637,Springdale Avenue,tertiary,False,False,50.697,"LINESTRING (-74.2012908 40.7700888, -74.2017975 40.770335)",,,
262807637,Springdale Avenue,tertiary,False,True,75.933,"LINESTRING (-74.2012908 40.7700888, -74.2005315 40.7697205)",,,
11619040,Roosevelt Avenue,residential,False,True,149.364,"LINESTRING (-74.2003015 40.7712037, -74.2012908 40.7700888)",,,
11622653,Rutledge Avenue,residential,False,True,78.037,"LINESTRING (-74.2003015 40.7712037, -74.199505 40.770845)",,,
423502009,Park Avenue,primary,False,False,80.78200000000001,"LINESTRING (-74.1996696 40.7640822, -74.2001117 40.7642985, -74.2004753 40.7644764)",CR 658,,
424845544,North Arlington Avenue,tertiary,False,False,14.057,"LINESTRING (-74.2076548 40.7656692, -74.2075764 40.7657808)",,,
11619501,Summit Street,residential,False,True,114.811,"LINESTRING (-74.2076548 40.7656692, -74.206995 40.765392, -74.2064627 40.7651683)",,,
424845544,North Arlington Avenue,tertiary,False,True,218.272,"LINESTRING (-74.2076548 40.7656692, -74.2078174 40.7654376, -74.2081284 40.7649947, -74.2081715 40.7649333, -74.2083565 40.7646451, -74.2085584 40.7643482, -74.2088457 40.7639259)",,,
424845544,North Arlington Avenue,tertiary,False,True,14.057,"LINESTRING (-74.2075764 40.7657808, -74.2076548 40.7656692)",,,
11619500,Summit Street,residential,False,False,231.92599999999996,"LINESTRING (-74.2075764 40.7657808, -74.2079973 40.765969, -74.2083057 40.7661068, -74.2085933 40.7662354, -74.2086088 40.7662423, -74.2093044 40.7665533, -74.2093358 40.7665673, -74.209948 40.766841)",,,
424845544,North Arlington Avenue,tertiary,False,False,200.38199999999998,"LINESTRING (-74.2075764 40.7657808, -74.2071592 40.7663729, -74.207064 40.766508, -74.2069976 40.7665976, -74.2069846 40.7666152, -74.2069246 40.7666966, -74.2068529 40.7667916, -74.2067828 40.7668835, -74.2066663 40.7670343, -74.206476 40.7672809, -74.2064188 40.7673549)",,,
424845544,North Arlington Avenue,tertiary,False,False,231.16199999999998,"LINESTRING (-74.2064188 40.7673549, -74.2063359 40.7674624, -74.206169 40.7676789, -74.2061172 40.7677408, -74.2060645 40.7677996, -74.206008 40.7678559, -74.2059463 40.7679159, -74.2051225 40.7686878, -74.2050307 40.768775, -74.2049354 40.76887, -74.2048716 40.7689367, -74.2047889 40.7690233)",,,
424845544,North Arlington Avenue,tertiary,False,True,200.382,"LINESTRING (-74.2064188 40.7673549, -74.206476 40.7672809, -74.2066663 40.7670343, -74.2067828 40.7668835, -74.2068529 40.7667916, -74.2069246 40.7666966, -74.2069846 40.7666152, -74.2069976 40.7665976, -74.207064 40.766508, -74.2071592 40.7663729, -74.2075764 40.7657808)",,,
424845871,Park Avenue,primary,False,False,195.232,"LINESTRING (-74.2064188 40.7673549, -74.2065538 40.7674214, -74.2076575 40.7679652, -74.208362 40.7683124)",CR 658,,
424845871,Park Avenue,primary,False,True,107.971,"LINESTRING (-74.2064188 40.7673549, -74.206288 40.7672922, -74.2057844 40.7670509, -74.2053354 40.7668357)",CR 658,,
262807637,Springdale Avenue,tertiary,False,True,132.073,"LINESTRING (-74.2031187 40.770975, -74.2017975 40.770335)",,,
262807637,Springdale Avenue,tertiary,False,False,121.96199999999999,"LINESTRING (-74.2031187 40.770975, -74.2031711 40.7710023, -74.2032158 40.7710255, -74.203261 40.77105, -74.2042699 40.7716403)",,,
422509842,North Arlington Avenue,tertiary,False,True,154.45999999999998,"LINESTRING (-74.2031187 40.770975, -74.2037558 40.7701378, -74.2038128 40.7700647, -74.2038723 40.7699932, -74.203931 40.769927, -74.2039952 40.769857, -74.2040626 40.7697848)",,,
11619425,North Maple Avenue,residential,False,False,199.465,"LINESTRING (-74.203407 40.7659023, -74.2022642 40.7674735)",,,
808012353,Park Avenue,primary,False,False,70.427,"LINESTRING (-74.203407 40.7659023, -74.2041106 40.7662446)",CR 658,,
808012353,Park Avenue,primary,False,True,8.148,"LINESTRING (-74.203407 40.7659023, -74.2033256 40.7658627)",CR 658,,
11619425,North Maple Avenue,residential,False,True,199.465,"LINESTRING (-74.2022642 40.7674735, -74.203407 40.7659023)",,,
423501577,4th Avenue,tertiary,False,True,95.998,"LINESTRING (-74.2022642 40.7674735, -74.2012455 40.7670861)",,,
11619425,North Maple Avenue,residential,False,False,289.456,"LINESTRING (-74.2022642 40.7674735, -74.2016551 40.7683286, -74.2016281 40.7683675, -74.2015957 40.7684103, -74.2015625 40.768452, -74.2005315 40.7697205)",,,
423501577,4th Avenue,tertiary,False,False,95.84100000000001,"LINESTRING (-74.2022642 40.7674735, -74.2023751 40.7675326, -74.2024645 40.767599, -74.203082 40.7680709)",,,
262807637,Springdale Avenue,tertiary,False,False,75.933,"LINESTRING (-74.2005315 40.7697205, -74.2012908 40.7700888)",,,
262807637,Springdale Avenue,tertiary,False,True,75.414,"LINESTRING (-74.2005315 40.7697205, -74.199778 40.769354)",,,
11619425,North Maple Avenue,residential,False,False,152.013,"LINESTRING (-74.2005315 40.7697205, -74.199523 40.770827, -74.199505 40.770845)",,,
11619425,North Maple Avenue,residential,False,True,289.456,"LINESTRING (-74.2005315 40.7697205, -74.2015625 40.768452, -74.2015957 40.7684103, -74.2016281 40.7683675, -74.2016551 40.7683286, -74.2022642 40.7674735)",,,
