osmid,name,highway,oneway,reversed,length,lanes,ref,bridge,geometry,maxspeed
21895950,West Wheeler Street,residential,False,False,119.353,,,,"LINESTRING (-98.9025685 32.752462, -98.9038447 32.7524739)",
21895982,South Breckenridge Avenue,primary,False,False,120.15,4,US 183,,"LINESTRING (-98.9025685 32.752462, -98.9025586 32.7535425)",
21895982,South Breckenridge Avenue,primary,False,True,79.074,4,US 183,,"LINESTRING (-98.9025685 32.752462, -98.9025848 32.751751)",
21895950,West Wheeler Street,residential,False,False,115.665,,,,"LINESTRING (-98.9038447 32.7524739, -98.9050814 32.7524896)",
21895950,West Wheeler Street,residential,False,True,119.353,,,,"LINESTRING (-98.9038447 32.7524739, -98.9025685 32.752462)",
21904074,South Court Street,residential,False,False,118.212,,,,"LINESTRING (-98.9038447 32.7524739, -98.9038495 32.753537)",
21904074,South Court Street,residential,False,True,81.806,,,,"LINESTRING (-98.9038447 32.7524739, -98.9038302 32.7517383)",
21895950,West Wheeler Street,residential,False,False,116.027,,,,"LINESTRING (-98.9050814 32.7524896, -98.9063221 32.7524935)",
21895950,West Wheeler Street,residential,False,True,115.665,,,,"LINESTRING (-98.9050814 32.7524896, -98.9038447 32.7524739)",
21905940,South Rose Avenue,residential,False,False,115.846,,,,"LINESTRING (-98.9050814 32.7524896, -98.9050904 32.7535314)",
21905940,South Rose Avenue,residential,False,True,82.231,,,,"LINESTRING (-98.9050814 32.7524896, -98.9050747 32.7517501)",
21895950,West Wheeler Street,residential,False,False,114.55,,,,"LINESTRING (-98.9063221 32.7524935, -98.907547 32.7524974)",
21895950,West Wheeler Street,residential,False,True,116.027,,,,"LINESTRING (-98.9063221 32.7524935, -98.9050814 32.7524896)",
21905107,South McAmis Street,residential,False,False,113.866,,,,"LINESTRING (-98.9063221 32.7524935, -98.9063147 32.7535175)",
21905107,South McAmis Street,residential,False,True,85.389,,,,"LINESTRING (-98.9063221 32.7524935, -98.906316 32.7517256)",
21895950,West Wheeler Street,residential,False,True,114.55,,,,"LINESTRING (-98.907547 32.7524974, -98.9063221 32.7524935)",
21904589,South Miller Street,residential,False,False,115.287,,,,"LINESTRING (-98.907547 32.7524974, -98.9075501 32.7535342)",
21904589,South Miller Street,residential,False,True,86.444,,,,"LINESTRING (-98.907547 32.7524974, -98.9075431 32.75172)",
21895982,South Breckenridge Avenue,primary,False,False,79.074,4,US 183,,"LINESTRING (-98.9025848 32.751751, -98.9025685 32.752462)",
21904816,West Elliott Street,tertiary,False,True,116.475,,,,"LINESTRING (-98.9025848 32.751751, -98.9038302 32.7517383)",
"[21906202, 1127641806, 1127641807]",East Elliott Street,tertiary,False,True,373.202,,,yes,"LINESTRING (-98.9025848 32.751751, -98.9004726 32.7517547, -98.9000142 32.7517555, -98.8991861 32.751757, -98.8985941 32.7517581)",
21895982,South Breckenridge Avenue,primary,False,False,116.7,4,US 183,,"LINESTRING (-98.9025586 32.7535425, -98.9025635 32.754592)",
21895982,South Breckenridge Avenue,primary,False,True,120.15,4,US 183,,"LINESTRING (-98.9025586 32.7535425, -98.9025685 32.752462)",
21903489,West Hullum Street,residential,False,False,120.721,,,,"LINESTRING (-98.9025586 32.7535425, -98.9038495 32.753537)",
1127641809,East Hullum Street,residential,False,True,116.586,,,,"LINESTRING (-98.9025586 32.7535425, -98.9013119 32.7535439)",
21895982,South Breckenridge Avenue,primary,False,False,95.145,4,US 183,,"LINESTRING (-98.9025635 32.754592, -98.9025752 32.7554476)",
21895982,South Breckenridge Avenue,primary,False,True,116.7,4,US 183,,"LINESTRING (-98.9025635 32.754592, -98.9025586 32.7535425)",
21903433,West Williams Street,residential,False,False,120.183,,,,"LINESTRING (-98.9025635 32.754592, -98.9038485 32.7545738)",
21904782,East Williams Street,residential,False,True,116.694,,,,"LINESTRING (-98.9025635 32.754592, -98.9013157 32.7546031)",
21895982,South Breckenridge Avenue,primary,False,True,95.145,4,US 183,,"LINESTRING (-98.9025752 32.7554476, -98.9025635 32.754592)",
21905052,West Walker Street,primary,False,False,119.329,4,US 180,,"LINESTRING (-98.9025752 32.7554476, -98.903851 32.755426)",30 mph
1127638771,East Walker Street,primary,False,True,116.268,4,US 180,,"LINESTRING (-98.9025752 32.7554476, -98.9013319 32.7554413)",30 mph
21905997,North Breckenridge Avenue,primary,False,False,89.743,4,US 183,,"LINESTRING (-98.9025752 32.7554476, -98.9025817 32.7558389, -98.9025886 32.7562546)",
21903433,West Williams Street,residential,False,False,115.65,,,,"LINESTRING (-98.9038485 32.7545738, -98.9050852 32.7545738)",
21903433,West Williams Street,residential,False,True,120.183,,,,"LINESTRING (-98.9038485 32.7545738, -98.9025635 32.754592)",
21904074,South Court Street,residential,False,False,94.761,,,,"LINESTRING (-98.9038485 32.7545738, -98.903851 32.755426)",
21904074,South Court Street,residential,False,True,115.287,,,,"LINESTRING (-98.9038485 32.7545738, -98.9038495 32.753537)",
21903433,West Williams Street,residential,False,False,115.286,,,,"LINESTRING (-98.9050852 32.7545738, -98.906318 32.7545778)",
21903433,West Williams Street,residential,False,True,115.65,,,,"LINESTRING (-98.9050852 32.7545738, -98.9038485 32.7545738)",
21904738,South Rose Avenue,residential,False,False,94.638,,,,"LINESTRING (-98.9050852 32.7545738, -98.9050829 32.7554249)",
