osmid,highway,oneway,reversed,length,geometry,name,lanes,maxspeed,ref,bridge,junction
6338471,residential,False,True,96.093,"LINESTRING (-121.784289 47.4987509, -121.784978 47.4980228)",,,,,,
6338481,residential,False,False,146.56099999999998,"LINESTRING (-121.784289 47.4987509, -121.7845331 47.4990236, -121.7845797 47.4990033, -121.784924 47.4985845, -121.7853055 47.4981762)",,,,,,
6338481,residential,False,True,120.238,"LINESTRING (-121.784289 47.4987509, -121.7840235 47.4984968, -121.78411 47.4984546, -121.7841779 47.4983982, -121.7846914 47.4979403, -121.7847465 47.4979054)",,,,,,
6339017,residential,False,False,59.56,"LINESTRING (-121.7852774 47.4921418, -121.7852832 47.4923335, -121.7853105 47.4924957, -121.7853363 47.4926755)",,,,,,
6339017,residential,False,True,59.56,"LINESTRING (-121.7853363 47.4926755, -121.7853105 47.4924957, -121.7852832 47.4923335, -121.7852774 47.4921418)",,,,,,
6378151,residential,False,False,40.677,"LINESTRING (-121.7853363 47.4926755, -121.7854238 47.4926846, -121.7854865 47.4927018, -121.7855245 47.492712, -121.78564 47.4927668, -121.7858084 47.4928436)",East Park Street,,,,,
6378151,residential,False,True,51.096000000000004,"LINESTRING (-121.7853363 47.4926755, -121.7851515 47.4926736, -121.7846563 47.4926686)",East Park Street,,,,,
"[1067008304, 6342639]",secondary,False,"[False, True]",106.65299999999999,"LINESTRING (-121.785736 47.4949084, -121.7858749 47.4949779, -121.786142 47.4950977, -121.7863383 47.4951872, -121.7867381 47.4953753, -121.7869056 47.4954518)",West North Bend Way,3,,,,
6426927,residential,False,False,102.847,"LINESTRING (-121.785736 47.4949084, -121.785695 47.4949496, -121.7856541 47.4949909, -121.785625 47.4950185, -121.7852666 47.4953617, -121.7851291 47.4954942, -121.7850102 47.495612, -121.7849542 47.4956676)",Main Avenue North,,,,,
621874284,residential,False,False,48.419,"LINESTRING (-121.785736 47.4949084, -121.785787 47.4948623, -121.7858383 47.4948161, -121.7860938 47.4945465)",Main Avenue South,,,,,
"[308168744, 1205121201, 1205121197]",secondary,False,True,107.84299999999999,"LINESTRING (-121.785736 47.4949084, -121.785596 47.4948434, -121.7851495 47.4946301, -121.7848853 47.4945042, -121.7846947 47.4944156, -121.784564 47.4943486)",East North Bend Way,2,25 mph,,,
6344092,primary,False,False,103.42699999999999,"LINESTRING (-121.7869056 47.4954518, -121.7868129 47.4955486, -121.7865867 47.4957745, -121.786345 47.4960119, -121.7862644 47.49609, -121.7861304 47.4962204)",Bendigo Boulevard North,,30 mph,WA 202,,
174667363,secondary,False,False,107.297,"LINESTRING (-121.7869056 47.4954518, -121.7871028 47.4955399, -121.7874973 47.4957281, -121.7878353 47.4958894, -121.7879548 47.4959425, -121.7880762 47.4960043)",West North Bend Way,2,,,,
"[1067008304, 6342639]",secondary,False,"[False, True]",106.65299999999999,"LINESTRING (-121.7869056 47.4954518, -121.7867381 47.4953753, -121.7863383 47.4951872, -121.786142 47.4950977, -121.7858749 47.4949779, -121.785736 47.4949084)",West North Bend Way,3,,,,
1268532769,primary,False,True,48.975,"LINESTRING (-121.7869056 47.4954518, -121.7869869 47.4953687, -121.7872863 47.4950944)",Bendigo Boulevard South,,30 mph,WA 202,,
6440620,residential,False,False,104.65299999999999,"LINESTRING (-121.7880762 47.4960043, -121.7879875 47.496093, -121.787893 47.4961863, -121.7876659 47.4964141, -121.787296 47.496784)",Sydney Avenue North,,,,,
"[559471394, 6440620]",residential,False,"[False, True]",153.23000000000002,"LINESTRING (-121.7880762 47.4960043, -121.7881417 47.4959409, -121.7884307 47.4956614, -121.7884103 47.4956434, -121.7873852 47.4951427, -121.7872863 47.4950944)","['Sydney Avenue North', 'East McClellan Street']",,,,,
174667363,secondary,False,True,107.297,"LINESTRING (-121.7880762 47.4960043, -121.7879548 47.4959425, -121.7878353 47.4958894, -121.7874973 47.4957281, -121.7871028 47.4955399, -121.7869056 47.4954518)",West North Bend Way,2,,,,
6344092,primary,False,False,105.773,"LINESTRING (-121.7861304 47.4962204, -121.7859979 47.4963489, -121.7857458 47.496594, -121.7853329 47.4970043)",Bendigo Boulevard North,,30 mph,WA 202,,
6344092,primary,False,True,103.42699999999999,"LINESTRING (-121.7861304 47.4962204, -121.7862644 47.49609, -121.786345 47.4960119, -121.7865867 47.4957745, -121.7868129 47.4955486, -121.7869056 47.4954518)",Bendigo Boulevard North,,30 mph,WA 202,,
6418257,residential,False,False,107.644,"LINESTRING (-121.7861304 47.4962204, -121.7856934 47.4960128, -121.7856618 47.4959988, -121.7855525 47.4959476, -121.7850503 47.4957134, -121.7849542 47.4956676)",West 2nd Street,,,,,
6418257,residential,False,True,107.68299999999999,"LINESTRING (-121.7861304 47.4962204, -121.7866164 47.4964548, -121.7867031 47.4964968, -121.787296 47.496784)",West 2nd Street,,,,,
6344092,primary,False,False,77.432,"LINESTRING (-121.7853329 47.4970043, -121.784744 47.4975758)",Bendigo Boulevard North,,30 mph,WA 202,,
6344092,primary,False,True,105.77300000000001,"LINESTRING (-121.7853329 47.4970043, -121.7857458 47.496594, -121.7859979 47.4963489, -121.7861304 47.4962204)",Bendigo Boulevard North,,30 mph,WA 202,,
6407701,residential,False,False,106.28399999999999,"LINESTRING (-121.7853329 47.4970043, -121.7859123 47.4972683, -121.7864955 47.4975488)",West 3rd Street,,,,,
6407701,residential,False,True,107.39500000000001,"LINESTRING (-121.7853329 47.4970043, -121.7847798 47.4967325, -121.7841639 47.4964486)",West 3rd Street,,,,,
706940753,primary,False,False,21.746,"LINESTRING (-121.7847465 47.4979054, -121.784978 47.4980228)",Bendigo Boulevard North,,30 mph,WA 202,,
6338481,residential,False,False,120.238,"LINESTRING (-121.7847465 47.4979054, -121.7846914 47.4979403, -121.7841779 47.4983982, -121.78411 47.4984546, -121.7840235 47.4984968, -121.784289 47.4987509)",,,,,,
283923686,primary,False,True,14.992999999999999,"LINESTRING (-121.7847465 47.4979054, -121.7847198 47.4978638, -121.7846995 47.4978173, -121.7846868 47.4977772)",Bendigo Boulevard North,,30 mph,WA 202,,
6344103,primary,False,True,36.336,"LINESTRING (-121.785704 47.4983614, -121.7853055 47.4981762)",Bendigo Boulevard North,,30 mph,WA 202,,
6440620,residential,False,False,126.482,"LINESTRING (-121.785704 47.4983614, -121.7847864 47.4993151)",Sydney Avenue North,,,,,
"[37584899, 37584900, 6344103]",primary,False,False,289.79200000000003,"LINESTRING (-121.785704 47.4983614, -121.7867886 47.4988518, -121.7870701 47.4989791, -121.7874048 47.4991067, -121.7886059 47.4995652, -121.7889922 47.4997209)",Bendigo Boulevard North,,30 mph,WA 202,yes,
6440620,residential,False,True,108.167,"LINESTRING (-121.785704 47.4983614, -121.7861142 47.49794, -121.7864955 47.4975488)",Sydney Avenue North,,,,,
6483734,residential,False,False,49.315,"LINESTRING (-121.7889922 47.4997209, -121.7895145 47.4997226, -121.789527 47.4997226, -121.7896486 47.4997249)",Northwest 8th Street,,25 mph,,,
37584899,primary,False,False,37.022,"LINESTRING (-121.7889922 47.4997209, -121.7891301 47.4997798, -121.7894 47.4999077)",Bendigo Boulevard North,,,WA 202,,
"[37584899, 37584900, 6344103]",primary,False,True,289.79200000000003,"LINESTRING (-121.7889922 47.4997209, -121.7886059 47.4995652, -121.7874048 47.4991067, -121.7870701 47.4989791, -121.7867886 47.4988518, -121.785704 47.4983614)",Bendigo Boulevard North,,30 mph,WA 202,yes,
6519933,residential,False,True,61.370999999999995,"LINESTRING (-121.7883764 47.494049, -121.7884862 47.4941001, -121.789049 47.4943622)",West Park Street,,,,,
"[1268532769, 37584907]",primary,False,False,142.20899999999997,"LINESTRING (-121.7883764 47.494049, -121.7883243 47.4940983, -121.7877996 47.4945951, -121.7875287 47.4948585, -121.7874092 47.4949748, -121.7873837 47.4949978, -121.7873489 47.495029, -121.7872863 47.4950944)",Bendigo Boulevard South,,30 mph,WA 202,,
621874282,residential,False,True,109.187,"LINESTRING (-121.7883764 47.494049, -121.7882712 47.4939989, -121.7879143 47.493826, -121.7878115 47.4937796, -121.787789 47.4937689, -121.7874367 47.4936009, -121.7871891 47.4934828)",East Park Street,,,,,
"[559471394, 6440620]",residential,False,"[False, True]",153.23,"LINESTRING (-121.7872863 47.4950944, -121.7873852 47.4951427, -121.7884103 47.4956434, -121.7884307 47.4956614, -121.7881417 47.4959409, -121.7880762 47.4960043)","['East McClellan Street', 'Sydney Avenue North']",,,,,
1268532769,primary,False,False,48.975,"LINESTRING (-121.7872863 47.4950944, -121.7869869 47.4953687, -121.7869056 47.4954518)",Bendigo Boulevard South,,30 mph,WA 202,,
"[1268532769, 37584907]",primary,False,True,142.209,"LINESTRING (-121.7872863 47.4950944, -121.7873489 47.495029, -121.7873837 47.4949978, -121.7874092 47.4949748, -121.7875287 47.4948585, -121.7877996 47.4945951, -121.7883243 47.4940983, -121.7883764 47.494049)",Bendigo Boulevard South,,30 mph,WA 202,,
6347629,residential,False,False,55.801,"LINESTRING (-121.7817258 47.4987984, -121.7823105 47.4991079)",West 6th Street,,,,,
6426927,residential,False,True,105.928,"LINESTRING (-121.7817258 47.4987984, -121.7825554 47.4980281)",Main Avenue North,,,,,
6434015,residential,False,True,104.538,"LINESTRING (-121.7817258 47.4987984, -121.781156 47.4985169, -121.780652 47.4982679, -121.7806025 47.4982435)",East 6th Street,,,,,
6347629,residential,False,False,48.688,"LINESTRING (-121.7823105 47.4991079, -121.7828244 47.4993747)",West 6th Street,,,,,
6347629,residential,False,True,55.801,"LINESTRING (-121.7823105 47.4991079, -121.7817258 47.4987984)",West 6th Street,,,,,
6375391,residential,False,False,98.146,"LINESTRING (-121.7823105 47.4991079, -121.7830599 47.4983849)",Pearce Lane,,,,,
6347629,residential,False,True,48.688,"LINESTRING (-121.7828244 47.4993747, -121.7823105 47.4991079)",West 6th Street,,,,,
6359818,tertiary,False,False,45.034,"LINESTRING (-121.7813795 47.4974772, -121.7810224 47.4978025)",Ballarat Avenue North,,25 mph,,,
6359818,tertiary,False,True,47.917,"LINESTRING (-121.7813795 47.4974772, -121.781743 47.4971231)",Ballarat Avenue North,,25 mph,,,
6359239,residential,False,False,107.505,"LINESTRING (-121.7813795 47.4974772, -121.7814372 47.4975042, -121.7819432 47.4977459, -121.7825554 47.4980281)",East 5th Street,,,,,
6426927,residential,False,False,105.928,"LINESTRING (-121.7825554 47.4980281, -121.7817258 47.4987984)",Main Avenue North,,,,,
6359239,residential,False,True,107.505,"LINESTRING (-121.7825554 47.4980281, -121.7819432 47.4977459, -121.7814372 47.4975042, -121.7813795 47.4974772)",East 5th Street,,,,,
6426927,residential,False,True,105.15899999999999,"LINESTRING (-121.7825554 47.4980281, -121.7829206 47.4976667, -121.7833278 47.4972395)",Main Avenue North,,,,,
6359818,tertiary,False,False,101.581,"LINESTRING (-121.784564 47.4943486, -121.7844786 47.4944298, -121.784213 47.4946902, -121.7841924 47.4947103, -121.7840649 47.4948305, -121.7838378 47.4950554, -121.783793 47.495099)",Ballarat Avenue North,,25 mph,,,
37584898,residential,False,True,48.744,"LINESTRING (-121.784564 47.4943486, -121.7846468 47.4942748, -121.7847183 47.4941949, -121.7849305 47.4939872)",Ballarat Avenue South,,,,,
"[308168744, 1205121201, 1205121197]",secondary,False,False,107.843,"LINESTRING (-121.784564 47.4943486, -121.7846947 47.4944156, -121.7848853 47.4945042, -121.7851495 47.4946301, -121.785596 47.4948434, -121.785736 47.4949084)",East North Bend Way,2,25 mph,,,
308168744,secondary,False,True,143.76500000000001,"LINESTRING (-121.784564 47.4943486, -121.7844701 47.4942883, -121.7842296 47.4941518, -121.7839833 47.4940069, -121.7837835 47.4938892, -121.7837612 47.4938761, -121.7836478 47.4938094, -121.7833944 47.4936603, -121.7831212 47.4934995)",East North Bend Way,2,25 mph,,,
6359818,tertiary,False,False,106.50399999999999,"LINESTRING (-121.783793 47.495099, -121.7837321 47.4951604, -121.7830041 47.4958948)",Ballarat Avenue North,,25 mph,,,
6359818,tertiary,False,True,101.581,"LINESTRING (-121.783793 47.495099, -121.7838378 47.4950554, -121.7840649 47.4948305, -121.7841924 47.4947103, -121.784213 47.4946902, -121.7844786 47.4944298, -121.784564 47.4943486)",Ballarat Avenue North,,25 mph,,,
6482222,residential,False,False,132.312,"LINESTRING (-121.783793 47.495099, -121.7837192 47.495064, -121.7832121 47.4948237, -121.7823512 47.4944157)",East 2nd Street,,,,,
6482222,residential,False,True,107.742,"LINESTRING (-121.783793 47.495099, -121.7838909 47.495147, -121.7843726 47.4953832, -121.7848765 47.4956303, -121.7849542 47.4956676)",East 2nd Street,,,,,
6359818,tertiary,False,False,110.116,"LINESTRING (-121.7830041 47.4958948, -121.7822435 47.4966357, -121.7821889 47.4966888, -121.7821687 47.4967085)",Ballarat Avenue North,,25 mph,,,
6359818,tertiary,False,True,106.50399999999999,"LINESTRING (-121.7830041 47.4958948, -121.7837321 47.4951604, -121.783793 47.495099)",Ballarat Avenue North,,25 mph,,,
6487851,residential,False,False,106.697,"LINESTRING (-121.7830041 47.4958948, -121.7835678 47.4961639, -121.7841639 47.4964486)",East 3rd Street,,,,,
6487851,residential,False,True,133.433,"LINESTRING (-121.7830041 47.4958948, -121.7824118 47.4956122, -121.7815533 47.4952026)",East 3rd Street,,,,,
6359818,tertiary,False,False,56.128,"LINESTRING (-121.7821687 47.4967085, -121.7819151 47.4969441, -121.781743 47.4971231)",Ballarat Avenue North,,25 mph,,,
6359818,tertiary,False,True,110.116,"LINESTRING (-121.7821687 47.4967085, -121.7821889 47.4966888, -121.7822435 47.4966357, -121.7830041 47.4958948)",Ballarat Avenue North,,25 mph,,,
6394500,residential,False,False,105.21000000000001,"LINESTRING (-121.7821687 47.4967085, -121.7822298 47.4967364, -121.7824224 47.4968244, -121.7830725 47.4971224, -121.7833278 47.4972395)",East 4th Street,,,,,
6359818,tertiary,False,False,47.917,"LINESTRING (-121.781743 47.4971231, -121.7813795 47.4974772)",Ballarat Avenue North,,25 mph,,,
