osmid,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,access,junction,ref
"[714552121, 714552122]",Iron Avenue Southwest,residential,unposted,False,False,30.588,"LINESTRING (-106.6557875 35.0800591, -106.6558638 35.0800687, -106.6561197 35.0801011)",,,,
714552122,Iron Avenue Southwest,residential,unposted,False,True,78.979,"LINESTRING (-106.6557875 35.0800591, -106.6555751 35.0800331, -106.6549291 35.0799541)",,,,
14407959,Lead Avenue Southwest,tertiary,,False,False,27.847,"LINESTRING (-106.649785 35.0812889, -106.6498914 35.081303, -106.6500871 35.0813289)",,,,
543970517,2nd Street Southwest,secondary,,False,False,110.888,"LINESTRING (-106.649785 35.0812889, -106.6498002 35.0812143, -106.6498843 35.0808035, -106.6499696 35.0803936, -106.649988 35.0803056)",,,,
587577654,2nd Street Southwest,secondary,,False,False,55.149,"LINESTRING (-106.649785 35.0812889, -106.6497713 35.081369, -106.6497197 35.0816702, -106.6497012 35.0817801)",,,,
14407959,Lead Avenue Southwest,tertiary,,False,True,24.22,"LINESTRING (-106.650979 35.0814458, -106.6508964 35.0814353, -106.650716 35.0814123)",,,,
543946733,3rd Street Southwest,tertiary,,False,True,54.65,"LINESTRING (-106.650979 35.0814458, -106.6509636 35.0815282, -106.650888 35.0819316)",,,,
572493522,Lead Avenue Southwest,tertiary,,False,False,109.115,"LINESTRING (-106.650979 35.0814458, -106.6510897 35.0814614, -106.6515847 35.0815233, -106.652078 35.0815897, -106.652163 35.0816011)",,,,
572493523,3rd Street Southwest,tertiary,,False,False,110.521,"LINESTRING (-106.650979 35.0814458, -106.6509963 35.0813575, -106.6510748 35.0809599, -106.6511549 35.0805376, -106.651169 35.0804641)",,,,
545391297,4th Street Southwest,tertiary,30 mph,False,False,111.32299999999998,"LINESTRING (-106.652163 35.0816011, -106.6521793 35.0815154, -106.6522349 35.0812277, -106.6522593 35.0811023, -106.6522852 35.0809683, -106.6523206 35.0807818, -106.6523375 35.0806917, -106.652353 35.0806121)",,,,
545391298,Lead Avenue Southwest,tertiary,,False,False,110.01199999999999,"LINESTRING (-106.652163 35.0816011, -106.6522627 35.0816141, -106.6527526 35.0816778, -106.6529475 35.0817032, -106.6531432 35.0817286, -106.6532807 35.0817465, -106.653357 35.0817564)",,,,
572493522,Lead Avenue Southwest,tertiary,,False,True,109.11500000000001,"LINESTRING (-106.652163 35.0816011, -106.652078 35.0815897, -106.6515847 35.0815233, -106.6510897 35.0814614, -106.650979 35.0814458)",,,,
583994244,4th Street Southwest,tertiary,30 mph,False,True,108.895,"LINESTRING (-106.652163 35.0816011, -106.6521488 35.08168, -106.6520762 35.0820833, -106.6520013 35.0825014, -106.651989 35.08257)",,,,
543946734,5th Street Southwest,tertiary,25 mph,False,True,108.812,"LINESTRING (-106.653357 35.0817564, -106.6533456 35.0818217, -106.6532729 35.082236, -106.6532506 35.0823604, -106.653199 35.0826482, -106.653186 35.0827249)",,,,
